Name,TaskType,FarmPoints,Good,Amount,Probability,TID,IconFileName,IconExportName,Tags,DerbyTaskTags,MinXPLevelForSpawn,MinRepLevelForSpawn,MaxXPLevelForSpawn,TimeLimitMinutes,RenewDiamondCost,MaxTimesPerDay
String,String,int,String,int,int,String,String,String,String,String,int,int,int,int,int,int
Harvest_Wheat_Lv11,HarvestField,100,Wheat,6,10,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_wheat,harvest,,1,,15,20,10,
Harvest_Corn_Lv11,HarvestField,100,Corn,9,10,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_corn,harvest,,2,,15,20,10,
Harvest_Soybean_Lv11,HarvestField,120,Soybean,12,10,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_soybeans,harvest,,5,,15,30,10,
Harvest_Sugarcane_Lv11,HarvestField,180,Sugarcane,15,10,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_sugarcane,harvest,,7,,15,40,10,
Harvest_Carrot_Lv11,HarvestField,100,Carrot,18,10,TID_FARM_PASS_TASK_HARVEST_CROP,sc/icons.sc,tool_plant_carrots,harvest,,9,,15,20,10,
Harvest_Any_Lv11,HarvestField,200,,21,10,TID_FARM_PASS_TASK_HARVEST_ANY_FIELDS,sc/icons.sc,tool_harvest,harvest,,11,,15,490,10,
DailyFeedPet_Cat1,FeedPet,100,CatHouse,1,10,TID_FARM_PASS_TASK_FEED_CAT_ONE,sc/animals.sc,cat01_eat,pet,,21,,,60,10,
DailyFeedPet_Dog1,FeedPet,100,DogHouse,1,10,TID_FARM_PASS_TASK_FEED_DOG_ONE,sc/animals.sc,dog01a_eating01,pet,,20,,,60,10,
DailyFeedPet_Horse1,FeedPet,100,HorseHouse,1,10,TID_FARM_PASS_TASK_FEED_HORSE_ONE,sc/animals02.sc,horse01bay_eating01,pet,,27,,,60,10,
DailyFeedPet_Donkey1,FeedPet,100,DonkeyHouse,1,10,TID_FARM_PASS_TASK_FEED_DONKEY_ONE,sc/animals.sc,donkey01grey_eat,pet,,43,,,60,10,
DailyFeedPet_Bunny1,FeedPet,100,BunnyHouse,1,10,TID_FARM_PASS_TASK_FEED_BUNNY_ONE,sc/animals.sc,bunny_01_white_eating01,pet,,31,,,60,10,
DailyFeedPet_Kitten1,FeedPet,100,KittenHouse,1,10,TID_FARM_PASS_TASK_FEED_KITTEN_ONE,sc/animals02.sc,kitten_01_eating,pet,,49,,,60,10,
DailyFeedPet_Puppy1,FeedPet,100,PuppyHouse,1,10,TID_FARM_PASS_TASK_FEED_PUPPY_ONE,sc/animals02.sc,puppy_01_eating,pet,,50,,,60,10,
FeedAnimal_Chicken35_Lv11,FeedAnimal,150,Chicken,15,100,TID_FARM_PASS_TASK_FEED_CHICKENS,sc/icons.sc,tool_feed_chicken,feed,,11,,22,60,10,
FeedAnimal_Chicken50_Lv23,FeedAnimal,300,Chicken,30,100,TID_FARM_PASS_TASK_FEED_CHICKENS,sc/icons.sc,tool_feed_chicken,feed,,23,,,120,10,
FeedAnimal_Cow15_Lv11,FeedAnimal,150,Cow,15,100,TID_FARM_PASS_TASK_FEED_COWS,sc/icons.sc,tool_feed_cow,feed,,11,,14,180,10,
FeedAnimal_Cow30_Lv15,FeedAnimal,300,Cow,30,100,TID_FARM_PASS_TASK_FEED_COWS,sc/icons.sc,tool_feed_cow,feed,,15,,26,360,10,
FeedAnimal_Cow45_Lv27,FeedAnimal,450,Cow,45,5,TID_FARM_PASS_TASK_FEED_COWS,sc/icons.sc,tool_feed_cow,feed,,27,,,540,10,
FeedAnimal_Sheep15_Lv16,FeedAnimal,150,Sheep,5,50,TID_FARM_PASS_TASK_FEED_SHEEP,sc/icons.sc,tool_feed_sheep,feed,,16,,25,1080,10,
FeedAnimal_Sheep30_Lv26,FeedAnimal,300,Sheep,10,50,TID_FARM_PASS_TASK_FEED_SHEEP,sc/icons.sc,tool_feed_sheep,feed,,26,,41,2160,10,
FeedAnimal_Pig15_Lv11,FeedAnimal,150,Pig,5,20,TID_FARM_PASS_TASK_FEED_PIGS,sc/icons.sc,tool_feed_pig,feed,,11,,17,720,10,
FeedAnimal_Pig30_Lv18,FeedAnimal,300,Pig,10,20,TID_FARM_PASS_TASK_FEED_PIGS,sc/icons.sc,tool_feed_pig,feed,,18,,31,1440,10,
FeedAnimal_Pig45_Lv32,FeedAnimal,450,Pig,15,20,TID_FARM_PASS_TASK_FEED_PIGS,sc/icons.sc,tool_feed_pig,feed,,32,,,2160,10,
FeedAnimal_Goat12_Lv32,FeedAnimal,150,Goat,3,20,TID_FARM_PASS_TASK_FEED_GOATS,sc/icons.sc,tool_feed_goat,feed,,32,,36,1440,10,
FeedAnimal_Goat24_Lv37,FeedAnimal,300,Goat,6,20,TID_FARM_PASS_TASK_FEED_GOATS,sc/icons.sc,tool_feed_goat,feed,,37,,49,2880,10,
DailyFeedAnimal_Any10,FeedAnimal,250,,10,20,TID_FARM_PASS_TASK_FEED_ANIMALS,sc/icons.sc,tool_feed_question,feed,,1,,,60,10,
