TID,DE
string,string
TID_LANGUAGE_TITLE,Sprache wählen
TID_SHOP_UNLOCK_TEXT,Wird ab Level <LEVELX> freigeschaltet
TID_ANIMAL_SHOP_DESCRIPTION,Produziert <ITEM> in <TIME>
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,Zuhause für <CAPACITY> Hühner
TID_COW_HABITAT_SHOP_DESCRIPTION,Zuhause für <CAPACITY> Kühe
TID_PIG_HABITAT_SHOP_DESCRIPTION,Zuhause für <CAPACITY> Schweine
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,Zuhause für <CAPACITY> Schafe
TID_GOAT_HABITAT_SHOP_DESCRIPTION,Zuhause für <CAPACITY> Ziegen
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,Pflanzen werden auf Feldern angebaut
TID_EMPTY_FIELD_SHOP_DESCRIPTION,Felder dienen dem Anbau von Pflanzen
TID_TIME_D_H,<D> T. <H> Std.
TID_TIME_H_M,<H> Std. <M> Min.
TID_TIME_H,<H> Std.
TID_TIME_M_S,<M> Min. <S> Sek.
TID_TIME_M,<M> Min.
TID_TIME_S,<S> Sek.
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,Silokapazität: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,Scheunenkapazität: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Leer
TID_PRODUCTION_LIST_WAITING,Warten ...
TID_ANIMAL_HUNGRY,Hungrig
TID_ANIMAL_READY_TO_HARVEST,Fertig
TID_WHEAT,Weizen
TID_CARROT,Karotte
TID_CORN,Mais
TID_SOY_BEAN,Sojabohne
TID_SUGAR_CANE,Zuckerrohr
TID_PUMPKIN,Kürbis
TID_CHILI,Chili
TID_INDIGO,Indigo
TID_TOMATO,Tomate
TID_CHICKEN_FOOD,Hühnerfutter
TID_COW_FOOD,Kuhfutter
TID_SHEEP_FOOD,Schaffutter
TID_PIG_FOOD,Schweinefutter
TID_GOAT_FOOD,Ziegenfutter
TID_EGG,Ei
TID_MILK,Milch
TID_WOOL,Wolle
TID_BACON,Speck
TID_GOAT_MILK,Ziegenmilch
TID_CREAM,Sahne
TID_BUTTER,Butter
TID_CHEESE,Käse
TID_GOAT_CHEESE,Ziegenkäse
TID_BREAD,Brot
TID_COOKIE,Keks
TID_CORN_BREAD,Maisbrot
TID_CHEESE_CAKE,Käsetorte
TID_CARROT_CAKE,Karottentorte
TID_BIRTHDAY_CAKE,Sahnetorte
TID_CHOCOLATE_CAKE,Schokotorte
TID_STRAWBERRY_CAKE,Erdbeertorte
TID_CARROT_PIE,Karottenkuchen
TID_BACON_PIE,Speckkuchen
