Name,Rewards,RewardAmounts,Probabilities
String,String,int,int
DerbyRewardSet1_18_rookie,Axe,1,6
,Saw,1,6
,Shovel,1,6
,Dynamite,1,6
,Demolition Charge,1,6
,Pickaxe,1,6
,Brown_Sugar,3,4
,White Sugar,3,4
,Vanilla Ice Cream,1,4
,Apple Jam,1,4
,Raspberry,5,4
,Cherry,5,4
,Blackberry,5,4
,Apple,5,4
,Honey,3,4
,Cream,3,4
,Butter,3,4
,Cheese,3,4
,Goat Cheese,3,4
,Flagged fence,1,3
,GnomePainter,1,3
DerbyRewardSet2_18_rookie,Axe,1,8
,Saw,1,8
,Shovel,1,8
,Dynamite,1,8
,Demolition Charge,1,8
,Pickaxe,1,8
,Land Deed,1,14
,Mallet,1,14
,Marker Stake,1,14
,White Sugar,3,4
,Syrup,3,4
,Cherry Popsicle,1,4
,Raspberry Jam,1,4
,Blackberry Jam,1,4
,Raspberry,5,4
,Cherry,5,4
,Blackberry,5,4
,Apple,5,4
,Honey,3,4
,Cream,3,4
,Butter,3,4
,Cheese,3,4
,Goat Cheese,3,4
,GnomeFisherman,1,5
,GnomeFlowergirl,1,5
DerbyRewardSet3_18_rookie,Axe,1,5
,Saw,1,5
,Shovel,1,5
,Dynamite,1,5
,Demolition Charge,1,5
,Pickaxe,1,5
,Plank,1,8
,Nail,1,8
,Bolt,1,8
,Screw,1,8
,Duct Tape,1,8
,Wood Panel,1,8
,Land Deed,1,8
,Mallet,1,8
,Marker Stake,1,8
,Hammer,1,3
,Hand Drill,1,3
,Paint Bucket,1,3
,Stone Block,1,3
,Brick,1,3
,Tar Bucket,1,3
,Map Piece,1,1
,Brown_Sugar,5,6
,White Sugar,5,6
,Syrup,5,6
,Strawberry Ice Cream,2,6
,Chocolate Ice Cream,2,6
,Blackberry Jam,2,6
,Cherry Jam,2,6
,GnomeMusician,1,6
,HorseShoeStatue,1,6
,Puzzle Piece 1,1,175
DerbyRewardSet4_18_rookie,Axe,2,12
,Saw,2,12
,Shovel,2,12
,Dynamite,2,12
,Demolition Charge,2,12
,Pickaxe,1,12
,Plank,1,18
,Nail,1,18
,Bolt,1,18
,Screw,1,18
,Duct Tape,1,18
,Wood Panel,1,18
,Land Deed,1,18
,Mallet,1,18
,Marker Stake,1,18
,Hammer,1,6
,Hand Drill,1,6
,Paint Bucket,1,6
,Stone Block,1,6
,Brick,1,6
,Tar Bucket,1,6
,Map Piece,1,3
,Voucher1,1,6
,Expansion Key,1,20
DerbyRewardSet5_18_rookie,FreeDiamonds,2,2
,Plank,1,6
,Nail,1,6
,Bolt,1,6
,Screw,1,6
,Duct Tape,1,6
,Wood Panel,1,6
,Land Deed,1,6
,Mallet,1,6
,Marker Stake,1,6
,Hammer,1,2
,Hand Drill,1,2
,Paint Bucket,1,2
,Stone Block,1,2
,Brick,1,2
,Tar Bucket,1,2
,Map Piece,1,1
,Horse balloon,1,1
,GnomePainter,1,1
,GnomeFisherman,1,1
DerbyRewardSetBronze_18_rookie,Axe,3,2
