Name,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease
String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,String,int,Boolean
Plain donut,recipe_plain_donut,TID_PLAIN_DONUT,Donut_Maker,3,Wheat,15,67,64,15,2,36,24,29,76,TID_DONUT_MAKER_PRODUCT_DESCRIPTION,26,
,,,,1,White Sugar,,,,,,,,,,,,
,,,,1,Milk,,,,,,,,,,,,
,,,,1,Egg,,,,,,,,,,,,
Cream donut,recipe_cream_donut,TID_CREAM_DONUT,Donut_Maker,1,Plain donut,25,119,114,27,3,64,40,48,86,TID_DONUT_MAKER_PRODUCT_DESCRIPTION,43,
,,,,1,Cream,,,,,,,,,,,,
,,,,1,Brown_Sugar,,,,,,,,,,,,
Bacon donut,recipe_bacon_donut,TID_BACON_DONUT,Donut_Maker,1,Plain donut,30,200,193,46,3,108,74,89,88,TID_DONUT_MAKER_PRODUCT_DESCRIPTION,77,
,,,,1,Syrup,,,,,,,,,,,,
,,,,3,Bacon,,,,,,,,,,,,
Filled donut,recipe_filled_donut,TID_FILLED_DONUT,Donut_Maker,1,Plain donut,35,208,200,48,3,112,63,68,93,TID_DONUT_MAKER_PRODUCT_DESCRIPTION,66,
,,,,1,Raspberry Jam,,,,,,,,,,,,
Crunchy donut,recipe_crunchy_donut,TID_CRUNCHY_DONUT,Donut_Maker,1,Plain donut,30,306,295,71,3,165,49,54,82,TID_DONUT_MAKER_PRODUCT_DESCRIPTION,52,
,,,,1,Cacao,,,,,,,,,,,,
,,,,1,PeanutBag,,,,,,,,,,,,
Sprinkles donut,recipe_sprinkles_donut,TID_SPRINKLES_DONUT,Donut_Maker,1,Plain donut,20,161,155,37,2,87,58,63,79,TID_DONUT_MAKER_PRODUCT_DESCRIPTION,60,
,,,,2,Cacao,,,,,,,,,,,,
