TID,ES
string,string
TID_LANGUAGE_TITLE,Seleccionar idioma
TID_SHOP_UNLOCK_TEXT,Nivel de desbloqueo: <LEVELX>
TID_ANIMAL_SHOP_DESCRIPTION,Produce <ITEM> en <TIME>.
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,Caben <CAPACITY> gallinas.
TID_COW_HABITAT_SHOP_DESCRIPTION,Caben <CAPACITY> vacas.
TID_PIG_HABITAT_SHOP_DESCRIPTION,Caben <CAPACITY> cerdos.
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,Caben <CAPACITY> ovejas.
TID_GOAT_HABITAT_SHOP_DESCRIPTION,Caben <CAPACITY> cabras.
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,Los cultivos crecen en las parcelas.
TID_EMPTY_FIELD_SHOP_DESCRIPTION,Las parcelas sirven para plantar cultivos.
TID_TIME_D_H,<D> d <H> h
TID_TIME_H_M,<H> h <M> min
TID_TIME_H,<H> h
TID_TIME_M_S,<M> min <S> s
TID_TIME_M,<M> min
TID_TIME_S,<S> s
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,{size=20}Capacidad silo: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,{size=18}Capacidad granero: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Vacío
TID_PRODUCTION_LIST_WAITING,En espera...
TID_ANIMAL_HUNGRY,Con hambre
TID_ANIMAL_READY_TO_HARVEST,Listo para recoger
TID_WHEAT,Trigo
TID_CARROT,Zanahoria
TID_CORN,Maíz
TID_SOY_BEAN,Soja
TID_SUGAR_CANE,Caña de azúcar
TID_PUMPKIN,Calabaza
TID_CHILI,Chile
TID_INDIGO,Añil
TID_TOMATO,Tomate
TID_CHICKEN_FOOD,Pienso de gallina
TID_COW_FOOD,Pienso de vaca
TID_SHEEP_FOOD,Pienso de oveja
TID_PIG_FOOD,Pienso de cerdo
TID_GOAT_FOOD,Pienso de cabra
TID_EGG,Huevo
TID_MILK,Leche
TID_WOOL,Lana
TID_BACON,Beicon
TID_GOAT_MILK,Leche de cabra
TID_CREAM,Nata
TID_BUTTER,Mantequilla
TID_CHEESE,Queso
TID_GOAT_CHEESE,Queso de cabra
TID_BREAD,Pan
TID_COOKIE,Galleta
TID_CORN_BREAD,Pan de maíz
TID_CHEESE_CAKE,Pastel de queso
TID_CARROT_CAKE,Pastel de zanahoria
TID_BIRTHDAY_CAKE,Pastel de nata
TID_CHOCOLATE_CAKE,Pastel de chocolate
TID_STRAWBERRY_CAKE,Pastel de fresa
