Name,FileName,ExportName,ToolIconExportName,Value,UnlockLevel,Harvest,TimeMin,TimeSec,OrderPrice,OrderExp,ExpCollect,InstantFertilize,Price,OrderValue,BoatOrderValue,InstantComplete,DumbValue,TID,DiamondPrice,TileWidth,TileHeight,BuySound,TapSound,Difficulty,PendingRelease
String,String,String,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,String,int,int,int,String,String,int,Boolean
EmptyField,sc/nature_new.sc,field_empty,tool_harvest,,,,,,,,,,1,,,,,TID_EMPTY_FIELD,,1,1,Buy,CropSeed,,
Wheat,sc/nature_new.sc,crop_wheat,tool_plant_wheat,50,1,2,2,,2,1,1,2,,1,1,1,1,TID_WHEAT,1,1,1,CropSeed,CropSeed,2,
Corn,sc/nature_new.sc,crop_corn,tool_plant_corn,95,2,2,5,,2,2,1,4,,1,1,1,2,TID_CORN,1,1,1,CropSeed,CropSeed,2,
Soybean,sc/nature_new.sc,crop_soybeans,tool_plant_soybeans,251,5,2,20,,5,3,2,9,,2,2,2,3,TID_SOY_BEAN,2,1,1,CropSeed,CropSeed,4,
Sugarcane,sc/nature_new.sc,crop_sugarcane,tool_plant_sugarcane,166,7,2,30,,6,4,3,11,,3,3,3,4,TID_SUGAR_CANE,3,1,1,CropSeed,CropSeed,6,
Carrot,sc/nature_new.sc,crop_carrots,tool_plant_carrots,132,9,2,10,,3,3,2,6,,2,2,2,2,TID_CARROT,2,1,1,CropSeed,CropSeed,4,
Indigo,sc/nature_new.sc,crop_indigo,tool_plant_indigo,896,13,2,120,,10,8,5,25,,5,5,5,7,TID_INDIGO,5,1,1,CropSeed,CropSeed,10,
Pumpkin,sc/nature_new.sc,crop_pumpkins,tool_plant_pumpkins,514,15,2,180,,12,9,6,32,,6,6,6,9,TID_PUMPKIN,6,1,1,CropSeed,CropSeed,12,
Chili,sc/nature_new.sc,crop_chili,tool_plant_chili,679,25,2,240,,14,11,7,38,,7,7,7,10,TID_CHILI,7,1,1,CropSeed,CropSeed,14,
Tomato,sc/nature_new.sc,crop_tomatoes,tool_plant_tomatoes,679,30,2,360,,17,13,8,49,,8,8,8,12,TID_TOMATO,8,1,1,CropSeed,CropSeed,16,
Strawberry,sc/nature_new.sc,crop_strawberries,tool_plant_strawberries,679,34,2,480,,19,14,10,50,,10,10,10,14,TID_STRAWBERRY,10,1,1,CropSeed,CropSeed,20,
Potato,sc/nature_new.sc,crop_potatoes,tool_plant_potatoes,679,35,2,220,,14,10,7,32,,7,7,7,10,TID_POTATO,7,1,1,CropSeed,CropSeed,14,
Rice,sc/nature_new.sc,crop_rice,tool_plant_rice,679,56,2,45,,7,5,3,13,,3,3,3,5,TID_CROP_RICE,3,1,1,CropSeed,CropSeed,6,
Lettuce,sc/nature_new.sc,crop_lettuce,tool_plant_lettuce,679,58,2,210,,13,10,7,30,,7,7,7,9,TID_CROP_LETTUCE,7,1,1,CropSeed,CropSeed,14,
Cotton,sc/nature_new.sc,crop_cotton,tool_plant_cotton,679,18,2,150,,11,9,6,30,,6,6,6,8,TID_CROP_COTTON,7,1,1,CropSeed,CropSeed,12,
Onion,sc/nature_new.sc,crop_onion,tool_plant_onion,679,68,2,300,,16,12,8,45,,8,8,8,11,TID_CROP_ONION,8,1,1,CropSeed,CropSeed,16,
TeaLeaves,sc/nature_new.sc,crop_tea,tool_plant_tea,679,80,2,390,,18,13,9,49,,9,9,9,12,TID_CROP_TEALEAVES,9,1,1,CropSeed,CropSeed,18,
Grapes,sc/nature_new.sc,crop_grape,tool_plant_grape,679,84,2,180,,12,9,6,32,,6,6,6,9,TID_CROP_GRAPES,6,1,1,CropSeed,CropSeed,12,
Sunflower,sc/nature_new.sc,crop_sunflower,tool_plant_sunflower,679,63,2,90,,9,7,5,32,,5,5,5,6,TID_CROP_SUNFLOWER,5,1,1,CropSeed,CropSeed,10,
Peony,sc/nature_new.sc,crop_peony,tool_plant_peony,679,82,2,240,,14,11,7,32,,7,7,7,10,TID_CROP_PEONY,7,1,1,CropSeed,CropSeed,14,
Bellpepper,sc/nature_new.sc,crop_bellpepper,tool_plant_bellpepper,679,74,2,270,,15,11,7,32,,7,7,7,10,TID_BELLPEPPER,7,1,1,CropSeed,CropSeed,14,
Mint,sc/nature_new.sc,crop_mint,tool_plant_mint,679,85,2,180,,12,9,6,32,,6,6,6,9,TID_MINT,6,1,1,CropSeed,CropSeed,12,
Watermelon,sc/nature_new.sc,crop_watermelon,tool_plant_watermelon,679,92,2,300,,16,12,8,32,,8,8,8,11,TID_WATERMELON,8,1,1,CropSeed,CropSeed,16,
Cucumber,sc/nature_new.sc,crop_cucumber,tool_plant_cucumber,679,70,2,35,,6,4,3,32,,3,3,3,4,TID_CUCUMBER,3,1,1,CropSeed,CropSeed,6,
Pineapple,sc/nature_new.sc,crop_pineapple,tool_plant_pineapple,679,52,2,30,,6,4,3,32,,3,3,3,4,TID_PINEAPPLE,3,1,1,CropSeed,CropSeed,6,
Eggplant,sc/nature_new.sc,crop_eggplant,tool_plant_eggplant,679,90,2,40,,6,5,3,32,,3,3,3,4,TID_EGGPLANT,3,1,1,CropSeed,CropSeed,6,
Broccoli,sc/nature_new.sc,crop_broccoli,tool_plant_broccoli,679,83,2,80,,9,6,4,32,,4,4,4,6,TID_BROCCOLI,4,1,1,CropSeed,CropSeed,6,
Mushroom,sc/nature_new.sc,crop_mushroom,tool_plant_mushroom,679,89,2,20,,5,3,2,32,,2,2,2,3,TID_MUSHROOM,2,1,1,CropSeed,CropSeed,4,
Ginger,sc/nature_new.sc,crop_ginger,tool_plant_ginger,679,78,2,150,,11,9,6,32,,6,6,6,8,TID_GINGER,6,1,1,CropSeed,CropSeed,12,
Sesame,sc/nature_new.sc,crop_sesame,tool_plant_sesame,679,50,2,60,,8,6,4,32,,4,4,4,5,TID_SESAME,4,1,1,CropSeed,CropSeed,8,
Lily,sc/nature_new.sc,crop_whitelily,tool_plant_whitelily,679,53,2,90,,9,7,5,32,,5,5,5,6,TID_CROP_LILY,5,1,1,CropSeed,CropSeed,10,
Beetroot,sc/nature_new.sc,crop_beetroot,tool_plant_beetroot,679,72,2,40,,6,5,3,32,,3,3,3,4,TID_CROP_BEETROOT,3,1,1,CropSeed,CropSeed,6,
Garlic,sc/nature_new.sc,crop_garlic,tool_plant_garlic,679,60,2,30,,6,4,3,32,,3,3,3,4,TID_CROP_GARLIC,3,1,1,CropSeed,CropSeed,6,
Cabbage,sc/nature_new.sc,crop_cabbage,tool_plant_cabbage,679,65,2,45,,7,5,3,32,,3,3,3,5,TID_CROP_CABBAGE,3,1,1,CropSeed,CropSeed,6,
Clay,sc/nature_new.sc,crop_clay,tool_plant_clay,679,94,2,110,,10,7,5,32,,5,5,5,5,TID_CROP_CLAY,7,1,1,CropSeed,CropSeed,10,
Chickpea,sc/nature_new.sc,crop_chickpea,tool_plant_chickpea,679,95,2,60,,8,6,4,32,,4,4,4,5,TID_CROP_CHICKPEA,4,1,1,CropSeed,CropSeed,8,
PassionFruit,sc/nature_new.sc,crop_passionfruit,tool_plant_passionfruit,679,88,2,60,,8,6,4,32,,4,4,4,5,TID_CROP_PASSIONFRUIT,4,1,1,CropSeed,CropSeed,8,
Asparagus,sc/nature_new.sc,crop_asparagus,tool_plant_asparagus,679,49,2,360,,17,13,8,32,,8,8,8,12,TID_CROP_ASPARAGUS,8,1,1,CropSeed,CropSeed,16,
Oats,sc/nature_new.sc,crop_oat,tool_plant_oat,679,119,2,7,,3,2,1,32,,1,1,1,2,TID_CROP_OATS,1,1,1,CropSeed,CropSeed,2,
