Name,ToolIconExportName,TID,ProcessingBuilding,OrderPrice,OrderExp,ExpCollect,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease
String,String,String,String,int,int,int,int,int,int,int,String,int,Boolean
Apple,icon_apple,TID_APPLE,AppleTree,22,15,7,11,7,7,15,TID_APPLE_DESCRIPTION,11,
Cherry,icon_cherries,TID_CHERRY,CherryTree,40,26,13,19,13,13,22,TID_CHERRY_DESCRIPTION,19,
Raspberry,icon_raspberry,TID_RASPBERRY,RaspberryBush,26,17,9,13,9,9,19,TID_RASPBERRY_DESCRIPTION,14,
Blackberry,icon_blackberry,TID_BLACKBERRY,BlackberryBush,47,32,16,23,16,16,26,TID_BLACKBERRY_DESCRIPTION,22,
Cacao,icon_cacao,TID_CACAO,CacaoTree,49,33,16,24,16,16,36,TID_CACAO_DESCRIPTION,22,
Coffee,icon_coffee,TID_COFFEE,CoffeeBush,37,25,12,18,12,12,42,TID_COFFEE_DESCRIPTION,17,
Olive,icon_olive,TID_PRODUCT_OLIVE,OliveTree,50,34,17,23,17,17,57,TID_PRODUCT_OLIVE_DESCRIPTION,33,
Lemon,icon_lemon,TID_PRODUCT_LEMON,LemonTree,55,36,18,26,18,18,66,TID_PRODUCT_LEMON_DESCRIPTION,35,
Orange,icon_orange,TID_PRODUCT_ORANGE,OrangeTree,58,39,19,27,18,18,71,TID_PRODUCT_ORANGE_DESCRIPTION,36,
Peach,icon_peach,TID_PRODUCT_PEACH,PeachTree,59,39,20,28,17,17,76,TID_PRODUCT_PEACH_DESCRIPTION,34,
Banana,icon_banana,TID_PRODUCT_BANANA,BananaTree,61,41,20,29,17,17,88,TID_PRODUCT_BANANA_DESCRIPTION,34,
Plum,icon_plum,TID_PLUM,PlumTree,49,33,16,23,16,16,94,TID_PRODUCT_PLUM_DESCRIPTION,32,
Mango,icon_mango,TID_MANGO,MangoTree,61,41,20,28,18,18,97,TID_PRODUCT_MANGO_DESCRIPTION,36,
Coconut,icon_coconut,TID_COCONUT,CoconutTree,64,43,21,30,19,19,101,TID_PRODUCT_COCONUT_DESCRIPTION,38,
Guava,icon_guava,TID_GUAVA,GuavaTree,66,44,22,31,19,19,104,TID_PRODUCT_GUAVA_DESCRIPTION,38,
Pomegranate,icon_pomegranate,TID_POMEGRANATE,PomegranateTree,67,45,22,31,17,17,107,TID_PRODUCT_POMEGRANATE_DESCRIPTION,34,
Blueberry,icon_blueberry,TID_BLUEBERRY,BlueberryBush,49,33,16,23,16,16,30,TID_BLUEBERRY_DESCRIPTION,35,
