Name,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease
String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean
Mint Fudge,recipe_fudge_mint,TID_MINT_FUDGE,Fudge_Shop,2,Butter,150,270,260,62,6,145,95,100,102,TID_FUDGE_SHOP_PRODUCT_DESCRIPTION,101,
,,,,2,Cacao,,,,,,,,,,,,
,,,,1,White Sugar,,,,,,,,,,,,
,,,,3,Mint,,,,,,,,,,,,
Chili Fudge,recipe_fudge_chili,TID_CHILI_FUDGE,Fudge_Shop,2,Butter,170,278,267,64,6,150,98,103,104,TID_FUDGE_SHOP_PRODUCT_DESCRIPTION,104,
,,,,2,Cacao,,,,,,,,,,,,
,,,,1,White Sugar,,,,,,,,,,,,
,,,,3,Chili,,,,,,,,,,,,
Lemon Fudge,recipe_fudge_lemon,TID_LEMON_FUDGE,Fudge_Shop,2,Butter,110,304,292,70,5,164,107,117,108,TID_FUDGE_SHOP_PRODUCT_DESCRIPTION,112,
,,,,2,White Sugar,,,,,,,,,,,,
,,,,3,Milk,,,,,,,,,,,,
,,,,2,Lemon,,,,,,,,,,,,
Peanut Fudge,recipe_fudge_peanut,TID_PEANUT_FUDGE,Fudge_Shop,2,Butter,90,589,566,136,5,317,88,93,111,TID_FUDGE_SHOP_PRODUCT_DESCRIPTION,93,
,,,,2,Cacao,,,,,,,,,,,,
,,,,1,White Sugar,,,,,,,,,,,,
,,,,2,PeanutBag,,,,,,,,,,,,
Rich Fudge,recipe_fudge_rich,TID_RICH_FUDGE,Fudge_Shop,3,Butter,120,333,320,77,5,179,116,126,99,TID_FUDGE_SHOP_PRODUCT_DESCRIPTION,121,
,,,,3,Cacao,,,,,,,,,,,,
,,,,2,White Sugar,,,,,,,,,,,,
