TID,JP
string,string
TID_LANGUAGE_TITLE,{size=23}言語の選択
TID_SHOP_UNLOCK_TEXT,レベル<LEVELX>で登場
TID_ANIMAL_SHOP_DESCRIPTION,<TIME>で\n<ITEM>を生産
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,<CAPACITY>羽のニワトリが\n暮らせます
TID_COW_HABITAT_SHOP_DESCRIPTION,<CAPACITY>頭のウシが\n暮らせます
TID_PIG_HABITAT_SHOP_DESCRIPTION,<CAPACITY>匹のブタが\n暮らせます
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,<CAPACITY>匹のヒツジが\n暮らせます
TID_GOAT_HABITAT_SHOP_DESCRIPTION,<CAPACITY>匹のヤギが\n暮らせます
TID_MULTIPLE_ITEMS,<ITEM> x <COUNT>
TID_CROP_SHOP_DESCRIPTION,作物は畑で育ちます
TID_EMPTY_FIELD_SHOP_DESCRIPTION,畑は作物を育てるのに必要です
TID_TIME_D_H,<D>日<H>時間
TID_TIME_H_M,<H>時間<M>分
TID_TIME_H,<H>時間
TID_TIME_M_S,<M>分<S>秒
TID_TIME_M,<M>分
TID_TIME_S,<S>秒
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,{size=23}サイロ：<COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,{size=23}納屋：<COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,なし
TID_PRODUCTION_LIST_WAITING,次に作るもの
TID_ANIMAL_HUNGRY,ごはんまだー？
TID_ANIMAL_READY_TO_HARVEST,おまたせー！
TID_WHEAT,小麦
TID_CARROT,ニンジン
TID_CORN,トウモロコシ
TID_SOY_BEAN,大豆
TID_SUGAR_CANE,サトウキビ
TID_PUMPKIN,カボチャ
TID_CHILI,トウガラシ
TID_INDIGO,インディゴ
TID_TOMATO,トマト
TID_CHICKEN_FOOD,ニワトリのエサ
TID_COW_FOOD,ウシのエサ
TID_SHEEP_FOOD,ヒツジのエサ
TID_PIG_FOOD,ブタのエサ
TID_GOAT_FOOD,ヤギのエサ
TID_EGG,タマゴ
TID_MILK,牛乳
TID_WOOL,羊毛
TID_BACON,ベーコン
TID_GOAT_MILK,ヤギのミルク
TID_CREAM,クリーム
TID_BUTTER,バター
TID_CHEESE,チーズ
TID_GOAT_CHEESE,ヤギのチーズ
TID_BREAD,パン
TID_COOKIE,クッキー
TID_CORN_BREAD,コーンブレッド
TID_CHEESE_CAKE,チーズケーキ
TID_CARROT_CAKE,キャロットケーキ
TID_BIRTHDAY_CAKE,クリームケーキ
TID_CHOCOLATE_CAKE,チョコケーキ
TID_STRAWBERRY_CAKE,イチゴケーキ
TID_CARROT_PIE,キャロットパイ
TID_BACON_PIE,ベーコンパイ
