TID,KR
string,string
TID_LANGUAGE_TITLE,언어 선택
TID_SHOP_UNLOCK_TEXT,<LEVELX>레벨부터 이용 가능
TID_ANIMAL_SHOP_DESCRIPTION,<TIME> 동안\n<ITEM> 생산
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,닭 <CAPACITY>마리를\n기를 수 있습니다.
TID_COW_HABITAT_SHOP_DESCRIPTION,소 <CAPACITY>마리를\n기를 수 있습니다.
TID_PIG_HABITAT_SHOP_DESCRIPTION,돼지 <CAPACITY>마리를\n기를 수 있습니다.
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,양 <CAPACITY>마리를\n기를 수 있습니다.
TID_GOAT_HABITAT_SHOP_DESCRIPTION,염소 <CAPACITY>마리를\n기를 수 있습니다.
TID_MULTIPLE_ITEMS,<ITEM> x <COUNT>
TID_CROP_SHOP_DESCRIPTION,농작물을 재배할 수 있습니다.
TID_EMPTY_FIELD_SHOP_DESCRIPTION,농작물을 재배할 수 있습니다.
TID_TIME_D_H,<D>일 <H>시간
TID_TIME_H_M,<H>시간 <M>분
TID_TIME_H,<H>시간
TID_TIME_M_S,<M>분 <S>초
TID_TIME_M,<M>분
TID_TIME_S,<S>초
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,농작물 저장소 저장량: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,헛간 저장량: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,비어\n있음
TID_PRODUCTION_LIST_WAITING,기다리는 중...
TID_ANIMAL_HUNGRY,배고파요
TID_ANIMAL_READY_TO_HARVEST,준비 완료
TID_WHEAT,밀
TID_CARROT,당근
TID_CORN,옥수수
TID_SOY_BEAN,콩
TID_SUGAR_CANE,사탕수수
TID_PUMPKIN,호박
TID_CHILI,칠리 고추
TID_INDIGO,인디고
TID_TOMATO,토마토
TID_CHICKEN_FOOD,닭 사료
TID_COW_FOOD,소 사료
TID_SHEEP_FOOD,양 사료
TID_PIG_FOOD,돼지 사료
TID_GOAT_FOOD,염소 사료
TID_EGG,달걀
TID_MILK,우유
TID_WOOL,양털
TID_BACON,베이컨
TID_GOAT_MILK,염소 우유
TID_CREAM,크림
TID_BUTTER,버터
TID_CHEESE,치즈
TID_GOAT_CHEESE,염소 치즈
TID_BREAD,빵
TID_COOKIE,쿠키
TID_CORN_BREAD,옥수수빵
TID_CHEESE_CAKE,치즈 케이크
TID_CARROT_CAKE,당근 케이크
TID_BIRTHDAY_CAKE,크림 케이크
TID_CHOCOLATE_CAKE,초콜릿 케이크
TID_STRAWBERRY_CAKE,딸기 케이크
TID_CARROT_PIE,당근 파이
TID_BACON_PIE,베이컨 파이
TID_PUMPKIN_PIE,호박 파이
TID_BROWN_SUGAR,흑설탕
TID_WHITE_SUGAR,백설탕
TID_SYRUP,시럽
TID_SWEATER,스웨터
TID_BLUE_WOOLLY_HAT,파란색 털모자
TID_BLUE_SWEATER,파란색 스웨터
TID_POPCORN,팝콘
TID_BUTTER_POPCORN,버터 팝콘
TID_CHILI_POPCORN,칠리 팝콘
TID_BACON_AND_EGGS,베이컨 에그
TID_PANCAKE,팬케이크
TID_HAMBURGER,햄버거
TID_PIZZA,피자
TID_SPICY_PIZZA,매콤한 피자
TID_ROASTED_TOMATOES,구운 토마토
TID_CARROT_JUICE,당근 주스
TID_TOMATO_JUICE,토마토 주스
TID_APPLE_JUICE,사과 주스
TID_CHERRY_JUICE,체리 주스
TID_BERRY_JUICE,베리 주스
TID_APPLE,사과
TID_CHERRY,체리
TID_CACAO,카카오
TID_RASPBERRY,라즈베리
TID_BLACKBERRY,블랙베리
TID_APPLE_JAM,사과 잼
TID_RASPBERRY_JAM,라즈베리 잼
TID_BLUEBERRY_JAM,블랙베리 잼
TID_CHERRY_JAM,체리 잼
TID_VANILLA_ICE_CREAM,바닐라 아이스크림
TID_CHERRY_POPSICLE,체리 아이스크림
TID_CHOCOLATE_ICE_CREAM,초콜릿 아이스크림
TID_APPLE_PIE,사과 파이
TID_FETA_PIE,페타 치즈 파이
TID_BRACELET,팔찌
TID_NECKLACE,목걸이
TID_DIAMOND_RING,다이아 반지
TID_FEED_MILL,사료 배합기
TID_BAKERY,베이커리
TID_POPCORN_POT,팝콘 메이커
TID_DAIRY,유제품 가공소
TID_SUGAR_MILL,제당기
TID_PIE_OVEN,파이 오븐
TID_LOOM,방직기
TID_CAKE_OVEN,케이크 오븐
TID_BARBECUE_GRILL,바비큐 그릴
TID_JUICE_PRESS,과즙기
TID_JAM_MAKER,잼 제조기
TID_ICE_CREAM_MAKER,아이스크림 제조기
TID_JEWELER,보석 세공소
TID_APPLE_TREE,사과 나무
TID_CHERRY_TREE,체리 나무
TID_CACAO_TREE,카카오 나무
TID_RASPBERRY_BUSH,라즈베리 덤불
TID_BLACKBERRY_BUSH,블랙베리 덤불
TID_DYNAMITE,다이너마이트
TID_DEMOLITION_CHARGE,TNT 폭탄
TID_AXE,도끼
TID_SAW,톱
TID_SHOVEL,삽
TID_PLANK,널빤지
TID_NAIL,못
TID_BOLT,나사
TID_SCREW,나사못
TID_DUCT_TAPE,접착 테이프
TID_WOOD_PANEL,나무판자
TID_EMPTY_FIELD,밭
TID_CHICKEN,닭
TID_COW,소
TID_SHEEP,양
TID_PIG,돼지
TID_GOAT,염소
TID_CHICKEN_HABITAT,닭장
TID_COW_HABITAT,소 목장
TID_SHEEP_HABITAT,양 목장
TID_PIG_HABITAT,돼지 우리
TID_GOAT_HABITAT,염소 우리
TID_HAMMERMILL_DESCRIPTION,사료를 만듭니다.
TID_BAKERY_DESCRIPTION,빵을 구워냅니다.
TID_POPCORN_POT_DESCRIPTION,팝콘을 만듭니다.
TID_DAIRY_DESCRIPTION,유제품을 만듭니다.
TID_SUGAR_MILL_DESCRIPTION,설탕을 만듭니다.
TID_PIE_OVEN_DESCRIPTION,파이를 구워냅니다.
TID_LOOM_DESCRIPTION,직물을 가공합니다.
TID_BARBECUE_GRILL_DESCRIPTION,그릴 요리를 만듭니다.
TID_CAKE_OVEN_DESCRIPTION,케이크를 구워냅니다.
TID_JUICE_PRESS_DESCRIPTION,주스를 만듭니다.
TID_JAM_MAKER_DESCRIPTION,잼을 만듭니다.
TID_ICE_CREAM_MAKER_DESCRIPTION,아이스크림을 만듭니다.
TID_JEWELER_DESCRIPTION,보석류를 만듭니다.
TID_APPLE_TREE_DESCRIPTION,3번 수확할 수 있습니다.
TID_CHERRY_TREE_DESCRIPTION,3번 수확할 수 있습니다.
TID_CACAO_TREE_DESCRIPTION,3번 수확할 수 있습니다.
TID_RASPBERRY_BUSH_DESCRIPTION,3번 수확할 수 있습니다.
TID_BLACKBERRY_BUSH_DESCRIPTION,3번 수확할 수 있습니다.
TID_NEED_MORE_POPUP_TITLE,재료 부족!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,주문을 완료하려면 재료를 보충하세요.
TID_NEED_MORE_POPUP_GENERIC_TEXT,다이아몬드를 사용하면\n재료를 보충하고 작업을 바로 시작할 수 있습니다.
TID_NEED_MORE_CROPS_HINT,부족한 작물은 친구에게서 구매하세요.\n\n다이아몬드를 사용하면 지금 바로 구매가 가능합니다!
TID_NEED_MORE_CROPS_HINT_MOBILE,부족한 작물은 친구에게서 구매하세요.\n\n다이아몬드를 사용하면 지금 바로 구매가 가능합니다!
TID_NEED_MORE_ANIMAL_FOOD_HINT,사료 배합기를 사용해 동물 사료를 만들어주세요.\n\n다이아몬드를 사용하면 지금 바로 사료를 줄 수 있습니다!
TID_SILO_FULL_TITLE,농작물 저장소 공간 부족
TID_SILO_FULL_DESCRIPTION,농작물 저장소가 가득 찼습니다! 저장소를 개조해서 공간을 늘리세요.
TID_WAREHOUSE_FULL_TITLE,헛간 공간 부족
TID_WAREHOUSE_FULL_DESCRIPTION,헛간이 가득 찼습니다!\n헛간을 개조해서 공간을 늘리세요.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,헛간이 가득 찼습니다!\n헛간을 개조해서 공간을 늘리세요.
TID_LEVEL_UP_TITLE,축하합니다!
TID_LEVEL_UP_TEXT,<LEVEL_NUMBER>레벨 농부가 되었습니다!
TID_LEVEL_UP_ITEM_NEW,신규!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,신규! +<REWARD>
TID_ORDER_TABLE_TITLE,주문
TID_ORDER_TITLE_00,유치원
TID_ORDER_TITLE_01,학교
TID_ORDER_TITLE_02,교회
TID_ORDER_TITLE_03,조안의 미용실
TID_ORDER_TITLE_04,수잔의 옷가게
TID_ORDER_TITLE_05,마이크의 방앗간
TID_ORDER_TITLE_06,벤의 양조장
TID_ORDER_TITLE_07,파비오의 양식장
TID_ORDER_TITLE_08,프랭크의 공장
TID_ORDER_TITLE_09,그랜트의 묘지
TID_ORDER_TABLE_WAITING,잠시 기다려주세요...
TID_ORDER_TABLE_WAITING_TEXT,이 주문은 이제 없습니다. 새 주문을 받거나 잠시 기다리세요!
TID_SOCIAL_LOGIN_TITLE,친구 찾기!
TID_SOCIAL_LOGIN_1_TEXT,<SOCIAL_1>에 로그인하여 친구와 거래하세요!
TID_SOCIAL_LOGIN_2_TEXT,<SOCIAL_1> 또는 <SOCIAL_2>에 로그인하여 친구와 거래하세요!
TID_ROADSIDE_SHOP_TITLE,가판대
TID_ROADSIDE_SHOP_FRIEND_TITLE,<NAME>의 가판대
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,품절
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,새 물품\n판매
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,새 물품
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,가격 조정
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,판매
TID_ROADSIDE_SHOP_ADVERTISE,광고
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,광고하기
TID_SHOP_TITLE,상점
TID_TUTORIAL_01,안녕하세요! 전 허수아비 위커라고 해요. 새 농장을 관리할 수 있도록 제가 도와드릴게요!
TID_TUTORIAL_02a,밀밭을 터치하고 낫을 선택하세요. 그다음 밀밭 위로 낫을 끌어서 밀을 수확합니다.
TID_TUTORIAL_03a,빈 밭을 터치하세요. 그다음 밭 위로 밀을 끌어서 씨앗을 뿌리세요.
TID_TUTORIAL_04,씨앗이 자라려면 시간이 필요합니다. 수확 시에는 밭 하나당 작물을 두 개씩 얻을 수 있어요.
TID_TUTORIAL_05a,집을 터치한 다음 붓을 끌어서 색을 칠해보세요.
TID_TUTORIAL_06a,좋아요! 헛간도 색을 다시 칠하는 게 좋겠네요.
TID_TUTORIAL_07a,농작물 저장소도 색을 칠해주세요!
TID_TUTORIAL_10,잘하셨어요! 그러면 이제 깃털 달린 친구들을 좀 들여놔 볼까요?
TID_TUTORIAL_10a,상점에서 닭을 끌어다가 닭장에 놓으세요.
TID_TUTORIAL_11a,한 마리 더 사보죠!
TID_TUTORIAL_12a,세 마리까지 사두는 게 좋겠군요.
TID_TUTORIAL_13a,닭을 터치하고 사료를 닭 위로 끌어서 먹이세요.
TID_TUTORIAL_14a,닭을 터치한 다음 즉시 완료 버튼을 터치하세요!
TID_TUTORIAL_14b,닭을 터치한 다음 즉시 완료 버튼을 두 번 터치하세요!
TID_TUTORIAL_14c,닭을 터치한 다음 즉시 완료 버튼을 길게 터치하세요!
TID_TUTORIAL_15a,잘하셨어요! 두 번째 닭에게서도 바로 달걀을 얻어보죠.
TID_TUTORIAL_16a,훌륭해요! 세 번째 닭도 똑같이 해보세요.
TID_TUTORIAL_17a,바구니를 닭 위로 끌어서 달걀을 모을 수 있어요.
TID_TUTORIAL_20,좋아요! 밀을 수확했으니 새 베이커리로 빵을 구워보는 게 어떨까요?
TID_TUTORIAL_20a,왼쪽 아래에 있는 버튼을 터치해서 상점 메뉴를 열어보세요. 농장에 베이커리를 끌어다 놓으면 구매할 수 있습니다.
TID_TUTORIAL_20a_MOBILE,왼쪽 아래에 있는 버튼을 터치해서 상점 메뉴를 열어보세요. 농장에 베이커리를 끌어다 놓으면 구매할 수 있습니다.
TID_TUTORIAL_21a,베이커리가 다 완성될 때까지 기다리거나 다이아몬드로 즉시 건설을 완료하세요.
TID_TUTORIAL_22a,베이커리를 터치하고 빵을 끌어다 놓으세요.
TID_TUTORIAL_23a,빵 밑에 있는 즉시 완료 버튼을 터치해서 빵 굽기를 마치세요. 냄새가 정말 좋은데요!
TID_TUTORIAL_24,레벨이 오르면 새로운 물건들을 사용할 수 있어요. 지금은 상점에서 밭 세 곳을 더 구매할 수 있군요!
TID_TUTORIAL_24a,상점 메뉴를 연 다음 밭 세 곳을 농장으로 끌어 구매하세요.
TID_TUTORIAL_25a,씨앗을 더 심어보도록 해요. 방법은 알고 있죠? 밭을 터치하면 돼요!
TID_TUTORIAL_26,배부른 가축은 농장을 번창하게 해줍니다. 사료 배합기를 설치해서 가축에게 줄 사료를 만드세요!
TID_TUTORIAL_26a,농장에 사료 배합기를 끌어다 놓으면 구매할 수 있습니다.
TID_TUTORIAL_27,"일이 점점 많아지네요! 계속 작물을 수확하고, 빵을 굽고, 달걀을 거둬서 판매하세요."
TID_TUTORIAL_27a,즉시 완료 버튼으로 작물을 바로 수확할 수 있다는 걸 잊지 마세요.
TID_TUTORIAL_28,"앗, 배달 트럭이 왔네요! 이제 곧 주문이 밀려들겠어요!"
TID_TUTORIAL_29,들어온 주문은 주문판에서 확인이 가능해요. 주문 받은 물건을 배달하면 돈과 경험치를 얻을 수 있죠.
TID_TUTORIAL_29a,트럭이나 주문판을 터치해서 첫 배달을 마치세요.
TID_TUTORIAL_30,트럭이 출발했어요! 배달 트럭이 유치원으로 가고 있어요.
TID_TUTORIAL_30a,신선한 농장 제품은 아무리 생산해도 늘 부족하지요! 다른 주문도 처리해 볼까요?
TID_TUTORIAL_31,이제 정말로 익숙해진 것 같군요! 계속 농사를 짓고 주문을 받으세요.
TID_TUTORIAL_31a,계속 농사를 짓고 주문을 받으세요.
TID_TUTORIAL_36,이 주변에서 소 구경을 한 지 꽤 오래 되었어요!
TID_TUTORIAL_36a,상점에서 소 목장을 끌어 놓으면 구매할 수 있습니다.
TID_TUTORIAL_37a,그런 다음 소를 우리 안에 끌어다 놓으세요.
TID_TUTORIAL_38a,배가 고픈 모양이에요. 먹이를 줘야겠어요!
TID_TUTORIAL_39,소를 배불리 잘 먹여두면 영양이 듬뿍 든 우유를 짤 수 있어요.
TID_TUTORIAL_40,"돈이 충분히 모이면 상점에서 유제품 가공소를 구매하세요. 유제품 가공장에서는 우유를 사용해 크림과 버터, 치즈를 만들 수 있어요!"
TID_TUTORIAL_42,"안녕하세요! 저는 마이크에요. 타운 근처에서 오래된 방앗간을 운영하고 있죠. 그나저나 농장이 정말 멋지네요! 재미있는 이름을 지어주는 건 어떨까요? 단, 실명은 사용하지 않는 것이 좋습니다."
TID_TUTORIAL_45,"농장을 잘 보살피는 분이 계시니 든든하네요. 그럼, 또 뵙죠!"
TID_TUTORIAL_46,"와, 고소한 냄새! 여기서 나는 거 맞지요? 어머나, 내 정신 좀 봐! 실례했어요, 저는 조안이라고 해요."
TID_TUTORIAL_GUEST1,방문객이 오셨네요! 터치해서 이야기를 나눠보세요!
TID_TUTORIAL_GUEST2,방문객이 또 오셨군요! 무슨 일인지 알아보도록 하세요.
TID_TUTORIAL_47a,일단 터치해서 덮개부터 벗겨내 보죠.
TID_TUTORIAL_48a,트럭이 보상을 싣고 돌아올 거예요. 터치해서 보상을 받으세요!
TID_TUTORIAL_47,보세요! 유치원 어린이들이\n감사의 의미로 그림을 보내왔어요!
TID_TUTORIAL_GUEST3,저 덩치 큰 사람은 누구죠?
TID_TUTORIAL_48,안녕하세요! 저는 이웃에 사는 그렉이라고 합니다. 혹시 도구가 필요하거든 저희 농장에 들러주세요!
TID_TUTORIAL_49,농장의 나무와 바위를 제거하려면 도구가 필요해요. 그렉의 농장에 한 번 가보죠!
TID_TUTORIAL_GUEST4,친구 탭을 여세요!
