Name,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty
String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int
Vanilla Milkshake,recipe_vanilla_milkshake,TID_PRODUCT_DECADENT_MILKSHAKE,Milkshake_Bar,1,Vanilla Ice Cream,45,347,334,80,3,187,116,142,124,TID_MILKSHAKE_BAR_PRODUCT_DESCRIPTION,119
,,,,2,Cookie,,,,,,,,,,,
,,,,1,Toffee,,,,,,,,,,,
,,,,1,Syrup,,,,,,,,,,,
Mocha Milkshake,recipe_mocha_milkshake,TID_PRODUCT_MOCHA_MILKSHAKE,Milkshake_Bar,1,Chocolate Ice Cream,30,442,425,102,3,238,156,171,125,TID_MILKSHAKE_BAR_PRODUCT_DESCRIPTION,159
,,,,2,Espreso,,,,,,,,,,,
Fruity Milkshake,recipe_fruity_milkshake,TID_PRODUCT_FRUITY_MILKSHAKE,Milkshake_Bar,1,Peach Ice Cream,35,392,377,90,3,211,113,113,126,TID_MILKSHAKE_BAR_PRODUCT_DESCRIPTION,116
,,,,2,Orange,,,,,,,,,,,
,,,,1,Lemon,,,,,,,,,,,
