TID,MS
string,string
TID_LANGUAGE_TITLE,Pilih bahasa
TID_SHOP_UNLOCK_TEXT,Membuka pada tahap <LEVELX>
TID_ANIMAL_SHOP_DESCRIPTION,Menghasilkan <ITEM> dalam <TIME>
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,Rumah untuk <CAPACITY> Ayam
TID_COW_HABITAT_SHOP_DESCRIPTION,Rumah untuk <CAPACITY> Lembu
TID_PIG_HABITAT_SHOP_DESCRIPTION,Rumah untuk <CAPACITY> Khinzir
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,Rumah untuk <CAPACITY> Biri-biri
TID_GOAT_HABITAT_SHOP_DESCRIPTION,Rumah untuk <CAPACITY> Kambing
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,Tanaman ditanam di petak tanaman
TID_EMPTY_FIELD_SHOP_DESCRIPTION,Petak tanaman digunakan untuk menanam
TID_TIME_D_H,<D> h <H> j
TID_TIME_H_M,<H> j <M> min
TID_TIME_H,<H> j
TID_TIME_M_S,<M> min <S> saat
TID_TIME_M,<M> min
TID_TIME_S,<S> saat
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,Stor Silo: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,Stor Bangsal: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Kosong
TID_PRODUCTION_LIST_WAITING,Menunggu...
TID_ANIMAL_HUNGRY,Lapar
TID_ANIMAL_READY_TO_HARVEST,Sedia untuk diambil
TID_WHEAT,Gandum
TID_CARROT,Lobak Merah
TID_CORN,Jagung
TID_SOY_BEAN,Kacang Soya
TID_SUGAR_CANE,Tebu
TID_PUMPKIN,Labu
TID_CHILI,Cili
TID_INDIGO,Lavender
TID_TOMATO,Tomato
TID_CHICKEN_FOOD,Makanan Ayam
TID_COW_FOOD,Makanan Lembu
TID_SHEEP_FOOD,Makanan Biri-biri
TID_PIG_FOOD,Makanan Khinzir
TID_GOAT_FOOD,Makanan Kambing
TID_EGG,Telur
TID_MILK,Susu
TID_WOOL,Kapas
TID_BACON,Bakon
TID_GOAT_MILK,Susu Kambing
TID_CREAM,Krim
TID_BUTTER,Mentega
TID_CHEESE,Keju
TID_GOAT_CHEESE,Keju Kambing
TID_BREAD,Roti
TID_COOKIE,Biskut
TID_CORN_BREAD,Roti Jagung
TID_CHEESE_CAKE,Kek Keju
TID_CARROT_CAKE,Kek Lobak Merah
TID_BIRTHDAY_CAKE,Kek Krim
TID_CHOCOLATE_CAKE,Kek Coklat
TID_STRAWBERRY_CAKE,Kek Strawberi
TID_CARROT_PIE,Pai Lobak Merah
TID_BACON_PIE,Pai Bakon
TID_PUMPKIN_PIE,Pai Labu
TID_BROWN_SUGAR,Gula Perang
TID_WHITE_SUGAR,Gula Putih
TID_SYRUP,Sirap
TID_SWEATER,Baju Sejuk
TID_BLUE_WOOLLY_HAT,Topi Berbulu Biru
TID_BLUE_SWEATER,Baju Sejuk Biru
TID_POPCORN,Popcorn
TID_BUTTER_POPCORN,Popcorn perisa Mentega
TID_CHILI_POPCORN,Popcorn Bercili
TID_BACON_AND_EGGS,Bakon dan Telur
TID_PANCAKE,Pankek
TID_HAMBURGER,Hamburger
TID_PIZZA,Piza
TID_SPICY_PIZZA,Piza Pedas
TID_ROASTED_TOMATOES,Tomato Panggang
TID_CARROT_JUICE,Jus Lobak Merah
TID_TOMATO_JUICE,Jus Tomato
TID_APPLE_JUICE,Jus Epal
TID_CHERRY_JUICE,Jus Ceri
TID_BERRY_JUICE,Jus Beri
TID_APPLE,Epal
TID_CHERRY,Ceri
TID_CACAO,Koko
TID_RASPBERRY,Raspberi
TID_BLACKBERRY,Beri Hitam
TID_APPLE_JAM,Jem Epal
TID_RASPBERRY_JAM,Jem Raspberi
TID_BLUEBERRY_JAM,Jem Beri Hitam
TID_CHERRY_JAM,Jem Ceri
TID_VANILLA_ICE_CREAM,Aiskrim Vanila
TID_CHERRY_POPSICLE,Aiskrim Pop Ceri
TID_CHOCOLATE_ICE_CREAM,Aiskrim Coklat
TID_APPLE_PIE,Pai Epal
TID_FETA_PIE,Pai Feta
TID_BRACELET,Gelang Tangan
TID_NECKLACE,Rantai
TID_DIAMOND_RING,Cincin Berlian
TID_FEED_MILL,Pengisar Makanan
TID_BAKERY,Bakeri
TID_POPCORN_POT,Periuk Popcorn
TID_DAIRY,Penghasil Tenusu
TID_SUGAR_MILL,Kilang Gula
TID_PIE_OVEN,Ketuhar Pai
TID_LOOM,Akik
TID_CAKE_OVEN,Ketuhar Kek
TID_BARBECUE_GRILL,Gril BBQ
TID_JUICE_PRESS,Pemproses Jus
TID_JAM_MAKER,Pembuat Jem
TID_ICE_CREAM_MAKER,Pembuat Aiskrim
TID_JEWELER,Kedai Emas
TID_APPLE_TREE,Pokok Epal
TID_CHERRY_TREE,Pokok Ceri
TID_CACAO_TREE,Pokok Koko
TID_RASPBERRY_BUSH,Rimbunan Raspberi
TID_BLACKBERRY_BUSH,Rimbunan Beri Hitam
TID_DYNAMITE,Dinamit
TID_DEMOLITION_CHARGE,Tong TNT
TID_AXE,Kapak
TID_SAW,Gergaji
TID_SHOVEL,Penyodok
TID_PLANK,Papan
TID_NAIL,Paku
TID_BOLT,Bolt
TID_SCREW,Skru
TID_DUCT_TAPE,Pita Saluran
TID_WOOD_PANEL,Panel Kayu
TID_EMPTY_FIELD,Padang
TID_CHICKEN,Ayam
TID_COW,Lembu
TID_SHEEP,Biri-biri
TID_PIG,Khinzir
TID_GOAT,Kambing
TID_CHICKEN_HABITAT,Reban Ayam
TID_COW_HABITAT,Kandang Lembu
TID_SHEEP_HABITAT,Kandang Biri-biri
TID_PIG_HABITAT,Kandang Khinzir
TID_GOAT_HABITAT,Kandang Kambing
TID_HAMMERMILL_DESCRIPTION,Menghasilkan Makanan Haiwan
TID_BAKERY_DESCRIPTION,Membakar Makanan
TID_POPCORN_POT_DESCRIPTION,Menghasilkan Popcorn
TID_DAIRY_DESCRIPTION,Menghasilkan Barangan Tenusu
TID_SUGAR_MILL_DESCRIPTION,Menghasilkan Barangan Gula
TID_PIE_OVEN_DESCRIPTION,Membakar Pai
TID_LOOM_DESCRIPTION,Menenun Pakaian
TID_BARBECUE_GRILL_DESCRIPTION,Menyalai Makanan
TID_CAKE_OVEN_DESCRIPTION,Membakar Kek
TID_JUICE_PRESS_DESCRIPTION,Memproses jus
TID_JAM_MAKER_DESCRIPTION,Membuat Jem
TID_ICE_CREAM_MAKER_DESCRIPTION,Membuat Aiskrim
TID_JEWELER_DESCRIPTION,Membuat Barang Kemas
TID_APPLE_TREE_DESCRIPTION,Petik tiga kali
TID_CHERRY_TREE_DESCRIPTION,Petik tiga kali
TID_CACAO_TREE_DESCRIPTION,Petik tiga kali
TID_RASPBERRY_BUSH_DESCRIPTION,Petik tiga kali
TID_BLACKBERRY_BUSH_DESCRIPTION,Petik tiga kali
TID_NEED_MORE_POPUP_TITLE,Sumber tidak cukup!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,Dapatkan sumber yang tiada untuk menyelesaikan pesanan.
TID_NEED_MORE_POPUP_GENERIC_TEXT,Dapatkan sumber yang tiada dan membuat tindakan menggunakan berlian.
TID_NEED_MORE_CROPS_HINT,Anda boleh membeli tanaman yang tiada daripada rakan.\n\nAtau beli sekarang dengan berlian!
TID_NEED_MORE_CROPS_HINT_MOBILE,Anda boleh membeli tanaman yang tiada daripada rakan.\n\nAtau beli sekarang dengan berlian!
TID_NEED_MORE_ANIMAL_FOOD_HINT,Buat lebih banyak makanan untuk haiwan anda menggunakan Pengisar Makanan atau beri makan haiwan itu sekarang menggunakan berlian.
TID_SILO_FULL_TITLE,Silo Penuh
TID_SILO_FULL_DESCRIPTION,Silo penuh! Dapatkan lebih banyak ruang dengan meningkatkan silo anda.
TID_WAREHOUSE_FULL_TITLE,Bangsal Penuh
TID_WAREHOUSE_FULL_DESCRIPTION,Bangsal penuh! Dapatkan lebih banyak ruang dengan meningkatkan bangsal anda.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,Bangsal penuh! Dapatkan lebih banyak ruang dengan meningkatkan bangsal anda.
TID_LEVEL_UP_TITLE,TAHNIAH!
TID_LEVEL_UP_TEXT,Anda kini peladang TAHAP <LEVEL_NUMBER>!
TID_LEVEL_UP_ITEM_NEW,Baharu!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,Baharu! +<REWARD>
TID_ORDER_TABLE_TITLE,Pesanan
TID_ORDER_TITLE_00,Tadika
TID_ORDER_TITLE_01,Sekolah
TID_ORDER_TITLE_02,Gereja
TID_ORDER_TITLE_03,Salun Joan
TID_ORDER_TITLE_04,Kedai Susan
TID_ORDER_TITLE_05,Kilang Mike
