TID,NO
string,string
TID_LANGUAGE_TITLE,Velg språk
TID_SHOP_UNLOCK_TEXT,Låses opp på nivå <LEVELX>
TID_ANIMAL_SHOP_DESCRIPTION,Produserer <ITEM>\npå <TIME>
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,Har plass til <CAPACITY> høner
TID_COW_HABITAT_SHOP_DESCRIPTION,Har plass til <CAPACITY> kuer
TID_PIG_HABITAT_SHOP_DESCRIPTION,Har plass til <CAPACITY> griser
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,Har plass til <CAPACITY> sauer
TID_GOAT_HABITAT_SHOP_DESCRIPTION,Har plass til <CAPACITY> geiter
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,Avlinger dyrkes på jordlapper
TID_EMPTY_FIELD_SHOP_DESCRIPTION,Jordlapper brukes for å dyrke avlinger
TID_TIME_D_H,<D> d <H> t
TID_TIME_H_M,<H> t <M> min
TID_TIME_H,<H> t
TID_TIME_M_S,<M> min <S> sek
TID_TIME_M,<M> min
TID_TIME_S,<S> sek
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,Silo: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,Låve: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Tom
TID_PRODUCTION_LIST_WAITING,Venter ...
TID_ANIMAL_HUNGRY,Sulten
TID_ANIMAL_READY_TO_HARVEST,Kan samles inn
TID_WHEAT,Hvete
TID_CARROT,Gulrot
TID_CORN,Mais
TID_SOY_BEAN,Soyabønne
TID_SUGAR_CANE,Sukkerrør
TID_PUMPKIN,Gresskar
TID_CHILI,Chilipepper
TID_INDIGO,Indigo
TID_TOMATO,Tomat
TID_CHICKEN_FOOD,Hønsefôr
TID_COW_FOOD,Kufôr
TID_SHEEP_FOOD,Sauefôr
TID_PIG_FOOD,Grisefôr
TID_GOAT_FOOD,Geitefôr
TID_EGG,Egg
TID_MILK,Melk
TID_WOOL,Ull
TID_BACON,Bacon
TID_GOAT_MILK,Geitemelk
TID_CREAM,Fløte
TID_BUTTER,Smør
TID_CHEESE,Ost
TID_GOAT_CHEESE,Geitost
TID_BREAD,Brød
TID_COOKIE,Småkake
TID_CORN_BREAD,Maisbrød
TID_CHEESE_CAKE,Ostekake
TID_CARROT_CAKE,Gulrotkake
TID_BIRTHDAY_CAKE,Bløtkake
TID_CHOCOLATE_CAKE,Sjokoladekake
TID_STRAWBERRY_CAKE,Jordbærkake
TID_CARROT_PIE,Gulrotpai
TID_BACON_PIE,Baconpai
TID_PUMPKIN_PIE,Gresskarpai
TID_BROWN_SUGAR,Brunt sukker
TID_WHITE_SUGAR,Hvitt sukker
TID_SYRUP,Sirup
TID_SWEATER,Genser
