TID,PT
string,string
TID_LANGUAGE_TITLE,Selecionar idioma
TID_SHOP_UNLOCK_TEXT,Desbloqueia no nível <LEVELX>.
TID_ANIMAL_SHOP_DESCRIPTION,Produz <ITEM> em <TIME>.
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,Abriga <CAPACITY> galinhas.
TID_COW_HABITAT_SHOP_DESCRIPTION,Abriga <CAPACITY> vacas.
TID_PIG_HABITAT_SHOP_DESCRIPTION,Abriga <CAPACITY> porcos.
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,Abriga <CAPACITY> ovelhas.
TID_GOAT_HABITAT_SHOP_DESCRIPTION,Abriga <CAPACITY> cabras.
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,Plantações crescem nos campos.
TID_EMPTY_FIELD_SHOP_DESCRIPTION,Use os campos para cultivar plantações.
TID_TIME_D_H,<D> d <H> h
TID_TIME_H_M,<H> h <M> min
TID_TIME_H,<H> h
TID_TIME_M_S,<M> min <S> seg
TID_TIME_M,<M> min
TID_TIME_S,<S> seg
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,Capacidade do silo: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,{size=17}Capacidade do celeiro: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Vazio
TID_PRODUCTION_LIST_WAITING,Aguardando...
TID_ANIMAL_HUNGRY,Com fome
TID_ANIMAL_READY_TO_HARVEST,Pronto para coletar
TID_WHEAT,Trigo
TID_CARROT,Cenoura
TID_CORN,Milho
TID_SOY_BEAN,Soja
TID_SUGAR_CANE,Cana-de-açúcar
TID_PUMPKIN,Abóbora
TID_CHILI,Pimenta
TID_INDIGO,Índigo
TID_TOMATO,Tomate
TID_CHICKEN_FOOD,Ração das galinhas
TID_COW_FOOD,Ração das vacas
TID_SHEEP_FOOD,Ração das ovelhas
TID_PIG_FOOD,Ração dos porcos
TID_GOAT_FOOD,Ração das cabras
TID_EGG,Ovo
TID_MILK,Leite
TID_WOOL,Lã
TID_BACON,Bacon
TID_GOAT_MILK,Leite de cabra
TID_CREAM,Nata
TID_BUTTER,Manteiga
TID_CHEESE,Queijo
TID_GOAT_CHEESE,Queijo de cabra
TID_BREAD,Pão
TID_COOKIE,Biscoito
TID_CORN_BREAD,Pão de milho
TID_CHEESE_CAKE,Bolo de queijo
TID_CARROT_CAKE,Bolo de cenoura
TID_BIRTHDAY_CAKE,Bolo cremoso
TID_CHOCOLATE_CAKE,Bolo de chocolate
TID_STRAWBERRY_CAKE,Bolo de morango
