Name,ToolIconExportName,TID,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,ProcessingBuilding,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,Deprecated,DiamondPrice
String,String,String,int,String,int,int,int,int,int,int,int,int,String,int,string,int,Boolean,Boolean,int
Gift_Box1,gift_package01,TID_GIFT_BOX1,1,Corn Bread,10,57,10,57,10,57,55,100,Gift_Wrapping_Station_2024,17,TID_GIFT_BOX_DESCRIPTION,65,,,
,,,3,Apple,,,,,,,,,,,,,,,
,,,1,Wool,,,,,,,,,,,,,,,
Gift_Box2,gift_package02,TID_GIFT_BOX2,1,Bacon and Eggs,10,84,10,84,10,84,85,100,Gift_Wrapping_Station_2024,17,TID_GIFT_BOX_DESCRIPTION,95,,,
,,,5,Indigo,,,,,,,,,,,,,,,
,,,5,Carrot,,,,,,,,,,,,,,,
Gift_Box3,gift_package03,TID_GIFT_BOX3,1,Fish Pie,10,98,20,98,10,98,94,100,Gift_Wrapping_Station_2024,30,TID_GIFT_BOX_DESCRIPTION,104,,,
,,,5,Tomato,,,,,,,,,,,,,,,
,,,5,Corn,,,,,,,,,,,,,,,
Gift_Box4,gift_package04,TID_GIFT_BOX4,1,Cherry Popsicle,10,133,20,133,10,133,128,100,Gift_Wrapping_Station_2024,35,TID_GIFT_BOX_DESCRIPTION,138,,,
,,,5,Strawberry,,,,,,,,,,,,,,,
,,,1,Goat Milk,,,,,,,,,,,,,,,
Easter_egg1,egg_package01,TID_EASTER_EGG1,1,Brown_Sugar,30,87,20,20,3,47,,34,Easter_Egg_Maker,17,TID_EASTER_EGG_DESCRIPTION,34,,,
,,,2,Egg,,,,,,,,,,,,,,,
,,,3,Indigo,,,,,,,,,,,,,,,
Easter_egg2,egg_package02,TID_EASTER_EGG2,1,Syrup,45,206,25,48,3,111,,84,Easter_Egg_Maker,25,TID_EASTER_EGG_DESCRIPTION,77,,,
,,,1,Butter,,,,,,,,,,,,,,,
,,,3,Cherry,,,,,,,,,,,,,,,
Easter_egg3,egg_package03,TID_EASTER_EGG3,1,Cream,60,244,25,56,4,132,,68,Easter_Egg_Maker,43,TID_EASTER_EGG_DESCRIPTION,72,,,
,,,3,Blackberry,,,,,,,,,,,,,,,
,,,1,Honey,,,,,,,,,,,,,,,
Easter_egg4,egg_package04,TID_EASTER_EGG4,3,Pineapple,90,258,30,59,5,139,,97,Easter_Egg_Maker,54,TID_EASTER_EGG_DESCRIPTION,97,,,
,,,3,Cacao,,,,,,,,,,,,,,,
,,,1,Toffee,,,,,,,,,,,,,,,
Gift_Box1_23,gift_package05,TID_GIFT_BOX1_23,1,Cookie,45,157,20,36,3,60,,60,Gift_Wrapping_Station_2023,17,TID_GIFT_BOX_DESCRIPTION,58,,,
,,,3,Milk,,,,,,,,,,,,,,,
,,,3,Pumpkin,,,,,,,,,,,,,,,
Gift_Box2_23,gift_package06,TID_GIFT_BOX2_23,1,Wooly Pants,45,294,25,68,3,75,,100,Gift_Wrapping_Station_2023,25,TID_GIFT_BOX_DESCRIPTION,109,,,
,,,3,Cotton,,,,,,,,,,,,,,,
,,,3,Apple,,,,,,,,,,,,,,,
Gift_Box3_23,gift_package07,TID_GIFT_BOX3_23,1,Spicy Pizza,60,298,25,69,4,80,,100,Gift_Wrapping_Station_2023,43,TID_GIFT_BOX_DESCRIPTION,92,,,
,,,3,Strawberry,,,,,,,,,,,,,,,
,,,1,Honey,,,,,,,,,,,,,,,
Gift_Box4_23,gift_package08,TID_GIFT_BOX4_23,1,Caramel latte,90,304,30,70,5,90,,150,Gift_Wrapping_Station_2023,70,TID_GIFT_BOX_DESCRIPTION,121,,,
,,,1,Lemon,,,,,,,,,,,,,,,
,,,3,Lily,,,,,,,,,,,,,,,
Easter_egg1_24,egg_package05,TID_EASTER_EGG1_24,1,Pumpkin Pie,10,57,10,57,10,57,54,100,Easter_Egg_Maker_2025,17,TID_EASTER_EGG_DESCRIPTION,64,,,
,,,5,Soybean,,,,,,,,,,,,,,,
,,,5,Wheat,,,,,,,,,,,,,,,
Easter_egg2_24,egg_package06,TID_EASTER_EGG2_24,1,Raspberry Muffin,10,100,20,100,10,100,97,100,Easter_Egg_Maker_2025,20,TID_EASTER_EGG_DESCRIPTION,107,,,
,,,1,Pumpkin,,,,,,,,,,,,,,,
,,,5,Corn,,,,,,,,,,,,,,,
Easter_egg3_24,egg_package07,TID_EASTER_EGG3_24,1,Apple Juice,10,79,10,79,10,79,77,100,Easter_Egg_Maker_2025,35,TID_EASTER_EGG_DESCRIPTION,87,,,
,,,5,Potato,,,,,,,,,,,,,,,
,,,1,Goat Milk,,,,,,,,,,,,,,,
Easter_egg4_24,egg_package08,TID_EASTER_EGG4_24,1,Toffee,10,79,35,79,10,79,77,100,Easter_Egg_Maker_2025,55,TID_EASTER_EGG_DESCRIPTION,87,,,
,,,3,Sesame,,,,,,,,,,,,,,,
,,,5,Lily,,,,,,,,,,,,,,,
Birthday_balloon1_24,balloon_package01,TID_BIRTHDAY_BALLOON1_24,1,Sweater,15,67,20,67,5,60,65,65,Birthday_Balloon_Maker_2024,17,TID_BIRTHDAY_BALLOON_DESCRIPTION,34,,,65
,,,3,Apple,,,,,,,,,,,,,,,
,,,3,Bacon,,,,,,,,,,,,,,,
Birthday_balloon2_24,balloon_package02,TID_BIRTHDAY_BALLOON2_24,1,Carrot Cake,25,77,25,77,5,75,75,85,Birthday_Balloon_Maker_2024,22,TID_BIRTHDAY_BALLOON_DESCRIPTION,77,,,75
,,,3,Cotton,,,,,,,,,,,,,,,
,,,3,Cherry,,,,,,,,,,,,,,,
Birthday_balloon3_24,balloon_package03,TID_BIRTHDAY_BALLOON3_24,1,Fishburger,45,133,25,133,10,80,100,109,Birthday_Balloon_Maker_2024,35,TID_BIRTHDAY_BALLOON_DESCRIPTION,72,,,100
,,,3,Potato,,,,,,,,,,,,,,,
,,,1,Goat Milk,,,,,,,,,,,,,,,
Birthday_balloon4_24,balloon_package04,TID_BIRTHDAY_BALLOON4_24,1,Honey,45,166,30,166,15,90,165,167,Birthday_Balloon_Maker_2024,45,TID_BIRTHDAY_BALLOON_DESCRIPTION,97,,,165
,,,1,Mocha,,,,,,,,,,,,,,,
,,,5,Corn,,,,,,,,,,,,,,,
Halloween_candy1_24,halloween_candy01,TID_HALLOWEEN_CANDY1_24,3,Sugarcane,10,27,10,27,10,27,29,100,Halloween_Candy_Maker_2024,17,TID_HALLOWEEN_CANDY_DESCRIPTION,39,,,65
,,,3,Carrot,,,,,,,,,,,,,,,
,,,1,Egg,,,,,,,,,,,,,,,
Halloween_candy2_24,halloween_candy02,TID_HALLOWEEN_CANDY2_24,1,Apple,15,45,10,45,15,45,42,100,Halloween_Candy_Maker_2024,17,TID_HALLOWEEN_CANDY_DESCRIPTION,57,,,75
,,,1,Popcorn,,,,,,,,,,,,,,,
,,,3,Indigo,,,,,,,,,,,,,,,
Halloween_candy3_24,halloween_candy03,TID_HALLOWEEN_CANDY3_24,1,Blue Sweater,20,109,25,109,20,109,103,100,Halloween_Candy_Maker_2024,35,TID_HALLOWEEN_CANDY_DESCRIPTION,123,,,100
,,,5,Chili,,,,,,,,,,,,,,,
,,,2,Brown_Sugar,,,,,,,,,,,,,,,
Halloween_candy4_24,halloween_candy04,TID_HALLOWEEN_CANDY4_24,1,Potato Bread,20,126,35,126,20,126,99,100,Halloween_Candy_Maker_2024,50,TID_HALLOWEEN_CANDY_DESCRIPTION,119,,,165
,,,1,Honey,,,,,,,,,,,,,,,
,,,3,Pumpkin,,,,,,,,,,,,,,,
Gift_Box1_24,gift_package09,TID_GIFT_BOX1_24,1,Blue Woolly Hat,10,87,10,87,10,87,87,100,Gift_Wrapping_Station_2024,20,TID_GIFT_BOX_DESCRIPTION,97,,,
,,,3,Raspberry,,,,,,,,,,,,,,,
,,,5,Cotton,,,,,,,,,,,,,,,
