Name,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease
String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean
Lobster Soup,recipe_lobster_soup,TID_LOBSTER_SOUP,Soup_Kitchen,2,Lobster Meat,150,315,303,73,6,170,78,94,46,TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,84,
,,,,1,Cream,,,,,,,,,,,,
,,,,1,Tomato,,,,,,,,,,,,
,,,,2,Chili,,,,,,,,,,,,
Tomato Soup,recipe_tomato_soup,TID_TOMATO_SOUP,Soup_Kitchen,2,Tomato,90,247,237,57,5,133,88,88,47,TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,93,
,,,,1,Tomato Juice,,,,,,,,,,,,
,,,,1,Chili,,,,,,,,,,,,
,,,,1,Goat Cheese,,,,,,,,,,,,
Fish Soup,recipe_fish_soup,TID_FISH_SOUP,Soup_Kitchen,3,Potato,180,154,148,35,6,83,57,57,53,TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,63,
,,,,1,Milk,,,,,,,,,,,,
,,,,2,Fish Meat,,,,,,,,,,,,
,,,,1,Carrot,,,,,,,,,,,,
Pumpkin Soup,recipe_pumpkin_soup,TID_PRODUCT_PUMPKIN_SOUP,Soup_Kitchen,3,Pumpkin,120,202,194,47,5,109,50,50,49,TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,55,
,,,,2,Carrot,,,,,,,,,,,,
,,,,1,Butter,,,,,,,,,,,,
,,,,1,Honey,,,,,,,,,,,,
Noodle Soup,recipe_noodle_soup,TID_PRODUCT_NOODLE_SOUP,Soup_Kitchen,3,Rice Noodles,120,223,215,52,5,120,75,75,73,TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,82,
,,,,2,Carrot,,,,,,,,,,,,
,,,,1,Chili,,,,,,,,,,,,
,,,,2,Egg,,,,,,,,,,,,
Onion Soup,recipe_onion_soup,TID_PRODUCT_ONIONSOUP,Soup_Kitchen,3,Onion,150,170,163,39,6,91,60,60,72,TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,66,
,,,,1,Cheese,,,,,,,,,,,,
,,,,2,Bread,,,,,,,,,,,,
PotatoSoup,recipe_potato_soup,TID_POTATO_SOUP,Soup_Kitchen,3,Potato,150,132,127,31,6,71,49,49,78,TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,55,
,,,,1,Milk,,,,,,,,,,,,
,,,,2,Onion,,,,,,,,,,,,
PepperSoup,recipe_pepper_soup,TID_PRODUCT_PEPPERSOUP,Soup_Kitchen,2,Bellpepper,60,227,218,52,4,122,83,83,81,TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,87,
,,,,1,Chili,,,,,,,,,,,,
,,,,1,Bread,,,,,,,,,,,,
,,,,1,OliveOil,,,,,,,,,,,,
Broccoli Soup,recipe_broccoli_soup,TID_PRODUCT_BROCCOLISOUP,Soup_Kitchen,3,Broccoli,75,123,119,28,4,66,45,45,87,TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,49,
,,,,3,Potato,,,,,,,,,,,,
,,,,1,Onion,,,,,,,,,,,,
MushroomSoup,recipe_mushroom_soup,TID_MUSHROOM_SOUP,Soup_Kitchen,3,Mushroom,80,92,88,21,4,49,32,32,104,TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,36,
,,,,2,Onion,,,,,,,,,,,,
,,,,1,Milk,,,,,,,,,,,,
Cabbage Soup,recipe_cabbage_soup,TID_PRODUCT_CABBAGESOUP,Soup_Kitchen,3,Cabbage,90,138,133,32,5,75,52,52,65,TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,57,
,,,,2,Potato,,,,,,,,,,,,
,,,,2,Bacon,,,,,,,,,,,,
,,,,2,Carrot,,,,,,,,,,,,
Asparagus Soup,recipe_asparagus_soup,TID_ASPARAGUS_SOUP,Soup_Kitchen,3,Asparagus,60,132,127,30,4,71,44,44,51,TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,48,
,,,,2,Cream,,,,,,,,,,,,
