Name,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease
String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean
Chickpea Stew,recipe_chickpea_stew,TID_CHICKPEA_STEW,Stew_Pot,3,Chickpea,90,147,141,34,5,79,52,52,106,TID_STEW_POT_PRODUCT_DESCRIPTION,57,
,,,,2,Tomato,,,,,,,,,,,,
,,,,1,Coconut,,,,,,,,,,,,
Winter Stew,recipe_winter_stew,TID_WINTER_STEW,Stew_Pot,1,Bacon,140,153,147,35,6,82,57,57,112,TID_STEW_POT_PRODUCT_DESCRIPTION,63,
,,,,3,Potato,,,,,,,,,,,,
,,,,2,Mushroom,,,,,,,,,,,,
,,,,2,Onion,,,,,,,,,,,,
Chili Stew,recipe_chili_stew,TID_CHILI_STEW,Stew_Pot,2,Bacon,120,192,185,44,5,103,70,70,109,TID_STEW_POT_PRODUCT_DESCRIPTION,75,
,,,,3,Chili,,,,,,,,,,,,
,,,,2,Onion,,,,,,,,,,,,
,,,,1,Cream,,,,,,,,,,,,
