TID,SV
string,string
TID_LANGUAGE_TITLE,Välj språk
TID_SHOP_UNLOCK_TEXT,Låses upp på nivå <LEVELX>!
TID_ANIMAL_SHOP_DESCRIPTION,Producerar <ITEM> på <TIME>
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,Hem åt <CAPACITY> hönor
TID_COW_HABITAT_SHOP_DESCRIPTION,Hem åt <CAPACITY> kor
TID_PIG_HABITAT_SHOP_DESCRIPTION,Hem åt <CAPACITY> grisar
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,Hem åt <CAPACITY> får
TID_GOAT_HABITAT_SHOP_DESCRIPTION,Hem åt <CAPACITY> getter
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,Grödor odlas på fält
TID_EMPTY_FIELD_SHOP_DESCRIPTION,Fält används för att odla grödor
TID_TIME_D_H,<D> d <H> h
TID_TIME_H_M,<H> h <M> min
TID_TIME_H,<H> h
TID_TIME_M_S,<M> min <S> sek
TID_TIME_M,<M> min
TID_TIME_S,<S> sek
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,Lager i silon: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,Lager i ladan: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Tom
TID_PRODUCTION_LIST_WAITING,Väntar ...
TID_ANIMAL_HUNGRY,Hungrig
TID_ANIMAL_READY_TO_HARVEST,Redo att samlas in
TID_WHEAT,Vete
TID_CARROT,Morot
TID_CORN,Majs
TID_SOY_BEAN,Sojaböna
TID_SUGAR_CANE,Sockerrör
TID_PUMPKIN,Pumpa
TID_CHILI,Chilipeppar
TID_INDIGO,Indigo
TID_TOMATO,Tomat
TID_CHICKEN_FOOD,Hönsfoder
TID_COW_FOOD,Kofoder
TID_SHEEP_FOOD,Fårfoder
TID_PIG_FOOD,Grisfoder
TID_GOAT_FOOD,Getfoder
TID_EGG,Ägg
TID_MILK,Mjölk
TID_WOOL,Ull
TID_BACON,Bacon
TID_GOAT_MILK,Getmjölk
TID_CREAM,Grädde
TID_BUTTER,Smör
TID_CHEESE,Ost
TID_GOAT_CHEESE,Getost
TID_BREAD,Bröd
TID_COOKIE,Kaka
TID_CORN_BREAD,Majsbröd
TID_CHEESE_CAKE,Cheesecake
TID_CARROT_CAKE,Morotskaka
