Name,TID,MinLevel,DefaultValue,UserConfigDisabled,Group,HeadlineTID
String,String,int,boolean,boolean,String,String
DiamondConfirmation,TID_DIAMOND_CONFIRMATION_SETTINGS_TEXT,1,true,,Diamond,TID_DIAMOND_CONFIRMATION_SETTINGS_HEADLINE
NeighborhoodChat,TID_ADVANCE_SETTINGS_CHAT_TEXT,10,true,,Advanced,TID_ADVANCE_SETTINGS_CHAT_HEADLINE
NeighborhoodDerbyOptIn,TID_ADVANCE_SETTINGS_DERBY_OPT_IN_TEXT,18,true,,Derby,TID_ADVANCE_SETTINGS_DERBY_HEADLINE
SiloTutorialButtonHighlight,TID_NONE,10,false,,None,TID_NONE
BarnButtonAnimation,TID_NONE,10,false,,None,TID_NONE
FriendBookButtonHighlight,TID_NONE,6,false,,None,TID_NONE
HelperSelectionInfoButtonHighlight,TID_NONE,1,false,,None,TID_NONE
PersonalisedOffers,TID_ADVANCE_SETTINGS_OFFERS_TEXT,1,true,,GDPR,TID_ADVANCE_SETTINGS_OFFERS_HEADER
AllowShowVideoAds,TID_ADVANCE_SETTINGS_SHOW_VIDEOS_ADS_TEXT,11,false,,VideoAds,TID_ADVANCE_SETTINGS_SHOW_VIDEOS_ADS_HEADER
ChooseYourFarmPopup,TID_ADVANCE_SETTINGS_CHOOSE_YOUR_FARM_POPUP,1,TRUE,,Account,TID_ADVANCE_SETTINGS_CHOOSE_YOUR_FARM_POPUP_HEADER
