Name,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease
String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean
Exfoliating Soap,recipe_exfoliating_soap,TID_PRODUCT_EXFOLIATINGSOAP,Bath_Kiosk,2,Cacao,60,187,180,43,4,101,69,69,93,TID_BATHKIOSK_PRODUCT_DESC,73,
,,,,2,Coffee,,,,,,,,,,,,
,,,,1,Raspberry,,,,,,,,,,,,
Face Mask,recipe_honey_mask,TID_PRODUCT_FACEMASK,Bath_Kiosk,2,Egg,90,165,159,38,5,89,39,39,99,TID_BATHKIOSK_PRODUCT_DESC,44,
,,,,1,Lemon,,,,,,,,,,,,
,,,,1,Honey,,,,,,,,,,,,
Honey Soap,recipe_honey_soap,TID_PRODUCT_HONEYSOAP,Bath_Kiosk,2,Cacao,60,169,162,39,4,91,52,52,84,TID_BATHKIOSK_PRODUCT_DESC,56,
,,,,1,Goat Milk,,,,,,,,,,,,
,,,,1,Honeycomb,,,,,,,,,,,,
Lemon Lotion,recipe_lemon_lotion,TID_PRODUCT_LEMONLOTION,Bath_Kiosk,1,OliveOil,75,207,199,48,4,112,76,76,84,TID_BATHKIOSK_PRODUCT_DESC,80,
,,,,1,Lemon,,,,,,,,,,,,
Rich soap,recipe_rich_soap,TID_PRODUCT_RICHSOAP,Bath_Kiosk,2,Oats,70,137,132,32,4,74,42,42,121,TID_BATHKIOSK_PRODUCT_DESC,46,
,,,,1,Pomegranate,,,,,,,,,,,,
,,,,1,Coconut,,,,,,,,,,,,
