Name,Rewards,RewardAmounts,Probabilities,Sequential
String,String,int,int,Boolean
BoatRewardSet1_Boosters_Level3-5,FasterBoats_lv3,1,4,
,FasterBoats_lv4,1,4,
,FasterBoats_lv5,1,2,
,FasterCrops1_lv3,1,4,
,FasterCrops1_lv4,1,4,
,FasterCrops1_lv5,1,2,
,FasterCrops2_lv3,1,4,
,FasterCrops2_lv4,1,4,
,FasterCrops2_lv5,1,2,
,FasterCrops3_lv3,1,4,
,FasterCrops3_lv4,1,4,
,FasterCrops3_lv5,1,2,
,FasterCrops4_lv3,1,4,
,FasterCrops4_lv4,1,4,
,FasterCrops4_lv5,1,2,
,FasterTrees_lv3,1,4,
,FasterTrees_lv4,1,4,
,FasterTrees_lv5,1,2,
,FasterBushes_lv3,1,4,
,FasterBushes_lv4,1,4,
,FasterBushes_lv5,1,2,
,FasterBuildings1_lv3,1,4,
,FasterBuildings1_lv4,1,4,
,FasterBuildings1_lv5,1,2,
,FasterBuildings2_lv3,1,4,
,FasterBuildings2_lv4,1,4,
,FasterBuildings2_lv5,1,2,
,FasterBuildings3_lv3,1,4,
,FasterBuildings3_lv4,1,4,
,FasterBuildings3_lv5,1,2,
,FasterBuildings4_lv3,1,4,
,FasterBuildings4_lv4,1,4,
,FasterBuildings4_lv5,1,2,
,FasterTom_lv3,1,4,
,FasterTom_lv4,1,4,
,FasterTom_lv5,1,2,
,FreeTom_lv3,1,4,
,FreeTom_lv4,1,4,
,FreeTom_lv5,1,2,
,FreeRose_lv3,1,4,
,FreeRose_lv4,1,4,
,FreeRose_lv5,1,2,
,FreeErnest_lv3,1,4,
,FreeErnest_lv4,1,4,
,FreeErnest_lv5,1,2,
,EasierBoats_lv3,1,4,
,EasierBoats_lv4,1,4,
,EasierBoats_lv5,1,2,
,MoreXP_lv3,1,4,
,MoreXP_lv4,1,4,
,MoreXP_lv5,1,2,
BoatRewardSet2_Boosters_Level4_5,FasterBoats_lv4,1,2,
,FasterBoats_lv5,1,1,
,FasterCrops1_lv4,1,2,
,FasterCrops1_lv5,1,1,
,FasterCrops2_lv4,1,2,
,FasterCrops2_lv5,1,1,
,FasterCrops3_lv4,1,2,
,FasterCrops3_lv5,1,1,
,FasterCrops4_lv4,1,2,
,FasterCrops4_lv5,1,1,
,FasterTrees_lv4,1,2,
,FasterTrees_lv5,1,1,
,FasterBushes_lv4,1,2,
,FasterBushes_lv5,1,1,
,FasterBuildings1_lv4,1,2,
,FasterBuildings1_lv5,1,1,
,FasterBuildings2_lv4,1,2,
,FasterBuildings2_lv5,1,1,
,FasterBuildings3_lv4,1,2,
,FasterBuildings3_lv5,1,1,
,FasterBuildings4_lv4,1,2,
,FasterBuildings4_lv5,1,1,
,FasterTom_lv4,1,2,
,FasterTom_lv5,1,1,
,FreeTom_lv4,1,2,
,FreeTom_lv5,1,1,
,FreeRose_lv4,1,2,
,FreeRose_lv5,1,1,
,FreeErnest_lv4,1,2,
,FreeErnest_lv5,1,1,
,EasierBoats_lv4,1,2,
,EasierBoats_lv5,1,1,
,MoreXP_lv4,1,2,
,MoreXP_lv5,1,1,
BoatRewardSet3_Boosters_Level5,FasterBoats_lv5,1,1,
,FasterCrops1_lv5,1,1,
,FasterCrops2_lv5,1,1,
,FasterCrops3_lv5,1,1,
,FasterCrops4_lv5,1,1,
,FasterTrees_lv5,1,1,
,FasterBushes_lv5,1,1,
,FasterBuildings1_lv5,1,1,
,FasterBuildings2_lv5,1,1,
,FasterBuildings3_lv5,1,1,
,FasterBuildings4_lv5,1,1,
,FasterTom_lv5,1,1,
,FreeTom_lv5,1,1,
,FreeRose_lv5,1,1,
,FreeErnest_lv5,1,1,
,EasierBoats_lv5,1,1,
,MoreXP_lv5,1,1,
BoatRewardSet4_Tools,Axe,3,1,
,Saw,3,1,
,Shovel,3,1,
,Dynamite,3,1,
,Demolition Charge,3,1,
,Pickaxe,3,1,
BoatRewardSet5_upgrade_materials,Plank,1,1,
,Nail,1,1,
,Bolt,1,1,
,Screw,1,1,
,Duct Tape,1,1,
,Wood Panel,1,1,
BoatRewardSet6_land_expansions,Land Deed,1,1,
,Mallet,1,1,
,Marker Stake,1,1,
BoatRewardSet8_town_upgrades,Hammer,1,1,
,Hand Drill,1,1,
,Paint Bucket,1,1,
,Stone Block,1,1,
,Brick,1,1,
,Tar Bucket,1,1,
,Map Piece,1,1,
BoatRewardSet10_randomdrops_all,FreeDiamonds,3,1,
,Axe,3,1,
,Saw,3,1,
,Shovel,3,1,
,Dynamite,3,1,
,Demolition Charge,3,1,
,Pickaxe,3,1,
,Plank,1,1,
,Nail,1,1,
,Bolt,1,1,
,Screw,1,1,
,Duct Tape,1,1,
,Wood Panel,1,1,
,Land Deed,1,1,
,Mallet,1,1,
,Marker Stake,1,1,
,Hammer,1,1,
,Hand Drill,1,1,
,Paint Bucket,1,1,
,Stone Block,1,1,
,Brick,1,1,
,Tar Bucket,1,1,
,Map Piece,1,1,
BoatRewardSet11_randomdrops_all_3x,FreeDiamonds,5,1,
,Axe,6,1,
,Saw,6,1,
,Shovel,6,1,
,Dynamite,6,1,
,Demolition Charge,6,1,
,Pickaxe,6,1,
,Plank,3,1,
,Nail,3,1,
,Bolt,3,1,
,Screw,3,1,
,Duct Tape,3,1,
,Wood Panel,3,1,
,Land Deed,3,1,
,Mallet,3,1,
,Marker Stake,3,1,
,Hammer,3,1,
,Hand Drill,3,1,
,Paint Bucket,3,1,
,Stone Block,3,1,
,Brick,3,1,
,Tar Bucket,3,1,
,Map Piece,3,1,
BoatRewardSet12_vouchers_all,Voucher1,1,1,
,Voucher2,1,1,
,Voucher3,1,1,
,Voucher4,1,1,
RewardSetDiamonds_2,FreeDiamonds,2,1,
RewardSet_ExpansionPermit,Expansion Key,1,99,
,Nail,1,1,
BoatRewardSetHolidayCurrency,MusicNote,50,1,
