Name,Enabled,EnabledLowMem,DisabledDevices,SupportedPlatforms,SupportedPlatformsVersion,AllowedDomains,AllowedUrls,ForYouEnabled,UseReloadOnBack,EnabledLocales,BoomboxLocale,BaseURL,NewsURL,ArticleURL,ForYouURL,VideosURL,ManifestURL,VideoManifestURL
String,boolean,boolean,String,String,String,String,String,boolean,boolean,String,String,String,String,String,String,String,String,String
Boombox,TRUE,TRUE,,ios,,haydaygame.com,https://www.youtube.com/embed/,FALSE,TRUE,EN,en,https://hayday.inbox.supercell.com,<BASE>/#/<LOCALE>/news,<BASE>/#/<LOCALE>/news/<ID>,,<BASE>/#/<LOCALE>/community,<BASE>/data/<LOCALE>/news/manifest.json,<BASE>/data/<LOCALE>/community/manifest.json
,,,,android,,clashofclans.com,about:blank,,,DE,de,,,,,,,
,,,,desktop,,googlevideo.com,,,,JP,ja,,,,,,,
,,,,,,ytimg.com,,,,KR,ko,,,,,,,
,,,,,,doubleclick.net,,,,CHT,zh,,,,,,,
,,,,,,gstatic.com,,,,FR,fr,,,,,,,
,,,,,,,,,,FI,fi,,,,,,,
,,,,,,,,,,ES,es,,,,,,,
,,,,,,,,,,IT,it,,,,,,,
,,,,,,,,,,NL,nl,,,,,,,
,,,,,,,,,,PT,pt,,,,,,,
,,,,,,,,,,DA,da,,,,,,,
,,,,,,,,,,AR,ar,,,,,,,
,,,,,,,,,,ID,id,,,,,,,
,,,,,,,,,,MS,ms,,,,,,,
,,,,,,,,,,RU,ru,,,,,,,
,,,,,,,,,,TR,tr,,,,,,,
,,,,,,,,,,TH,th,,,,,,,
,,,,,,,,,,VI,vi,,,,,,,
,,,,,,,,,,CH,zh,,,,,,,
,,,,,,,,,,SV,en,,,,,,,
,,,,,,,,,,NO,en,,,,,,,
