Name,FileName,ExportName,ToolIconExportName,BoosterType,BoosterTarget,BoosterPercentage,BoosterDurationSeconds,UnlockLevel,ReputationUnlockLevel,BoosterStars,TID,BoosterValueTID,DescriptionTID,BoosterEffectExportName,BoosterTapEffectExportName,SpinWheelPrize,FreeBooster,PerceivedValue,OfferEntryTID,RandomOfferWeight
String,String,String,String,String,String,int,int,int,int,int,String,String,String,String,String,Boolean,Boolean,int,String,int
FasterBoats_lv1,sc/hud.sc,booster_item01,icon_booster_fasterboat,FasterBoat,,20,64800,35,,1,TID_BOOSTER_FASTER_BOAT,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BOAT,happy_character,happy_character,,,,,1
FasterBoats_lv2,sc/hud.sc,booster_item01,icon_booster_fasterboat,FasterBoat,,25,64800,35,,2,TID_BOOSTER_FASTER_BOAT,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BOAT,happy_character,happy_character,,,,,1
FasterBoats_lv3,sc/hud.sc,booster_item01,icon_booster_fasterboat,FasterBoat,,25,86400,35,,3,TID_BOOSTER_FASTER_BOAT,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BOAT,happy_character,happy_character,TRUE,,,,1
FasterBoats_lv4,sc/hud.sc,booster_item01,icon_booster_fasterboat,FasterBoat,,35,86400,35,,4,TID_BOOSTER_FASTER_BOAT,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BOAT,happy_character,happy_character,,,,,1
FasterBoats_lv5,sc/hud.sc,booster_item01,icon_booster_fasterboat,FasterBoat,,50,129600,35,,5,TID_BOOSTER_FASTER_BOAT,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BOAT,happy_character,happy_character,,,1338,,1
FasterCrops1_lv1,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Soybean,10,7200,35,,1,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS1,1
,,,,,Sugarcane,,,,,,,,,,,,,,,
,,,,,Indigo,,,,,,,,,,,,,,,
FasterCrops1_lv2,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Soybean,20,7200,35,,2,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS1,1
,,,,,Sugarcane,,,,,,,,,,,,,,,
,,,,,Indigo,,,,,,,,,,,,,,,
FasterCrops1_lv3,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Soybean,20,10800,35,,3,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS1,1
,,,,,Sugarcane,,,,,,,,,,,,,,,
,,,,,Indigo,,,,,,,,,,,,,,,
FasterCrops1_lv4,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Soybean,40,10800,35,,4,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS1,1
,,,,,Sugarcane,,,,,,,,,,,,,,,
,,,,,Indigo,,,,,,,,,,,,,,,
FasterCrops1_lv5,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Soybean,50,14400,35,,5,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,1428,TID_OFFER_BOOSTER_FASTER_CROPS1,1
,,,,,Sugarcane,,,,,,,,,,,,,,,
,,,,,Indigo,,,,,,,,,,,,,,,
FasterCrops2_lv1,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Pumpkin,10,18000,35,,1,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS2,1
,,,,,Chili,,,,,,,,,,,,,,,
,,,,,Cotton,,,,,,,,,,,,,,,
FasterCrops2_lv2,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Pumpkin,20,18000,35,,2,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS2,1
,,,,,Chili,,,,,,,,,,,,,,,
,,,,,Cotton,,,,,,,,,,,,,,,
FasterCrops2_lv3,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Pumpkin,30,25200,35,,3,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS2,1
,,,,,Chili,,,,,,,,,,,,,,,
,,,,,Cotton,,,,,,,,,,,,,,,
FasterCrops2_lv4,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Pumpkin,40,25200,35,,4,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS2,1
,,,,,Chili,,,,,,,,,,,,,,,
,,,,,Cotton,,,,,,,,,,,,,,,
FasterCrops2_lv5,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Pumpkin,50,36000,35,,5,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,1403,TID_OFFER_BOOSTER_FASTER_CROPS2,1
,,,,,Chili,,,,,,,,,,,,,,,
,,,,,Cotton,,,,,,,,,,,,,,,
