Name,Rewards,RewardAmounts,Probabilities,Sequential
String,String,int,int,Boolean
CarRewardSet1,Axe,1,6,FALSE
,Saw,1,6,
,Shovel,1,6,
,Dynamite,1,6,
,Demolition Charge,1,6,
,Pickaxe,1,6,
,Brown_Sugar,3,4,
,White Sugar,3,4,
,Vanilla Ice Cream,1,4,
,Apple Jam,1,4,
,Raspberry,5,4,
,Cherry,5,4,
,Blackberry,5,4,
,Apple,5,4,
,Honey,3,4,
,Cream,3,4,
,Butter,3,4,
,Cheese,3,4,
,Goat Cheese,3,4,
CarRewardSet2,Axe,1,8,FALSE
,Saw,1,8,
,Shovel,1,8,
,Dynamite,1,8,
,Demolition Charge,1,8,
,Pickaxe,1,8,
,Land Deed,1,14,
,Mallet,1,14,
,Marker Stake,1,14,
,White Sugar,3,4,
,Syrup,3,4,
,Cherry Popsicle,1,4,
,Raspberry Jam,1,4,
,Blackberry Jam,1,4,
,Raspberry,5,4,
,Cherry,5,4,
,Blackberry,5,4,
,Apple,5,4,
,Honey,3,4,
,Cream,3,4,
,Butter,3,4,
,Cheese,3,4,
,Goat Cheese,3,4,
CarRewardSet3,Axe,1,5,FALSE
,Saw,1,5,
,Shovel,1,5,
,Dynamite,1,5,
,Demolition Charge,1,5,
,Pickaxe,1,5,
,Plank,1,8,
,Nail,1,8,
,Bolt,1,8,
,Screw,1,8,
,Duct Tape,1,8,
,Wood Panel,1,8,
,Land Deed,1,8,
,Mallet,1,8,
,Marker Stake,1,8,
,Hammer,1,3,
,Hand Drill,1,3,
,Paint Bucket,1,3,
,Stone Block,1,3,
,Brick,1,3,
,Tar Bucket,1,3,
,Map Piece,1,1,
,Brown_Sugar,5,6,
,White Sugar,5,6,
,Syrup,5,6,
,Strawberry Ice Cream,2,6,
,Chocolate Ice Cream,2,6,
,Blackberry Jam,2,6,
,Cherry Jam,2,6,
CarRewardSet_Tools,Axe,3,1,
,Saw,3,1,
,Shovel,3,1,
,Dynamite,3,1,
,Demolition Charge,3,1,
,Pickaxe,3,1,
CarRewardSet_upgrade_materials,Plank,1,1,
,Nail,1,1,
,Bolt,1,1,
,Screw,1,1,
,Duct Tape,1,1,
,Wood Panel,1,1,
CarRewardSet_land_expansions,Land Deed,1,1,
,Mallet,1,1,
,Marker Stake,1,1,
CarRewardSet_town_upgrades,Hammer,1,1,
,Hand Drill,1,1,
,Paint Bucket,1,1,
,Stone Block,1,1,
,Brick,1,1,
,Tar Bucket,1,1,
,Map Piece,1,1,
CarRewardSet_vouchers,Voucher1,1,1,
,Voucher2,1,1,
,Voucher3,1,1,
,Voucher4,1,1,
CarRewardSet_tool_land_upgrade,Dynamite,1,9,FALSE
,Demolition Charge,1,12,
,Axe,1,50,
,Saw,1,21,
,Shovel,1,10,
,Plank,1,12,
,Nail,1,12,
,Bolt,1,12,
,Screw,1,12,
,Duct Tape,1,12,
,Wood Panel,1,12,
,Land Deed,1,12,
,Mallet,1,12,
,Marker Stake,1,12,
,Hammer,1,10,
,Hand Drill,1,10,
,Paint Bucket,1,10,
,Stone Block,1,10,
,Brick,1,10,
,Tar Bucket,1,10,
,Map Piece,1,5,
,Pickaxe,1,10,
CarRewardSet_upgrade_barn,Plank,1,1,
,Duct Tape,1,1,
,Bolt,1,1,
CarRewardSet_upgrade_silo,Screw,1,1,
,Wood Panel,1,1,
,Nail,1,1,
CarRewardSet_boosters_lv2_3,FasterBoats_lv2,1,1,
,FasterBoats_lv3,1,1,
,FasterCrops1_lv2,1,1,
,FasterCrops1_lv3,1,1,
,FasterCrops2_lv2,1,1,
,FasterCrops2_lv3,1,1,
,FasterCrops3_lv2,1,1,
,FasterCrops3_lv3,1,1,
,FasterCrops4_lv2,1,1,
,FasterCrops4_lv3,1,1,
,FasterTom_lv2,1,1,
,FasterTom_lv3,1,1,
,FasterBuildings1_lv2,1,1,
,FasterBuildings1_lv3,1,1,
,FasterBuildings2_lv2,1,1,
,FasterBuildings2_lv3,1,1,
,FasterBuildings3_lv2,1,1,
,FasterBuildings3_lv3,1,1,
,FasterBuildings4_lv2,1,1,
,FasterBuildings4_lv3,1,1,
,FasterTrees_lv2,1,1,
,FasterTrees_lv3,1,1,
,FasterBushes_lv2,1,1,
,FasterBushes_lv3,1,1,
,FreeTom_lv2,1,1,
,FreeTom_lv3,1,1,
,FreeRose_lv2,1,1,
,FreeRose_lv3,1,1,
,FreeErnest_lv2,1,1,
,FreeErnest_lv3,1,1,
,EasierBoats_lv2,1,1,
,EasierBoats_lv3,1,1,
