Name,ExportName,CurrencyInUSD,DiamondCost,TID,Enabled,SCIDStore,DontShowInShop
String,String,int,int,String,boolean,boolean,boolean
com.supercell.soil.cashpackage1,icon_coins_pile,99,30,TID_CASH_PACK_1,true,false,
com.supercell.soil.cashpackage2,icon_coins_bag,299,95,TID_CASH_PACK_2,true,false,
com.supercell.soil.cashpackage3,icon_coins_sack,799,270,TID_CASH_PACK_3,true,false,
com.supercell.soil.cashpackage4,icon_coins_box,1499,550,TID_CASH_PACK_4,true,false,
com.supercell.soil.cashpackage5,icon_coins_chest,2999,1170,TID_CASH_PACK_5,true,false,
com.supercell.soil.cashpackage6,icon_coins_trunk,7999,3970,TID_CASH_PACK_6,true,false,
com.supercell.soil.scid.cashpackage1,icon_coins_pile,99,30,TID_CASH_PACK_1,true,true,
com.supercell.soil.scid.cashpackage2,icon_coins_bag,299,95,TID_CASH_PACK_2,true,true,
com.supercell.soil.scid.cashpackage3,icon_coins_sack,799,270,TID_CASH_PACK_3,true,true,
com.supercell.soil.scid.cashpackage4,icon_coins_box,1499,550,TID_CASH_PACK_4,true,true,
com.supercell.soil.scid.cashpackage5,icon_coins_chest,2999,1170,TID_CASH_PACK_5,true,true,
com.supercell.soil.scid.cashpackage6,icon_coins_trunk,7999,3970,TID_CASH_PACK_6,true,true,
com.supercell.soil.cashpackage1_t90,icon_coins_pile,89,30,TID_CASH_PACK_1,true,false,TRUE
com.supercell.soil.cashpackage2_t90,icon_coins_bag,269,95,TID_CASH_PACK_2,true,false,TRUE
com.supercell.soil.cashpackage3_t90,icon_coins_sack,699,270,TID_CASH_PACK_3,true,false,TRUE
com.supercell.soil.cashpackage4_t90,icon_coins_box,1399,550,TID_CASH_PACK_4,true,false,TRUE
com.supercell.soil.cashpackage5_t90,icon_coins_chest,2699,1170,TID_CASH_PACK_5,true,false,TRUE
com.supercell.soil.cashpackage6_t90,icon_coins_trunk,7299,3970,TID_CASH_PACK_6,true,false,TRUE
com.supercell.soil.cashpackage1_t80,icon_coins_pile,79,30,TID_CASH_PACK_1,true,false,TRUE
com.supercell.soil.cashpackage2_t80,icon_coins_bag,239,95,TID_CASH_PACK_2,true,false,TRUE
com.supercell.soil.cashpackage3_t80,icon_coins_sack,649,270,TID_CASH_PACK_3,true,false,TRUE
com.supercell.soil.cashpackage4_t80,icon_coins_box,1199,550,TID_CASH_PACK_4,true,false,TRUE
com.supercell.soil.cashpackage5_t80,icon_coins_chest,2399,1170,TID_CASH_PACK_5,true,false,TRUE
com.supercell.soil.cashpackage6_t80,icon_coins_trunk,6499,3970,TID_CASH_PACK_6,true,false,TRUE
com.supercell.soil.cashpackage1_t70,icon_coins_pile,69,30,TID_CASH_PACK_1,true,false,TRUE
com.supercell.soil.cashpackage2_t70,icon_coins_bag,209,95,TID_CASH_PACK_2,true,false,TRUE
com.supercell.soil.cashpackage3_t70,icon_coins_sack,549,270,TID_CASH_PACK_3,true,false,TRUE
com.supercell.soil.cashpackage4_t70,icon_coins_box,1099,550,TID_CASH_PACK_4,true,false,TRUE
com.supercell.soil.cashpackage5_t70,icon_coins_chest,2099,1170,TID_CASH_PACK_5,true,false,TRUE
com.supercell.soil.cashpackage6_t70,icon_coins_trunk,5499,3970,TID_CASH_PACK_6,true,false,TRUE
com.supercell.soil.cashpackage1_t60,icon_coins_pile,59,30,TID_CASH_PACK_1,true,false,TRUE
