Name,_
String,Boolean
Alessandro Simi,
Amar Gupta,
Andy Grier,
Anu Kurikka,
Ari Hamara,
Arjun Ratra,
Baptiste Robbes,
Bill Robinson,
Camilla Avellar,
Charlotte Taylor,
Chavez Hyndman,
Diana Nedelcu,
Dmitry Gubanenkov,
Ebz Ken-Iewis,
Eduardo Barandas,
Eeva Haavisto,
Emily Sayer,
Fred Easey,
Gareth Clark,
Ilona Tapanainen,
Jieming You,
Julia Hämäläinen,
Karan Singh,
Kerem Gercek,
Laura Garcia,
Lavinia Macovei,
Lee Sullivan,
Liangde Chen,
Lydia Tan,
Magnus Strandh,
Manuel Langegger,
Marcus Wagenführ,
Maria Maunula,
Matis Baudry,
Maya Hofree,
Micole Leger,
Nadya Volchetskaya,
Neža Glavič,
Noora Heikkinen,
Oona Saloranta,
Pedro Almeida,
Raunak Vikas,
Rebecca Hanson,
Ricky Willis,
Sam Miller,
Sanni Moilanen,
Sara Buck Christensen,
Sari Latvala,
Simo Sylgren,
Stefan Hauk,
Stefani Aarnas,
Stephen Courtney,
Taufik Dharma-Putra,
Teemu Sidoroff,
Visa Forsten,
Vivek Singh Negi,
Wesley Pijpers,
_,
Ivan Vasić,
Kasandra Ristić,
Marko Dimitrijević,
Marko Stanojević,
Maša Komluški,
_,
Agnes Liou,
Andrew Munden,
Alex Ruiz,
Ali Tunc,
Antti Sartanen,
Antti Summala,
Ármann Árnason,
Arto Tervo,
Ashley St Germain,
Asko Puurula,
Ayush Gupta,
Cosmin Baltaretu,
Dan Howland,
Daniel Iosca,
Deniz Kural,
Dennis Belfrage,
Diego Ruiz Pomares,
Drussila Hollanda,
Efe Pinar,
Elise Rajala,
Erlend Christoffersen,
Ewan Thonger,
Francisco Granados,
Hannu Halonen,
Henri Viitanen,
Henrik Enqvist,
Jaana Heiska,
Jani Lintunen,
Janne Lindholm,
Jari Sukanen,
Jarkko Luoma,
Jarkko Salminen,
Jeffrey Feenstra,
Joakim Achrén,
Joanna Jakubowska,
Johannes Cole,
Jon Franzas,
Jonatas Chagas,
Jussi Viiri,
Lasse Seppänen,
Laura Gilliland,
Marika Appel,
Martin Schjoeler,
Mauro de Freitas,
Mika Seppä,
Miki Kuusi,
Mikko Hokkanen,
Mikko Kodisoja,
Mikko Lehtonen,
Nacho Lasheras,
Nicklas Renqvist,
Niko Mäkelä,
Pablo Spreafico,
Patrick Corander,
Pekka Sairanen,
Peter McLaughlin,
Petri Alanko,
Petri Kärkäs,
Petri Styrman,
Rebecca Green,
Riku Rikala,
Samantha Josling,
Sami Tikkanen,
Sami Yliharju,
Sheila Njoki Ndungu,
Stanislav Stankovic,
Stefan Engblom,
Stephan Demirdjian,
Steven Hsiao,
Stuart McGaw,
Thea Chow,
Tibor Toth,
Tiina Hutri,
Timothy Smith,
Timur Haussila,
Tomi Joki-Korpela,
Tommi Hakala,
Toni Kontinen,
Touko Tahkokallio,
Veera Cockley,
Veli Vainio,
Vesa Vitie,
Victoria Tran,
Ville Taulo,
Wayne Lu ZhongWei,
Xuhui Chen,
Yasin Hatiboğlu,
Zsolt Szász,
_,
Jelena Vesić,
Lucian Ghimpeteanu,
Stefan Flider,
Tanja Dragojlović,
