Name,TID,GameObject,Part,FileName,ExportName,TintPart,MulColorR,MulColorG,MulColorB,AddColorR,AddColorG,AddColorB,Price,DiamondPrice,Vouchers,VoucherCount,Default,Disabled,TutorialPart,BuyBackCoinPrice,PartSortOrder,HiddenParts,ExcludeFromNormalStock
String,String,String,String,String,String,String,int,int,int,int,int,int,int,int,String,int,boolean,boolean,boolean,int,String,String,boolean
BaseOriginal,TID_BASE_ORIGINAL,RoadsideShop,Base,sc/rss_skins.sc,rss_base_original,BaseTint01,80,45,30,0,15,20,1000,,,,TRUE,,,,,,
,,,,,,BaseTint02,95,75,75,0,0,0,,,,,,,,,,,
BaseOriginal_Green,TID_BASE_ORIGINAL_GREEN,RoadsideShop,Base,sc/rss_skins.sc,rss_base_original,BaseTint01,60,60,40,0,40,10,,,Voucher1,20,,,,,,,
,,,,,,BaseTint02,60,60,40,0,40,10,,,,,,,,,,,
BaseOriginal_BlueDark,TID_BASE_ORIGINAL_PURPLE,RoadsideShop,Base,sc/rss_skins.sc,rss_base_original,BaseTint01,80,65,45,50,10,60,150000,,,,,,,,,,
,,,,,,BaseTint02,80,65,45,50,10,60,,,,,,,,,,,
BaseOriginal_Greenbright,TID_BASE_ORIGINAL_GREENBRIGHT,RoadsideShop,Base,sc/rss_skins.sc,rss_base_original,BaseTint01,65,55,45,40,60,10,75000,,,,,,,,,,
,,,,,,BaseTint02,80,70,50,40,10,10,,,,,,,,,,,
BaseBunting_Autumn,TID_BASE_BUNTING_RED,RoadsideShop,Base,sc/rss_skins.sc,rss_base_bunting,BaseTint01,80,60,40,60,60,50,,,Voucher1,25,,,,,,,
,,,,,,FlagTint01,100,100,100,80,80,50,,,Voucher2,5,,,,,,,
,,,,,,FlagTint02,100,40,40,70,0,0,,,,,,,,,,,
,,,,,,BaseTint04,100,60,0,110,110,0,,,,,,,,,,,
