Name,PartName,DiamondPrice,TID
String,String,int,String
Farmhouse1,RoofOpengableBlue,10,TID_STYLE_GUIDE_SETNAME_HOUSE1
,BuildingPlanks2,,
,PorchOriginalExtended,,
Farmhouse2,RoofMetalBlack,20,TID_STYLE_GUIDE_SETNAME_HOUSE2
,BuildingRustic,,
,PorchRustic,,
Farmhouse3,RoofWoodenPlanksBlack,15,TID_STYLE_GUIDE_SETNAME_HOUSE3
,BuildingBarnRed,,
,PorchBasicCow,,
Farmhouse4,RoofStrawDarko,15,TID_STYLE_GUIDE_SETNAME_HOUSE4
,BuildingGasthouse,,
,PorchGuesthouse,,
Farmhouse5,RoofSpikesKindaRed,20,TID_STYLE_GUIDE_SETNAME_HOUSE5
,BuildingHalfnhalfOld,,
,PorchCountry,,
Truck1,BodyFasterStripesYellow,10,TID_STYLE_GUIDE_SETNAME_TRUCK1
,TrailerOriginalBrown,,
,WheelsOriginalGold,,
Truck2,BodyBlackhole,15,TID_STYLE_GUIDE_SETNAME_TRUCK2
,TrailerHotrodBlack,,
,WheelsHotWheels,,
Truck3,BodyHotrodTeal,25,TID_STYLE_GUIDE_SETNAME_TRUCK3
,TrailerHotrodRainbow,,
,WheelsSpokesBarbie,,
Truck4,BodyBarbie,15,TID_STYLE_GUIDE_SETNAME_TRUCK4
,TrailerOriginalSeaFoam,,
,WheelsSpokesBarbie,,
Truck5,BodyFlameonPurple,20,TID_STYLE_GUIDE_SETNAME_TRUCK5
,TrailerHotrodYellow,,
,WheelsRedandGoldBlingGrey,,
RSS1,MarqueesSanctuaryVintage,10,TID_STYLE_GUIDE_SETNAME_ROADSIDE4
,CratesWood05TarpVintage,,
,BaseTiles02CheckGreenNGreen,,
RSS2,MarqueesStraw1Yellow,15,TID_STYLE_GUIDE_SETNAME_ROADSIDE2
,CratesWood03LogsBrown,,
,BaseWoodNStrawYellow,,
RSS3,MarqueesBuntingYellowBlue,25,TID_STYLE_GUIDE_SETNAME_ROADSIDE5
,CratesWood03Logs1Blue,,
,BaseSanctuary,,
RSS4,MarqueesRainbow,25,TID_STYLE_GUIDE_SETNAME_ROADSIDE3
,CratesRainbow,,
,BaseSanctuary,,
RSS5,MarqueesOriginalPinkYellow,25,TID_STYLE_GUIDE_SETNAME_ROADSIDE1
,CratesChunkyPlasticBarbie,,
,BaseBuntingPink,,
RSS6,MarqueesUmbrella01Blue,20,TID_STYLE_GUIDE_SETNAME_ROADSIDE6
,CratesBuntingBlue,,
,BaseBuntingBlue,,
RSS7,MarqueesWood02PlanksBlue,15,TID_STYLE_GUIDE_SETNAME_ROADSIDE7
,CratesWood04FencefWhite,,
,BaseTIles01PlainMoodyBlue,,
Truck6,BodyOldGreen,20,TID_STYLE_GUIDE_SETNAME_TRUCK6
,TrailerHotrodVintage,,
,WheelsHotrodWhite,,
Truck7,BodyHotrodRed,15,TID_STYLE_GUIDE_SETNAME_TRUCK7
,TrailerHotrodRed,,
,WheelsOriginalRef,,
Farmhouse6,RoofSpikesWhite,20,TID_STYLE_GUIDE_SETNAME_HOUSE6
,BuildingCutePastelPink,,
,PorchBridgeDitch1,,
Farmhouse7,RoofMetalCopperNew,25,TID_STYLE_GUIDE_SETNAME_HOUSE7
,BuildingGasthouse,,
,PortchDoc,,
