Name,TID,GameObject,Part,FileName,ExportName,TintPart,MulColorR,MulColorG,MulColorB,AddColorR,AddColorG,AddColorB,Price,DiamondPrice,Vouchers,VoucherCount,Default,Disabled,TutorialPart,BuyBackCoinPrice,ExcludeFromNormalStock
String,String,String,String,String,String,String,int,int,int,int,int,int,int,int,String,int,boolean,boolean,boolean,int,boolean
BodyNude,TID_BODY_NUDE,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_orig,,,,,,,,1000,,,,TRUE,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BodyTaxiYellow,TID_BODY_TAXI_YELLOW,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_orig,TintBody,100,100,50,90,60,0,350000,,,,,,,,
,,,,,,TintRadiator,20,50,60,0,25,25,,,,,,,,,
,,,,,,TintBodyBk,100,100,50,90,60,0,,,,,,,,,
BodyIcecream,TID_BODY_ICECREAM,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_orig,TintBody,100,100,100,80,80,50,,15,,,,,,150000,
,,,,,,TintRadiator,100,70,60,50,20,0,,,,,,,,,
,,,,,,TintBodyBk,100,100,100,80,80,50,,,,,,,,,
BodyGreen,TID_BODY_GREEN,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_orig,TintBody,100,100,0,0,60,25,,,Voucher1,70,,,,,
,,,,,,TintRadiator,90,100,60,65,0,0,,,,,,,,,
,,,,,,TintBodyBk,100,100,0,0,60,25,,,,,,,,,
BodyBadAssBlue,TID_BODY_BAD_ASS_BLUE,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_orig,TintBody,10,100,100,0,0,40,,,Voucher2,10,,,,,
,,,,,,TintRadiator,100,100,50,90,60,0,,,Voucher4,2,,,,,
,,,,,,TintBodyBk,10,100,100,0,0,40,,,,,,,,,
BodyBarbie,TID_BODY_BARBIE,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_orig,TintBody,100,70,100,70,0,0,300000,,,,,,,,
,,,,,,TintRadiator,100,100,50,90,60,0,,,,,,,,,
,,,,,,TintBodyBk,100,70,100,70,0,0,,,,,,,,,
BodyBlackhole,TID_BODY_BLACKHOLE,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_orig,TintBody,70,70,70,0,0,10,65000,,,,,,,,
,,,,,,TintRadiator,100,100,60,0,10,80,,,,,,,,,
,,,,,,TintBodyBk,70,70,70,0,0,10,,,,,,,,,
BodyOldGreen,TID_BODY_OLD_GREEN,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_orig,TintBody,80,80,80,10,60,30,150000,,,,,,,,
,,,,,,TintRadiator,100,70,60,50,20,0,,,,,,,,,
,,,,,,TintBodyBk,80,80,80,10,60,30,,,,,,,,,
BodyManPurple,TID_BODY_MAN_PURPLE,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_orig,TintBody,40,50,50,50,10,50,,,Voucher3,10,,,,,
,,,,,,TintRadiator,100,100,60,0,10,60,,,,,,,,,
,,,,,,TintBodyBk,40,50,50,50,10,50,,,,,,,,,
BodyHotrodRed,TID_BODY_HOTROD_RED,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_hotrod,TintBody,100,40,10,55,0,40,50000,,,,,,,,
,,,,,,TintRadiator,70,70,70,0,0,10,,,,,,,,,
,,,,,,TintBodyBk,70,70,70,0,0,10,,,,,,,,,
,,,,,,DetailTint01,70,70,70,0,0,10,,,,,,,,,
BodyHotrodTeal,TID_BODY_HOTROD_TEAL,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_hotrod,TintBody,100,100,100,80,80,50,100,,,,,,,,
,,,,,,TintRadiator,100,100,50,90,60,0,,,,,,,,,
,,,,,,TintBodyBk,0,90,80,0,0,10,,,,,,,,,
,,,,,,DetailTint01,0,90,80,0,0,10,,,,,,,,,
