Name,ShopIconFileName,ShopIconExportName,ShopIconAnimScale,ShopIconClipped,UnlockLevel,RepUnlockLevel,ShopOrder,FileName,ExportName,FenceBelowExportName,FenceRightExportName,FenceCornerExportName,FenceShopExportName,TileWidth,TileHeight,Price,DiamondPrice,PriceIncrease,DoPriceIncreaseEveryNObject,ShopDescriptionTID,TID,BuySound,TapSound,CanBuy,SpinWheelPrize,BuyExp,Passable,Theme,TagSpecial,TagNature,TagDeco,TagSanctuary,TagStatue,HideFromLevelUpScreen,SanctuaryAnimal,PerceivedValue,UseCase,PendingRelease,UseMultiPreview
String,String,String,int,boolean,int,int,int,String,String,String,String,String,String,int,int,int,int,int,int,String,String,String,String,Boolean,Boolean,int,Boolean,String,Boolean,Boolean,Boolean,Boolean,Boolean,Boolean,String,int,String,Boolean,Boolean
Fence,,,,,11,0,,sc/decos04_pathsandfences.sc,fence_01_pole,fence_01,fence_01_mirrored,fence_01_corner,,1,1,5,,2,1,TID_FENCES_DESCRIPTION,TID_FENCE_01,Buy,TapDecorationGeneric,TRUE,,1,,,,,,,,,,,,,TRUE
Stone Wall,,,,,13,0,,sc/decos04_pathsandfences.sc,fence_02_pole,fence_02,fence_02_mirrored,fence_02_corner,,1,1,60,,10,1,TID_WALL_DESCRIPTION,TID_FENCE_02,Buy,TapDecorationGeneric,TRUE,,6,,,,,,,,,,,,,TRUE
Stone Path,,,115,,11,0,,sc/decos04_pathsandfences.sc,fence_03_pole,fence_03,fence_03_mirrored,fence_03_corner,,1,1,25,,5,1,TID_PATHS_DESCRIPTION,TID_FENCE_03,Buy,TapDecorationGeneric,TRUE,,3,TRUE,,,,,,,,,,,,
Hedge,,,,,20,0,,sc/decos04_pathsandfences.sc,fence_04_pole,fence_04,fence_04_mirrored,fence_04_corner,,1,1,10,,3,1,TID_HEDGES_DESCRIPTION,TID_FENCE_04,Buy,TapDecorationGeneric,TRUE,,1,,,,TRUE,,,,,,,,,TRUE
Flower Hedge,,,,,25,0,,sc/decos04_pathsandfences.sc,fence_05_pole,fence_05,fence_05_mirrored,fence_05_corner,,1,1,35,,5,1,TID_HEDGES_DESCRIPTION,TID_FENCE_05,Buy,TapDecorationGeneric,TRUE,,4,,,,TRUE,,,,,,,,,TRUE
Brick Fence,,,,,30,0,,sc/decos04_pathsandfences.sc,fence_06_pole,fence_06,fence_06_mirrored,fence_06_corner,,1,1,90,,15,1,TID_FENCES_DESCRIPTION,TID_FENCE_06,Buy,TapDecorationGeneric,TRUE,,9,,,,,,,,,,,,,TRUE
GoldenWall,,,,,33,0,,sc/decos04_pathsandfences.sc,fence_07_pole,fence_07,fence_07_mirrored,fence_07_corner,,1,1,10000,,500,1,TID_WALL_DESCRIPTION,TID_FENCE_07,Buy,TapDecorationGeneric,TRUE,,50,,,,,,,,,,,,,TRUE
CemetaryFence,,,,,1,0,,sc/decos04_pathsandfences.sc,fence_cemetary_pole,fence_cemetary,fence_cemetary_mirrored,fence_cemetary_corner,,1,1,,5,0,1,TID_DECO_HALLOWEEN_FENCE_08_DESC,TID_DECO_HALLOWEEN_FENCE_08,Buy,TapDecorationGeneric,TRUE,,15,,Halloween,,,,,,,,,,,TRUE
ChristmasFence,,,,,1,0,,sc/decos02_seasonal.sc,fence_christmas_pole,fence_christmas,fence_christmas_mirrored,fence_christmas_corner,,1,1,,5,0,1,TID_DECO_CHRISTMAS_LIGHT_FENCE_DESC,TID_DECO_CHRISTMAS_FENCE_09,Buy,TapDecorationGeneric,TRUE,,15,,Christmas,,,,,,,,,,,TRUE
Sand Path,,,115,,23,0,,sc/decos04_pathsandfences.sc,fence_11_pole,fence_11,fence_11_mirrored,fence_11_corner,,1,1,20,,2,1,TID_PATHS_DESCRIPTION,TID_FENCE_11,Buy,TapDecorationGeneric,TRUE,,2,TRUE,,,TRUE,,,,,,,,,
Gravel Path,,,115,,41,0,,sc/decos04_pathsandfences.sc,fence_09_pole,fence_09,fence_09_mirrored,fence_09_corner,,1,1,40,,5,1,TID_PATHS_DESCRIPTION,TID_FENCE_09,Buy,TapDecorationGeneric,TRUE,,3,TRUE,,,,,,,,,,,,
Cobblestone Path,,,115,,46,0,,sc/decos04_pathsandfences.sc,fence_10_pole,fence_10,fence_10_mirrored,fence_10_corner,,1,1,60,,5,1,TID_PATHS_DESCRIPTION,TID_FENCE_10,Buy,TapDecorationGeneric,TRUE,,4,TRUE,,,,,,,,,,,,
Golden Path,,,115,,50,0,,sc/decos04_pathsandfences.sc,fence_03_pole_gold,fence_03_gold,fence_03_mirrored_gold,fence_03_corner_gold,,1,1,5000,,250,1,TID_PATHS_DESCRIPTION,TID_FENCE_08,Buy,TapDecorationGeneric,TRUE,,20,TRUE,,,,,,,,,,,,
RoseFenceWhite,,,,,19,0,,sc/decos04_pathsandfences.sc,fence_roses_white_pole,fence_roses_white,fence_roses_white_mirrored,fence_roses_white_corner,,1,1,200,,10,1,TID_FENCES_DESCRIPTION,TID_FENCE_ROSES_WHITE,Buy,TapDecorationGeneric,TRUE,,5,,,,TRUE,,,,,,,,,TRUE
RoseFenceYellow,,,,,40,0,,sc/decos04_pathsandfences.sc,fence_roses_yellow_pole,fence_roses_yellow,fence_roses_yellow_mirrored,fence_roses_yellow_corner,,1,1,200,,10,1,TID_FENCES_DESCRIPTION,TID_FENCE_ROSES_YELLOW,Buy,TapDecorationGeneric,TRUE,,5,,,,TRUE,,,,,,,,,TRUE
RoseFenceOrange,,,,,44,0,,sc/decos04_pathsandfences.sc,fence_roses_orange_pole,fence_roses_orange,fence_roses_orange_mirrored,fence_roses_orange_corner,,1,1,200,,10,1,TID_FENCES_DESCRIPTION,TID_FENCE_ROSES_ORANGE,Buy,TapDecorationGeneric,TRUE,,5,,,,TRUE,,,,,,,,,TRUE
RoseFencePink,,,,,48,0,,sc/decos04_pathsandfences.sc,fence_roses_pink_pole,fence_roses_pink,fence_roses_pink_mirrored,fence_roses_pink_corner,,1,1,200,,10,1,TID_FENCES_DESCRIPTION,TID_FENCE_ROSES_PINK,Buy,TapDecorationGeneric,TRUE,,5,,,,TRUE,,,,,,,,,TRUE
RoseFenceRed,,,,,53,0,,sc/decos04_pathsandfences.sc,fence_roses_red_pole,fence_roses_red,fence_roses_red_mirrored,fence_roses_red_corner,,1,1,200,,10,1,TID_FENCES_DESCRIPTION,TID_FENCE_ROSES_RED,Buy,TapDecorationGeneric,TRUE,,5,,,,TRUE,,,,,,,,,TRUE
TownRoad01,,,,,34,0,,sc/decos04_pathsandfences.sc,road_01_pole,Road_01,road_01_mirrored,road_01_corner,,1,1,100,,10,1,TID_PATHS_DESCRIPTION,TID_TOWN_ROAD_01,Buy,TapDecorationGeneric,TRUE,,5,TRUE,,,,,,,,,,,,
TownRoad02,,,,,40,0,,sc/decos04_pathsandfences.sc,road_02_pole,road_02,road_02_mirrored,road_02_corner,,1,1,50,,10,1,TID_PATHS_DESCRIPTION,TID_TOWN_ROAD_02,Buy,TapDecorationGeneric,TRUE,,5,TRUE,,,,,,,,,,,,
TownRoad03,,,,,45,0,,sc/decos04_pathsandfences.sc,road_03_pole,road_03,road_03_mirrored,road_03_corner,,1,1,150,,10,1,TID_PATHS_DESCRIPTION,TID_TOWN_ROAD_03,Buy,TapDecorationGeneric,TRUE,,5,TRUE,,,,,,,,,,,,
ChristmasLightFence,,,,,1,0,,sc/decos02_seasonal.sc,fence_christmas_light_pole,fence_christmas_light,fence_christmas_light_mirrored,fence_christmas_light_corner,,1,1,,8,0,1,TID_DECO_CHRISTMAS_LIGHT_FENCE_DESC,TID_DECO_CHRISTMAS_LIGHT_FENCE,Buy,TapDecorationGeneric,TRUE,,15,,Christmas,,,,,,,,,,,TRUE
RopeFence,,,,,20,0,,sc/decos04_pathsandfences.sc,fence_japanese_pole,fence_japenese,fence_japanese_mirrored,fence_japanese_corner,,1,1,1000,,100,1,TID_FENCES_DESCRIPTION,TID_DECO_ROPEFENCE,Buy,TapDecorationGeneric,TRUE,,5,,,,,,,,,,,,,TRUE
BlueFence,,,,,1,0,,sc/decos04_pathsandfences.sc,blue_fence_pole,blue_fence,blue_fence_mirrored,blue_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_BLUEFENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,800,Conversion,,TRUE
