Name,TID,FileName,ExportName,IconDeco,Year,UnlockLevel,PendingRelease,Deco1,Deco2,Deco3,Deco4,Deco5,Deco6,Deco7,Deco8,Deco9,Deco10,Deco11,Deco12,Deco13,Deco14,Deco15,Deco16,Deco17,Deco18,Deco19,Deco20
String,String,String,String,String,int,int,boolean,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
HayDayLetters2024,TID_DECO_STICKER_BOOK_COLLECTION_2,sc/hud_sticker_book.sc,collection_2,,2024,,,BirthdayLetterH,BirthdayLetterA,BirthdayLetterY,BirthdayLetterD,BirthdayLetterA,BirthdayLetterY,,,,,,,,,,,,,,
BirthdayCollection2024,TID_DECO_STICKER_BOOK_BIRTHDAY_2024_COLLECTION,sc/hud_sticker_book.sc,collection_1,,2024,17,,Lead singer,Band poster,Guitarist,Idols,Checkered path,Do the twist,Drummer,Meet and greet,Billboard,Velvet rope fence,Gaffer sheep,,,,,,,,,
SummerFair2024,TID_DECO_STICKER_BOOK_COLLECTION_3,sc/hud_sticker_book.sc,collection_3,,2024,20,,Slinging range,Fresh lemonade,Harlequin gnome,Summer fair wheel,Summer fair fun,Summer fair ride,Lemon path,Summer fair cutout,Summer fair darts,Bowling pig,,,,,,,,,,
Pool2024,TID_DECO_STICKER_BOOK_COLLECTION_4,sc/hud_sticker_book.sc,collection_4,,2024,17,,Pool area fence,Poolside planter,CoolerBox,FishFloater,Chick Pool,Sun bed,Sun loungers,Pool party,Lifeguard,PoolWithSlide,,,,,,,,,,
Beach2024,TID_DECO_STICKER_BOOK_COLLECTION_5,sc/hud_sticker_book.sc,collection_5,,2024,,,Beach rentals,Poolside table,Beach Tiki,Beach Towels,Beach Hammock,Beach Fence,Sandpath,Sand Bed,Sand Toys,Sand Swing,Beach Board,Beach Kites,Surf_rental_stand,,,,,,,
Collection6,TID_DECO_STICKER_BOOK_COLLECTION_6,sc/hud_sticker_book.sc,collection_6,,2024,,,Splashy fun,Beach volley,Summer games swimmers,Summer games medals,Summer games pingpong,Summer games gymnastics,Summer games track,Summer games startline,Summer games stand,Summer games tortch,Summer games boxer,Summer games gate,,,,,,,,
Collection7,TID_DECO_STICKER_BOOK_COLLECTION_7,sc/hud_sticker_book.sc,collection_7,,2024,,,Summer games medals,Summer games gymnastics,Olympic Path,Olympic fence,Summer games gate,Summer games startline,,,,,,,,,,,,,,
Collection8,TID_DECO_STICKER_BOOK_COLLECTION_8,sc/hud_sticker_book.sc,collection_8,,2024,,,Duck diving,Aquarium,Mosaic well,Tipping duck,Pooltile path,,,,,,,,,,,,,,,
Collection9,TID_DECO_STICKER_BOOK_COLLECTION_9,sc/hud_sticker_book.sc,collection_9,,2024,,,Throwing cans,Cross stitching,Leafpile path,Autumn maple tree,Barricade fence,Wooden hedgehogs,Wooden train,Laundry_rack,Poisonous mushroom path,Autumn umbrella,Autumn chair,Autumn pavilion,,,,,,,,
Collection10,TID_DECO_STICKER_BOOK_COLLECTION_10,sc/hud_sticker_book.sc,collection_10,,2024,,,Leafpile path,Laundry_rack,Poisonous mushroom path,Mushroom_bench,Mushroom table,LeafPile,RakeLeafs,,,,,,,,,,,,,
Collection11,TID_DECO_STICKER_BOOK_COLLECTION_11,sc/hud_sticker_book.sc,collection_11,,2024,,,Rasberry refreshment,Wooden heart fence,Gingerbread hearts,Autumn picnic,Pretzel_picnic,Tuba pig,Accordeon pig,Dirdln pig,,,,,,,,,,,,
Collection12,TID_DECO_STICKER_BOOK_COLLECTION_12,sc/hud_sticker_book.sc,collection_12,,2024,,,Mausoleum,Halloween path,HalloweenTombstone,HalloweenCoffin,HalloweenLantern,HalloweenGate,HalloweenGrave,Mummy pig,CemetaryFence,Trick tree,,,,,,,,,,
Collection13,TID_DECO_STICKER_BOOK_COLLECTION_13,sc/hud_sticker_book.sc,collection_13,,2024,,,Draculas apprentices,Pumpkin pyramid,Abandoned tombs,Gloomy candles,Scary mausoleum,Scary organ music,Glass wall,Black roses,Scary tomb,Lobster ride,Centipede fence,Cleaner pig,Ghost pig,,,,,,,
Collection14,TID_DECO_STICKER_BOOK_COLLECTION_14,sc/hud_sticker_book.sc,generic_9decos_winter,,2024,,,Wood cutters,Pond yachting,Mushroom log,Mushroom fence,Boat statue,Mushroom picking,Fox statue,Sleeping fox,Bird feeder,,,,,,,,,,,
Collection15,TID_DECO_STICKER_BOOK_COLLECTION_15,sc/hud_sticker_book.sc,generic_6decos_neutral,,2024,,,Thanksgiving pavilion,Thanksgiving fence,Thanksgiving balloon,Thanksgiving table,Thanksgiving bouque m,Thanksgiving bouque s,,,,,,,,,,,,,,
Collection16,TID_DECO_STICKER_BOOK_COLLECTION_16,sc/hud_sticker_book.sc,generic_9decos_neutral,,2024,,,Thanksgiving wagon,Thanksgiving cosplay,Thanksgiving path,Thanksgiving fence,Thanksgiving balloon,Thanksgiving pavilion,Thanksgiving table,Thanksgiving bouque m,Thanksgiving bouque s,,,,,,,,,,,
Collection17,TID_DECO_STICKER_BOOK_COLLECTION_17,sc/hud_sticker_book.sc,generic_9decos_winter,,2024,,,Holiday spirit,Lumberjacks,Airmail,Gingerbread workshop,Gift delivery,Electric candles fence,Seasonal greetings,Mail office,Market cart,,,,,,,,,,,
Collection18,TID_DECO_STICKER_BOOK_COLLECTION_18,sc/hud_sticker_book.sc,generic_6decos_winter,,2024,17,,Wooden santa,Gingerbread path,Cow santa,Jolly path,Market feast,Market table,,,,,,,,,,,,,,
Collection19,TID_DECO_STICKER_BOOK_COLLECTION_19,sc/hud_sticker_book.sc,generic_9decos_christmas,,2024,17,,Jolly wreath,Gingerbread path,Candle chimes,Holiday baking,Cow santa,Jolly path,Wooden santa,Tree delivery,Market feast,,,,,,,,,,,
Collection20,TID_DECO_STICKER_BOOK_COLLECTION_20,sc/hud_sticker_book.sc,generic_6decos_winter,,2025,,,Winter photo op,Snowcastle fence,Snowman balloon,Rescue patrol,Bunny burrow,Snowfight,,,,,,,,,,,,,,
Collection21,TID_DECO_STICKER_BOOK_COLLECTION_21,sc/hud_sticker_book.sc,generic_6decos_neutral,,2025,,,Spa treatment,Pond of harmony,Bubble bath,Gentle fire,Sound bath,Calming cairns,,,,,,,,,,,,,,
Collection22,TID_DECO_STICKER_BOOK_COLLECTION_22,sc/hud_sticker_book.sc,generic_6decos_neutral,,2025,,,Path of harmony,Spring of serenity,Nap time,Snake path,Jade snake,Snake dance,,,,,,,,,,,,,,
Collection23,TID_DECO_STICKER_BOOK_COLLECTION_23,sc/hud_sticker_book.sc,generic_6decos_valentines,,2025,23,,Cupid's bench,Heartwarming gift,Heartwarming fountain,Cupid's cannon,Heartwarming fence,Valentine's Gardenbench,,,,,,,,,,,,,,
Collection24,TID_DECO_STICKER_BOOK_COLLECTION_24,sc/hud_sticker_book.sc,generic_9decos_valentines,,2025,23,,Chocolate frenzy,Heartwarming gift,Cupid's bench,Balcony serenade,Heart balloon,Heart confetti,Heartwarming fountain,Cupid's cannon,Valentine's Roseplanter,,,,,,,,,,,
Collection25,TID_DECO_STICKER_BOOK_COLLECTION_25,sc/hud_sticker_book.sc,generic_6decos_neutral,,2025,,,Rainbow arch,Flag bearer,Heart tile,Carnival jester,Carnival tractor,Chicken galley,,,,,,,,,,,,,,
Collection26,TID_DECO_STICKER_BOOK_COLLECTION_26,sc/hud_sticker_book.sc,generic_9decos_spring,,2025,27,,Garden pavilion,Her journey,Garden helpers,Bee topiary,Lucky well,Her swing,Monument of her,Garden fence,Marble flowervase,,,,,,,,,,,
Collection27,TID_DECO_STICKER_BOOK_COLLECTION_27,sc/hud_sticker_book.sc,generic_9decos_spring,,2025,,,Hidden garden,Garden helpers,Busy bees,Garden chess,Garden cart,Garden rooster,Marble duck bath,Big bonsai tree,Small bonsai tree,,,,,,,,,,,
Collection28,TID_DECO_STICKER_BOOK_COLLECTION_28,sc/hud_sticker_book.sc,generic_12decos_neutral,,2025,23,,Surprise eggs,Easter carriage,EasterGate,Easter banquet,Easter stand,Easter parade arch,EasterEggTree,Chocolate egg planter,Carrot gazebo,Easter balloon,Easter egg hunt,Paw prints,,,,,,,,
Collection29,TID_DECO_STICKER_BOOK_COLLECTION_29,sc/hud_sticker_book.sc,generic_9decos_spring,,2025,23,,Solar flowers,Cleanup Crew,Green globe,Toad oasis,Cheetah topiary,Stone turtle path,Green energy,Green future,Green gold,,,,,,,,,,,
Collection30,TID_DECO_STICKER_BOOK_COLLECTION_30,sc/hud_sticker_book.sc,generic_9decos_neutral,,2025,,,Bamboo forest,Kitsune bush,Wisteria pagoda,Wisteria fence,Bento box,Fish kite,Wish board,Koto drummer,Koi fence,,,,,,,,,,,
Collection31,TID_DECO_STICKER_BOOK_COLLECTION_31,sc/hud_sticker_book.sc,collection_6,,2025,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection32,TID_DECO_STICKER_BOOK_COLLECTION_32,sc/hud_sticker_book.sc,generic_12decos_neutral,,2025,,,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,,,,,,,,
Collection33,TID_DECO_STICKER_BOOK_COLLECTION_33,sc/hud_sticker_book.sc,generic_12decos_neutral,,2025,17,,Vertical garden,Rainwater collector,Plant wagon,Hedge pruning,Zinnia planter,Pruning station,Chasing droplets,Pot display,Chamomile fence,Fiesta,Mariachi corner,Piñata party,,,,,,,,
Collection34,TID_DECO_STICKER_BOOK_COLLECTION_34,sc/hud_sticker_book.sc,generic_6decos_neutral,,2025,,,Topiary letter A,Topiary letter H,Topiary letter Y,Topiary letter A,Topiary letter Y,Topiary letter D,,,,,,,,,,,,,,
Collection35,TID_DECO_STICKER_BOOK_COLLECTION_35,sc/hud_sticker_book.sc,generic_6decos_neutral,,2025,,,Groovy peace doves,Honeycomb path,Roundabout,Spring Fence,Bee Flowers,Bee Lights,,,,,,,,,,,,,,
Collection36,TID_DECO_STICKER_BOOK_COLLECTION_36,sc/hud_sticker_book.sc,special_13decos_nostalgic,,2025,,,Groovy Mr.Scarecrow,ChocoFountain,BlueCake,Lollipop Cake,Veggie Cake,Bird Cake,Birthday Gift Tent,Rainbow Cake,10thBirthday Cake,Band poster,Party balloons,Carnival balloon,BirthdayCake,,,,,,,
Collection37,TID_DECO_STICKER_BOOK_COLLECTION_37,sc/hud_sticker_book.sc,special_14decos_birthday_13th,,2025,17,,Groovy Farmpass June Deco01,Groovy Farmpass June Deco02,Groovy bug,Groovy van,Groovy fence,Groovy Mrs.Scarecrow,Groovy Mr.Scarecrow,Groovy eggchair,Groovy guitar case,Groovy bike,Groovy side table,Groovy corner,Groovy tile,Groovy guitar player,,,,,,
Collection38,TID_DECO_STICKER_BOOK_COLLECTION_38,sc/hud_sticker_book.sc,generic_9decos_neutral,,2025,23,,Camper van,Camp grill,Camp radio,Lookout tower,Rafting gear,Climbing gear,Camp signpost,Camping gear,No fire sign,,,,,,,,,,,
Collection39,TID_DECO_STICKER_BOOK_COLLECTION_39,sc/hud_sticker_book.sc,collection_6,,2025,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection40,TID_DECO_STICKER_BOOK_COLLECTION_40,sc/hud_sticker_book.sc,collection_6,,2025,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection41,TID_DECO_STICKER_BOOK_COLLECTION_41,sc/hud_sticker_book.sc,collection_6,,2025,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection42,TID_DECO_STICKER_BOOK_COLLECTION_42,sc/hud_sticker_book.sc,collection_6,,2025,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection43,TID_DECO_STICKER_BOOK_COLLECTION_43,sc/hud_sticker_book.sc,collection_6,,2025,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection44,TID_DECO_STICKER_BOOK_COLLECTION_44,sc/hud_sticker_book.sc,collection_6,,2025,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection45,TID_DECO_STICKER_BOOK_COLLECTION_45,sc/hud_sticker_book.sc,collection_6,,2025,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection46,TID_DECO_STICKER_BOOK_COLLECTION_46,sc/hud_sticker_book.sc,collection_6,,2025,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection47,TID_DECO_STICKER_BOOK_COLLECTION_47,sc/hud_sticker_book.sc,collection_6,,2025,,TRUE,,,,,,,,,,,,,,,,,,,,
