Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,PaidGoodReward1,PaidGoodAmount1,PaidGoodReward2,PaidGoodAmount2,PaidGoodReward3,PaidGoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxPonyAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,DiamondsToCoinsRateV2,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,TruckCoinMultiplier,TruckEXPMultiplier,BoatCrateCoinMultiplier,BoatCrateEXPMultiplier,EXPEventCurrencyMultiplier
String,int,String,int,String,int,String,int,String,int,String,int,String,int,String,String,String,String,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,27,,,,,,,,,,,,,,,,,,6,24,30,30,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,3,2,3,5,,,100,,,600,600,5,1,1,,,1,1,,,,,,,100,100,100,100,100
2,7,FreeCash,85,Corn,4,,,,,,,,,,,,,,6,24,30,30,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,3,2,3,5,,,100,,,604,604,5,1,1,,,1,1,,,,,,,100,100,100,100,100
3,14,FreeDiamonds,1,,,,,,,,,,,,,,,,9,36,30,30,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,3,2,3,5,,,100,,,611,611,5,1,1,,,1,1,,,,,,,100,100,100,100,100
4,30,FreeDiamonds,1,FreeCash,100,,,,,,,,,,,,,,9,36,30,30,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,3,2,3,5,1,0,100,10,15,622,626,10,4,7,100,150,3,3,1080,1080,240,1000,,,100,100,100,100,100
5,50,Soybean,3,FreeDiamonds,1,,,,,,,,,,,,,,12,48,30,30,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,3,2,3,5,2,0,13,10,15,637,641,12,4,7,100,150,3,3,1080,1080,240,1000,,,100,100,100,100,100
6,220,Cow Food,5,,,,,,,,,,,,,,,,12,48,30,30,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,1,4,3,3,5,3,0,17,10,15,656,656,13,4,7,100,150,3,3,1080,1080,240,1000,,,100,100,100,100,100
7,370,Sugarcane,3,FreeDiamonds,1,,,,,,,,,,,,,,15,60,30,30,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,1,4,4,3,5,4,0,21,10,15,680,680,14,4,7,100,150,3,3,1080,1080,240,1000,,,100,100,100,100,100
8,490,Saw,1,FreeDiamonds,1,,,,,,,,,,,,,,15,60,30,30,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,1,4,5,3,5,5,0,23,10,15,709,709,15,4,7,100,150,3,3,1080,1080,240,6000,,,250,400,150,300,100
9,790,Carrot,3,,,,,,,,,,,,,,,,18,72,30,30,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,1,4,6,3,5,6,0,26,10,15,742,742,17,4,7,100,150,3,3,1080,1080,240,6000,,,250,400,150,300,100
10,960,Pig Food,3,FreeDiamonds,1,,,,,,,,,,,,,,18,72,30,30,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,,,,1,4,7,3,5,7,0,29,10,15,781,921,18,4,7,100,150,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
11,1180,Demolition Charge,1,Dynamite,1,,,,,,,,,,,,,,21,84,30,30,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,,,,1,5,8,3,5,7,0,31,10,15,825,1100,19,4,7,100,155,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
12,1550,Axe,1,FreeDiamonds,1,,,,,,,,,,,,,,21,84,30,30,,,,,,,,,,,,,,,,,,,,2,1,,1,,2,1,,,,1,5,9,3,5,7,0,34,10,16,874,1279,21,4,7,105,155,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
13,1790,Indigo,3,,,,,,,,,,,,,,,,24,96,30,30,,,,,,,,,,,,,,,,,,,,2,1,,1,,2,1,,,,1,5,10,3,5,7,0,36,10,16,928,1279,22,4,7,105,155,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
14,2270,Saw,2,FreeDiamonds,1,,,,,,,,,,,,,,24,96,30,30,,,,,,,,,,,,,,,,,,,,2,1,,1,,2,1,,,,1,5,11,3,5,7,0,39,10,16,988,1279,23,4,7,105,155,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
15,2880,Pumpkin,3,,,,,,,,,,,RS1,,,,,27,108,30,30,,,,,,,,,,,,,,,,,,,,2,2,,1,,2,1,,,,1,5,12,3,5,7,0,42,10,16,1054,1375,25,4,7,105,155,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
16,3270,Sheep Food,3,,,,,,,,,,,RS1,,,,,27,108,30,30,,,,,,,,,,,,,,,,,,,,2,2,1,1,,2,1,,,,1,6,13,3,5,7,0,44,10,16,1125,1471,26,4,7,105,160,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
17,4120,Saw,1,,,,,,,,,,,RS2,,,,,30,120,30,30,,,,,,,,,,,,,,,,,,,,2,2,1,1,,2,1,,,,1,6,14,3,5,7,0,47,11,16,1203,1567,27,4,7,110,160,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
18,4740,Saw,1,Cotton,3,,,,,,,,,RS1,,,,,30,120,30,30,,,,,,,,,,,,,,,,,,,,2,2,1,2,,2,1,,,,1,6,15,3,5,7,0,49,11,16,1286,1869,28,4,7,110,160,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
19,5610,,,,,,,,,,,,,RS2,,,,,33,132,30,30,,,,,,,,,,,,,,,,,,,,2,2,1,2,,2,1,,,,1,6,15,3,5,7,0,52,11,16,1375,2171,30,4,7,110,160,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
20,6320,,,,,,,,,,,,,RS3,,,,,33,132,30,30,,,1,1,,,,,,,,,,,,,,1,1,2,2,1,2,,2,1,,,,1,6,20,3,5,7,0,55,11,17,1471,4048,31,6,8,115,165,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
21,7750,,,,,,,,,,,,,RS4,,,,,36,144,30,30,1,1,1,1,,,,,,,,,,,,,,1,1,2,2,1,2,,2,1,,,,1,6,20,3,5,7,0,56,11,17,1572,5924,32,6,8,115,165,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
22,9140,,,,,,,,,,,,,RS1,,,,,36,144,30,30,1,1,1,1,,,,,,,,,,,,,,1,1,2,2,1,2,,2,1,,,,1,6,20,3,5,8,0,48,11,17,1680,5941,34,6,8,115,170,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
23,10830,Bolt,2,Duct Tape,2,Plank,2,,,,,,,RS3,RSNail_2,RSScrew_2,RSWoodPanel_2,,39,156,30,30,1,1,1,1,,,,,,,,,,,,,,1,1,3,2,1,2,,2,1,,,,1,6,20,3,5,8,0,50,11,17,1794,5958,35,6,8,120,170,3,3,1080,1080,240,6000,5,3,250,400,150,300,100
24,12200,Bolt,2,Duct Tape,2,Plank,2,,,,,,,RS5,RSNail_2,RSScrew_2,RSWoodPanel_2,,39,156,30,30,1,1,1,1,,,,,,,,,,,,,,1,1,3,2,1,2,,2,1,5,,,1,6,20,3,5,8,0,51,11,18,1915,5974,36,6,8,120,170,3,3,1080,1080,240,6000,6,3,250,400,150,300,100
25,14000,Chili,3,Duct Tape,2,Plank,2,,,,,,,RS4,RSBolt_2,RSNail_2,RSScrew_2,RSWoodPanel_2,42,168,30,30,1,1,1,1,,,,,,,,,,,,,,1,1,3,2,1,2,,2,1,5,,,1,6,20,3,5,8,0,52,12,18,2042,10845,38,6,9,120,175,3,3,1080,1080,240,6000,8,3,250,400,150,300,100
26,15700,Bolt,2,Duct Tape,2,Plank,2,,,,,,,RS1,RS2,RSNail_2,RSScrew_2,RSWoodPanel_2,42,168,30,30,1,1,1,1,,,,,,,,,,,,,,1,1,3,2,2,2,,2,1,5,,,1,6,30,3,5,8,0,53,12,19,2176,15716,39,6,9,125,175,3,3,1080,1080,240,6000,8,3,250,400,150,300,100
27,18300,Bolt,2,Duct Tape,1,Plank,1,,,,,,,RS3,RS1,RSNail_2,RSScrew_1,RSWoodPanel_1,45,180,30,30,1,1,1,1,1,,1,,,,,,,,,,,1,1,3,3,2,2,,2,1,5,,,1,6,30,3,5,8,0,55,12,19,2316,16899,40,6,9,125,180,3,3,1080,1080,240,6000,8,3,250,400,150,300,100
28,20500,Bolt,2,Duct Tape,2,Plank,2,,,,,,,RS1,RS5,RSNail_2,RSScrew_2,RSWoodPanel_2,45,180,30,30,1,1,2,2,1,,1,,,,,,,,,,,1,1,3,3,2,2,,2,1,5,,,1,6,30,3,5,8,0,55,12,19,2464,18082,41,6,10,130,180,3,3,1080,1080,240,6000,10,3,250,400,150,300,100
29,23400,Bolt,4,Duct Tape,4,Plank,4,,,,,,,RS3,RS4,RSNail_4,RSScrew_4,RSWoodPanel_4,48,192,30,30,2,2,2,2,1,,1,,,,,,,,,,,1,1,3,3,2,2,,2,1,5,,,1,6,30,3,5,8,0,56,12,20,2617,19264,43,6,10,130,185,3,3,1080,1080,240,6000,10,3,250,400,150,300,100
30,26100,Bolt,3,Tomato,3,Plank,3,,,,,,,RS3,RSDuctTape_4,RSNail_3,RSScrew_4,RSWoodPanel_3,48,192,30,30,2,2,2,2,1,,1,,,,,,,,,,,1,1,3,3,2,2,,2,1,5,,,1,6,30,3,5,8,0,58,13,21,2778,21115,44,6,10,135,190,3,3,1080,1080,240,6000,10,3,250,400,150,300,100
31,29400,Bolt,3,Duct Tape,3,Plank,4,,,,,,,RS5,RS1,RSNail_3,RSScrew_3,RSWoodPanel_4,51,204,30,30,2,2,2,2,1,,1,,,1,1,,,,,,,1,1,3,3,2,2,,2,1,5,,,1,6,30,3,5,8,0,58,13,21,2946,22966,45,6,10,140,190,3,3,1080,1080,240,6000,10,3,250,400,150,300,100
32,32400,Bolt,4,Duct Tape,3,Plank,3,,,,,,,RS1,RS3,RSNail_4,RSScrew_3,RSWoodPanel_3,51,204,30,30,2,2,2,2,1,,1,,,1,1,,,,,,,1,1,3,3,2,3,1,2,1,5,,,1,6,30,3,5,9,0,59,13,22,3120,24817,47,6,11,140,195,3,3,1080,1080,240,6000,10,3,250,400,150,300,100
33,35800,Bolt,3,Duct Tape,4,Plank,3,,,,,,,RS4,RS2,RSNail_3,RSScrew_4,RSWoodPanel_3,54,216,30,30,2,2,2,2,1,,1,,,1,1,,,,,,,1,1,3,3,2,3,1,2,1,5,,,1,6,30,3,5,9,0,59,14,23,3302,26668,48,6,11,145,200,3,3,1080,1080,240,6000,10,3,250,400,150,300,100
34,38700,Pickaxe,1,Duct Tape,3,Strawberry,3,,,,,,,RS6,RSBolt_3,RSNail_3,RSScrew_3,RSWoodPanel_4,54,216,30,30,2,2,2,2,1,,1,,,1,1,,,,,,,1,1,3,3,2,3,1,2,1,5,,,1,6,30,3,5,9,0,59,14,24,3491,28519,49,6,11,150,200,3,3,1080,1080,240,6000,10,3,250,400,150,300,100
35,42200,Potato,3,Duct Tape,3,Plank,3,,,,,,,RS7,RSBolt_4,RSNail_4,RSScrew_3,RSWoodPanel_3,57,228,30,30,2,2,2,2,1,,1,,,1,1,,,1,1,,,1,1,3,3,2,3,1,2,1,5,,,1,6,30,3,5,9,0,60,15,24,3686,30372,51,6,11,150,205,3,3,1080,1080,240,6000,10,3,250,400,150,300,100
36,45200,,,Duct Tape,4,Plank,3,,,,,,,RS2,RSBolt_3,RSNail_3,RSScrew_4,RSWoodPanel_3,57,228,30,30,2,2,2,2,1,,1,,,1,1,,,1,1,,,1,1,3,3,2,3,1,2,1,5,,,1,6,30,3,5,9,0,61,15,25,3889,31916,52,6,12,155,210,3,3,1080,1080,240,6000,10,3,250,400,150,300,100
37,48900,FreeDiamonds,1,Duct Tape,3,Plank,4,,,,,,,RS1,RSBolt_3,RSNail_3,RSScrew_3,RSWoodPanel_4,60,240,30,30,2,2,2,2,2,,2,,,1,1,,,1,1,,,1,1,3,3,2,3,2,2,1,5,,,1,6,30,3,5,9,0,61,16,26,4100,33460,53,6,12,160,215,3,3,1080,1080,240,6000,10,3,250,400,150,300,100
38,54900,FreeDiamonds,1,Duct Tape,3,Plank,3,,,,,,,RS6,RSBolt_3,RSNail_3,RSScrew_3,RSWoodPanel_3,60,240,30,30,2,2,2,2,2,,2,,,1,1,,,1,1,,,1,1,3,3,2,3,2,2,1,5,,,1,6,30,3,5,9,0,62,16,28,4317,35005,54,6,12,165,220,3,3,1080,1080,240,6000,10,3,250,400,150,300,100
