Name,CollectionTool,CollectionToolAmount,TapSound,LimitedCollectionTool,LimitedCollectionToolAmount
String,String,int,String,String,int
10,Land Deed,7,MenuBleep,,
,Mallet,7,,,
,Marker Stake,7,,,
20,Land Deed,15,MenuBleep,,
,Mallet,15,,,
,Marker Stake,15,,,
30,Land Deed,5,MenuBleep,,
,Mallet,5,,,
,Marker Stake,5,,,
40,Land Deed,6,MenuBleep,,
,Mallet,6,,,
,Marker Stake,6,,,
50,Land Deed,6,MenuBleep,,
,Mallet,6,,,
,Marker Stake,6,,,
60,Land Deed,6,MenuBleep,,
,Mallet,6,,,
,Marker Stake,6,,,
70,Land Deed,16,MenuBleep,,
,Mallet,16,,,
,Marker Stake,16,,,
80,Land Deed,5,MenuBleep,,
,Mallet,5,,,
,Marker Stake,5,,,
90,Land Deed,6,MenuBleep,,
,Mallet,6,,,
,Marker Stake,6,,,
100,Land Deed,11,MenuBleep,,
,Mallet,11,,,
,Marker Stake,11,,,
110,Land Deed,15,MenuBleep,,
,Mallet,15,,,
,Marker Stake,15,,,
120,Land Deed,6,MenuBleep,,
,Mallet,6,,,
,Marker Stake,6,,,
130,Land Deed,12,MenuBleep,,
,Mallet,12,,,
,Marker Stake,12,,,
140,Land Deed,7,MenuBleep,,
,Mallet,7,,,
,Marker Stake,7,,,
150,Land Deed,12,MenuBleep,,
,Mallet,12,,,
,Marker Stake,12,,,
160,Land Deed,8,MenuBleep,,
,Mallet,8,,,
,Marker Stake,8,,,
170,Land Deed,10,MenuBleep,,
,Mallet,10,,,
,Marker Stake,10,,,
180,Land Deed,10,MenuBleep,,
,Mallet,10,,,
,Marker Stake,10,,,
190,Land Deed,9,MenuBleep,,
,Mallet,9,,,
,Marker Stake,9,,,
200,Land Deed,13,MenuBleep,,
,Mallet,13,,,
,Marker Stake,13,,,
210,Land Deed,8,MenuBleep,,
,Mallet,8,,,
,Marker Stake,8,,,
220,Land Deed,7,MenuBleep,,
,Mallet,7,,,
,Marker Stake,7,,,
230,Land Deed,12,MenuBleep,,
,Mallet,12,,,
,Marker Stake,12,,,
240,Land Deed,6,MenuBleep,,
,Mallet,6,,,
,Marker Stake,6,,,
250,Land Deed,9,MenuBleep,,
,Mallet,9,,,
,Marker Stake,9,,,
260,Land Deed,15,MenuBleep,,
,Mallet,15,,,
,Marker Stake,15,,,
270,Land Deed,24,MenuBleep,,
,Mallet,24,,,
,Marker Stake,24,,,
280,Land Deed,12,MenuBleep,,
,Mallet,12,,,
,Marker Stake,12,,,
290,Land Deed,12,MenuBleep,,
,Mallet,12,,,
,Marker Stake,12,,,
300,Land Deed,19,MenuBleep,,
,Mallet,19,,,
,Marker Stake,19,,,
310,Land Deed,10,MenuBleep,,
,Mallet,10,,,
,Marker Stake,10,,,
320,Land Deed,18,MenuBleep,,
,Mallet,18,,,
,Marker Stake,18,,,
330,Land Deed,8,MenuBleep,,
,Mallet,8,,,
,Marker Stake,8,,,
340,Land Deed,24,MenuBleep,,
,Mallet,24,,,
,Marker Stake,24,,,
350,Land Deed,15,MenuBleep,,
,Mallet,15,,,
,Marker Stake,15,,,
360,Land Deed,12,MenuBleep,,
,Mallet,12,,,
,Marker Stake,12,,,
370,Land Deed,12,MenuBleep,,
,Mallet,12,,,
,Marker Stake,12,,,
380,Land Deed,15,MenuBleep,,
,Mallet,15,,,
,Marker Stake,15,,,
390,Land Deed,15,MenuBleep,,
,Mallet,15,,,
,Marker Stake,15,,,
400,Land Deed,34,MenuBleep,,
,Mallet,34,,,
,Marker Stake,34,,,
410,Land Deed,15,MenuBleep,,
,Mallet,15,,,
,Marker Stake,15,,,
420,Land Deed,34,MenuBleep,,
,Mallet,34,,,
,Marker Stake,34,,,
430,Land Deed,39,MenuBleep,,
,Mallet,39,,,
,Marker Stake,39,,,
440,Land Deed,29,MenuBleep,,
,Mallet,29,,,
,Marker Stake,29,,,
450,Land Deed,15,MenuBleep,,
,Mallet,15,,,
,Marker Stake,15,,,
460,Land Deed,22,MenuBleep,,
,Mallet,22,,,
,Marker Stake,22,,,
470,Land Deed,29,MenuBleep,,
,Mallet,29,,,
,Marker Stake,29,,,
480,Land Deed,22,MenuBleep,,
,Mallet,22,,,
,Marker Stake,22,,,
490,Land Deed,30,MenuBleep,Expansion Key,1
,Mallet,30,,,
,Marker Stake,30,,,
500,Land Deed,29,MenuBleep,Expansion Key,6
,Mallet,29,,,
,Marker Stake,29,,,
510,Land Deed,39,MenuBleep,Expansion Key,8
,Mallet,39,,,
,Marker Stake,39,,,
520,Land Deed,32,MenuBleep,Expansion Key,2
,Mallet,32,,,
,Marker Stake,32,,,
530,Land Deed,20,MenuBleep,Expansion Key,4
,Mallet,20,,,
,Marker Stake,20,,,
540,Land Deed,36,MenuBleep,Expansion Key,10
,Mallet,36,,,
,Marker Stake,36,,,
550,Land Deed,29,MenuBleep,Expansion Key,8
,Mallet,29,,,
,Marker Stake,29,,,
560,Land Deed,39,MenuBleep,Expansion Key,10
,Mallet,39,,,
,Marker Stake,39,,,
570,Land Deed,26,MenuBleep,Expansion Key,10
,Mallet,26,,,
,Marker Stake,26,,,
580,Land Deed,29,MenuBleep,,
,Mallet,29,,,
,Marker Stake,29,,,
590,Land Deed,20,MenuBleep,,
,Mallet,20,,,
,Marker Stake,20,,,
600,Land Deed,24,MenuBleep,,
,Mallet,24,,,
,Marker Stake,24,,,
610,Land Deed,20,MenuBleep,,
,Mallet,20,,,
,Marker Stake,20,,,
620,Land Deed,32,MenuBleep,,
,Mallet,32,,,
,Marker Stake,32,,,
630,Land Deed,39,MenuBleep,,
,Mallet,39,,,
,Marker Stake,39,,,
640,Land Deed,26,MenuBleep,,
,Mallet,26,,,
,Marker Stake,26,,,
650,Land Deed,23,MenuBleep,,
,Mallet,23,,,
,Marker Stake,23,,,
660,Land Deed,24,MenuBleep,,
,Mallet,24,,,
,Marker Stake,24,,,
670,Land Deed,32,MenuBleep,,
,Mallet,32,,,
,Marker Stake,32,,,
680,Land Deed,20,MenuBleep,,
,Mallet,20,,,
,Marker Stake,20,,,
690,Land Deed,35,MenuBleep,,
,Mallet,35,,,
,Marker Stake,35,,,
700,Land Deed,40,MenuBleep,,
,Mallet,40,,,
,Marker Stake,40,,,
710,Land Deed,36,MenuBleep,,
,Mallet,36,,,
,Marker Stake,36,,,
720,Land Deed,35,MenuBleep,,
,Mallet,35,,,
,Marker Stake,35,,,
730,Land Deed,27,MenuBleep,,
,Mallet,27,,,
,Marker Stake,27,,,
740,Land Deed,47,MenuBleep,,
,Mallet,47,,,
,Marker Stake,47,,,
750,Land Deed,47,MenuBleep,,
,Mallet,47,,,
,Marker Stake,47,,,
760,Land Deed,36,MenuBleep,,
,Mallet,36,,,
,Marker Stake,36,,,
770,Land Deed,44,MenuBleep,,
,Mallet,44,,,
,Marker Stake,44,,,
780,Land Deed,47,MenuBleep,,
,Mallet,47,,,
,Marker Stake,47,,,
790,Land Deed,36,MenuBleep,,
,Mallet,36,,,
,Marker Stake,36,,,
800,Land Deed,33,MenuBleep,Expansion Key,10
,Mallet,33,,,
,Marker Stake,33,,,
810,Land Deed,49,MenuBleep,Expansion Key,10
,Mallet,49,,,
,Marker Stake,49,,,
820,Land Deed,40,MenuBleep,Expansion Key,10
,Mallet,40,,,
,Marker Stake,40,,,
830,Land Deed,36,MenuBleep,Expansion Key,11
,Mallet,36,,,
,Marker Stake,36,,,
840,Land Deed,44,MenuBleep,Expansion Key,12
,Mallet,44,,,
,Marker Stake,44,,,
850,Land Deed,38,MenuBleep,Expansion Key,13
,Mallet,38,,,
,Marker Stake,38,,,
860,Land Deed,45,MenuBleep,Expansion Key,11
,Mallet,45,,,
,Marker Stake,45,,,
870,Land Deed,44,MenuBleep,Expansion Key,10
,Mallet,44,,,
,Marker Stake,44,,,
880,Land Deed,27,MenuBleep,Expansion Key,15
,Mallet,27,,,
,Marker Stake,27,,,
890,Land Deed,45,MenuBleep,Expansion Key,4
,Mallet,45,,,
,Marker Stake,45,,,
900,Land Deed,36,MenuBleep,Expansion Key,10
,Mallet,36,,,
,Marker Stake,36,,,
910,Land Deed,45,MenuBleep,Expansion Key,10
,Mallet,45,,,
,Marker Stake,45,,,
920,Land Deed,49,MenuBleep,Expansion Key,13
,Mallet,49,,,
,Marker Stake,49,,,
930,Land Deed,42,MenuBleep,Expansion Key,15
,Mallet,42,,,
,Marker Stake,42,,,
940,Land Deed,36,MenuBleep,Expansion Key,15
,Mallet,36,,,
,Marker Stake,36,,,
950,Land Deed,52,MenuBleep,Expansion Key,4
,Mallet,52,,,
,Marker Stake,52,,,
960,Land Deed,40,MenuBleep,Expansion Key,5
,Mallet,40,,,
,Marker Stake,40,,,
970,Land Deed,52,MenuBleep,Expansion Key,10
,Mallet,52,,,
,Marker Stake,52,,,
980,Land Deed,52,MenuBleep,Expansion Key,10
,Mallet,52,,,
,Marker Stake,52,,,
990,Land Deed,38,MenuBleep,Expansion Key,10
,Mallet,38,,,
,Marker Stake,38,,,
1000,Land Deed,54,MenuBleep,Expansion Key,12
,Mallet,54,,,
,Marker Stake,54,,,
1010,Land Deed,24,MenuBleep,Expansion Key,12
,Mallet,24,,,
,Marker Stake,24,,,
1020,Land Deed,64,MenuBleep,Expansion Key,14
,Mallet,64,,,
,Marker Stake,64,,,
1030,Land Deed,44,MenuBleep,Expansion Key,15
,Mallet,44,,,
,Marker Stake,44,,,
1040,Land Deed,36,MenuBleep,Expansion Key,16
,Mallet,36,,,
,Marker Stake,36,,,
1050,Land Deed,56,MenuBleep,Expansion Key,16
,Mallet,56,,,
,Marker Stake,56,,,
1060,Land Deed,50,MenuBleep,Expansion Key,18
,Mallet,50,,,
,Marker Stake,50,,,
1070,Land Deed,48,MenuBleep,Expansion Key,4
,Mallet,48,,,
,Marker Stake,48,,,
1080,Land Deed,40,MenuBleep,Expansion Key,5
,Mallet,40,,,
,Marker Stake,40,,,
1090,Land Deed,40,MenuBleep,Expansion Key,6
,Mallet,40,,,
,Marker Stake,40,,,
1100,Land Deed,54,MenuBleep,Expansion Key,8
,Mallet,54,,,
,Marker Stake,54,,,
1110,Land Deed,40,MenuBleep,Expansion Key,10
,Mallet,40,,,
,Marker Stake,40,,,
1120,Land Deed,30,MenuBleep,Expansion Key,10
,Mallet,30,,,
,Marker Stake,30,,,
1130,Land Deed,56,MenuBleep,Expansion Key,13
,Mallet,56,,,
,Marker Stake,56,,,
1140,Land Deed,50,MenuBleep,Expansion Key,15
,Mallet,50,,,
,Marker Stake,50,,,
1150,Land Deed,24,MenuBleep,Expansion Key,15
,Mallet,24,,,
,Marker Stake,24,,,
1160,Land Deed,40,MenuBleep,Expansion Key,18
,Mallet,40,,,
,Marker Stake,40,,,
1170,Land Deed,40,MenuBleep,Expansion Key,17
,Mallet,40,,,
,Marker Stake,40,,,
1180,Land Deed,48,MenuBleep,Expansion Key,18
,Mallet,48,,,
,Marker Stake,48,,,
1190,Land Deed,32,MenuBleep,,
,Mallet,32,,,
,Marker Stake,32,,,
1200,Land Deed,36,MenuBleep,,
,Mallet,36,,,
,Marker Stake,36,,,
1210,Land Deed,28,MenuBleep,,
,Mallet,28,,,
,Marker Stake,28,,,
1220,Land Deed,24,MenuBleep,,
,Mallet,24,,,
,Marker Stake,24,,,
1230,Land Deed,30,MenuBleep,,
,Mallet,30,,,
,Marker Stake,30,,,
1240,Land Deed,30,MenuBleep,,
,Mallet,30,,,
,Marker Stake,30,,,
1250,Land Deed,39,MenuBleep,,
,Mallet,39,,,
,Marker Stake,39,,,
1260,Land Deed,24,MenuBleep,,
,Mallet,24,,,
,Marker Stake,24,,,
1270,Land Deed,24,MenuBleep,,
,Mallet,24,,,
,Marker Stake,24,,,
1280,Land Deed,40,MenuBleep,,
,Mallet,40,,,
,Marker Stake,40,,,
1290,Land Deed,43,MenuBleep,,
,Mallet,43,,,
,Marker Stake,43,,,
1300,Land Deed,50,MenuBleep,,
,Mallet,50,,,
,Marker Stake,50,,,
1310,Land Deed,48,MenuBleep,,
,Mallet,48,,,
,Marker Stake,48,,,
1320,Land Deed,40,MenuBleep,Expansion Key,14
,Mallet,40,,,
,Marker Stake,40,,,
1330,Land Deed,50,MenuBleep,Expansion Key,17
,Mallet,50,,,
,Marker Stake,50,,,
1340,Land Deed,50,MenuBleep,Expansion Key,17
,Mallet,50,,,
,Marker Stake,50,,,
1350,Land Deed,50,MenuBleep,Expansion Key,17
,Mallet,50,,,
,Marker Stake,50,,,
1360,Land Deed,68,MenuBleep,Expansion Key,23
,Mallet,68,,,
,Marker Stake,68,,,
1370,Land Deed,60,MenuBleep,Expansion Key,20
,Mallet,60,,,
,Marker Stake,60,,,
1380,Land Deed,45,MenuBleep,Expansion Key,15
,Mallet,45,,,
,Marker Stake,45,,,
1390,Land Deed,63,MenuBleep,Expansion Key,21
,Mallet,63,,,
,Marker Stake,63,,,
1400,Land Deed,55,MenuBleep,Expansion Key,19
,Mallet,55,,,
,Marker Stake,55,,,
1410,Land Deed,53,MenuBleep,Expansion Key,18
,Mallet,53,,,
,Marker Stake,53,,,
1420,Land Deed,58,MenuBleep,Expansion Key,20
,Mallet,58,,,
,Marker Stake,58,,,
1430,Land Deed,40,MenuBleep,Expansion Key,14
,Mallet,40,,,
,Marker Stake,40,,,
1440,Land Deed,48,MenuBleep,Expansion Key,16
,Mallet,48,,,
,Marker Stake,48,,,
1450,Land Deed,83,MenuBleep,Expansion Key,28
,Mallet,83,,,
,Marker Stake,83,,,
