Name,Type,Enabled,UnlockLevel,MaxPerSeason,Param1String,Param1,Param2,Param3,TID,DescriptionTID,IconExportName,ParamTID,ParamDescriptionTID,ParamIconExportName,Priority
String,String,Boolean,int,int,String,int,int,int,String,String,String,String,String,String,int
ExtraProductionSlot1,ExtraProductionSlot,true,,6,Bakery,2,,,TID_FARM_PASS_PERK_EXTRA_SLOT_GENERIC,TID_FARM_PASS_DESCRIPTION_PERK_EXTRA_SLOT_GENERIC,fp_perk_icon_production_slot_3buildings,TID_FARM_PASS_PERK_EXTRA_SLOT_TAG,TID_FARM_PASS_DESCRIPTION_PERK_EXTRA_SLOT_TAG,fp_perk_icon_production_slot_building,3
,,,,,Dairy,,,,,,,TID_FARM_PASS_PERK_EXTRA_SLOT_TAG,TID_FARM_PASS_DESCRIPTION_PERK_EXTRA_SLOT_TAG,fp_perk_icon_production_slot_building,
,,,,,Ice_Cream_Maker,,,,,,,TID_FARM_PASS_PERK_EXTRA_SLOT_TAG,TID_FARM_PASS_DESCRIPTION_PERK_EXTRA_SLOT_TAG,fp_perk_icon_production_slot_building,
,,,,,Pie_Oven,,,,,,,TID_FARM_PASS_PERK_EXTRA_SLOT_TAG,TID_FARM_PASS_DESCRIPTION_PERK_EXTRA_SLOT_TAG,fp_perk_icon_production_slot_building,
,,,,,Barbecue_Grill,,,,,,,TID_FARM_PASS_PERK_EXTRA_SLOT_TAG,TID_FARM_PASS_DESCRIPTION_PERK_EXTRA_SLOT_TAG,fp_perk_icon_production_slot_building,
NeighborhoodGiftDiamonds,NeighborhoodGift,true,,,FreeDiamonds,5,2880,5,TID_FARM_PASS_PERK_NEIGHBORHOOD_GIFT_DIAMONDS,TID_FARM_PASS_DESCRIPTION_PERK_NEIGHBORHOOD_GIFT_DIAMONDS,fp_perk_icon_gift_box,,,,4
NeighborhoodGiftBarn,NeighborhoodGift,false,,,Plank,5,2880,5,TID_EMPTY_TEXT,TID_EMPTY_TEXT,fp_perk_icon_gift_box_collection_tools,,,,5
,,,,,Nail,1,,,,,fp_perk_icon_gift_box_collection_tools,,,,
,,,,,Bolt,1,,,,,,,,,
ExtraWheelOfFortuneSpin,ExtraWoFSpin,true,,3,,,,,TID_FARM_PASS_PERK_EXTRA_WHEEL_SPIN,TID_FARM_PASS_PERK_EXTRA_WHEEL_SPIN_DESC,fp_perk_icon_free_wof_spin,,,,6
ExtraBoosterSlot,ExtraBooster,true,35,3,,,,,TID_FARM_PASS_PERK_EXTRA_BOOSTER,TID_FARM_PASS_PERK_EXTRA_BOOSTER_DESC,fp_perk_icon_extra_active_booster,,,,7
UnlimitedNewspaperAds,NewspaperAds,false,,3,,,,,TID_EMPTY_TEXT,TID_EMPTY_TEXT,fp_perk_icon_free_news_paper_adds,,,,8
ExtraFuelWheelSpin,ExtraFuelSpin,true,25,3,,,,,TID_FARM_PASS_PERK_EXTRA_FUEL_SPIN,TID_FARM_PASS_PERK_EXTRA_FUEL_SPIN_DESC,fp_perk_icon_free_valley_spin,,,,9
ExtraNeighborhoodRequest1,ExtraNeighborhoodRequest,true,12,,,1,,,TID_FARM_PASS_PERK_EXTRA_NEIGHBORHOOD_REQUEST,TID_FARM_PASS_PERK_EXTRA_NEIGHBORHOOD_REQUEST_DESC,fp_perk_icon_extra_nh_request,,,,10
ReactivateDerbyTask,ReactivateDerbyTask,true,18,3,,1,,,TID_FARM_PASS_PERK_REACTIVATE_DERBY_TASK,TID_FARM_PASS_PERK_REACTIVATE_DERBY_TASK_DESC,fp_perk_icon_derby,,,,11
ExtraHelpTruckOrders,ExtraHelpTruck,true,,6,,1,,,TID_FARM_PASS_PERK_EXTRA_HELP_TRUCK,TID_FARM_PASS_PERK_EXTRA_HELP_TRUCK_DESC,fp_perk_icon_extra_help_truck_orders,,,,12
ExtraHelpBoat,ExtraHelpBoat,true,17,6,,1,,,TID_FARM_PASS_PERK_EXTRA_HELP_BOAT,TID_FARM_PASS_PERK_EXTRA_HELP_BOAT_DESC,fp_perk_icon_extra_help_boat,,,,13
ExtraHelpVisitors,ExtraHelpVisitors,true,34,6,,1,,,TID_FARM_PASS_PERK_EXTRA_HELP_VISITORS,TID_FARM_PASS_PERK_EXTRA_HELP_VISITORS_DESC,fp_perk_icon_extra_help_town_orders,,,,14
ExtraProductionSlot2,ExtraProductionSlot,true,,6,Popcorn_Pot,2,,,TID_FARM_PASS_PERK_EXTRA_SLOT_GENERIC,TID_FARM_PASS_DESCRIPTION_PERK_EXTRA_SLOT_GENERIC,fp_perk_icon_production_slot_3buildings,TID_FARM_PASS_PERK_EXTRA_SLOT_TAG,TID_FARM_PASS_DESCRIPTION_PERK_EXTRA_SLOT_TAG,fp_perk_icon_production_slot_building,15
,,,,,Sugar_Mill,,,,,,,TID_FARM_PASS_PERK_EXTRA_SLOT_TAG,TID_FARM_PASS_DESCRIPTION_PERK_EXTRA_SLOT_TAG,fp_perk_icon_production_slot_building,
,,,,,Cake_Oven,,,,,,,TID_FARM_PASS_PERK_EXTRA_SLOT_TAG,TID_FARM_PASS_DESCRIPTION_PERK_EXTRA_SLOT_TAG,fp_perk_icon_production_slot_building,
,,,,,Hammermill,,,,,,,TID_FARM_PASS_PERK_EXTRA_SLOT_TAG,TID_FARM_PASS_DESCRIPTION_PERK_EXTRA_SLOT_TAG,fp_perk_icon_production_slot_building,
NeighborhoodGiftDiamondsTRIAL,NeighborhoodGift,true,,,FreeDiamonds,2,2880,5,TID_FARM_PASS_PERK_NEIGHBORHOOD_GIFT_DIAMONDS,TID_FARM_PASS_DESCRIPTION_PERK_NEIGHBORHOOD_GIFT_DIAMONDS,fp_perk_icon_gift_box,,,,16
ExtraSiloCapacity10,ExtraSiloCapacity,,,,Silo,1,,10,TID_FARM_PASS_PERK_EXTRA_SILO_CAPACITY,TID_FARM_PASS_PERK_EXTRA_SILO_CAPACITY_DESC,fp_perk_silo,,,,17
ExtraWarehouseCapacity10,ExtraWarehouseCapacity,,,,Shed,1,,10,TID_FARM_PASS_PERK_EXTRA_WAREHOUSE_CAPACITY,TID_FARM_PASS_PERK_EXTRA_WAREHOUSE_CAPACITY_DESC,fp_perk_warehouse,,,,18
ExtraSiloCapacity20,ExtraSiloCapacity,,,,Silo,1,,20,TID_FARM_PASS_PERK_EXTRA_SILO_CAPACITY,TID_FARM_PASS_PERK_EXTRA_SILO_CAPACITY_DESC,fp_perk_silo,,,,19
ExtraWarehouseCapacity20,ExtraWarehouseCapacity,,,,Shed,1,,20,TID_FARM_PASS_PERK_EXTRA_WAREHOUSE_CAPACITY,TID_FARM_PASS_PERK_EXTRA_WAREHOUSE_CAPACITY_DESC,fp_perk_warehouse,,,,20
ExtraSiloCapacity50,ExtraSiloCapacity,,,,Silo,1,,50,TID_FARM_PASS_PERK_EXTRA_SILO_CAPACITY,TID_FARM_PASS_PERK_EXTRA_SILO_CAPACITY_DESC,fp_perk_silo,,,,1
ExtraWarehouseCapacity50,ExtraWarehouseCapacity,,,,Shed,1,,50,TID_FARM_PASS_PERK_EXTRA_WAREHOUSE_CAPACITY,TID_FARM_PASS_PERK_EXTRA_WAREHOUSE_CAPACITY_DESC,fp_perk_warehouse,,,,2
