Name,Tag,MaxTasks
String,String,int
0,plant,2
,harvest,2
,truck,1
,boat,1
,feed,1
,fish,1
,hard,1
,train,1
,Derby,1
,townie,1
,sanctuary,1
,product,1
,nets,1
,produce,2
,pets,1
,tree,1
,bush,1
,town,1
,other,2
1,plant,2
,harvest,2
,truck,1
,boat,1
,feed,1
,fish,1
,hard,1
,train,1
,Derby,1
,townie,1
,sanctuary,1
,product,1
,nets,1
,produce,2
,pets,1
,tree,1
,bush,1
,town,1
,other,2
2,plant,2
,harvest,2
,truck,1
,boat,1
,feed,1
,fish,1
,hard,1
,train,1
,Derby,1
,townie,1
,sanctuary,1
,product,1
,nets,1
,produce,2
,pets,1
,tree,1
,bush,1
,town,1
,other,2
3,plant,2
,harvest,2
,truck,1
,boat,1
,feed,1
,fish,1
,hard,1
,train,1
,Derby,1
,townie,1
,sanctuary,1
,product,1
,nets,1
,produce,2
,pets,1
,tree,1
,bush,1
,town,1
,other,2
4,plant,2
,harvest,2
,truck,1
,boat,1
,feed,1
,fish,1
,hard,1
,train,1
,Derby,1
,townie,1
,sanctuary,1
,product,1
,nets,1
,produce,2
,pets,1
,tree,1
,bush,1
,town,1
,other,2
5,plant,2
,harvest,2
,truck,1
,boat,1
,feed,1
,fish,1
,hard,1
,train,1
,Derby,1
,townie,1
,sanctuary,1
,product,1
,nets,1
,produce,2
,pets,1
,tree,1
,bush,1
,town,1
,other,2
6,plant,2
,harvest,2
,truck,1
,boat,1
,feed,1
,fish,1
,hard,1
,train,1
,Derby,1
,townie,1
,sanctuary,1
,product,1
,nets,1
,produce,2
,pets,1
,tree,1
,bush,1
,town,1
,other,2
