Name,Enabled,UnlockLevel,ReputationUnlockLevel,AchievementUnlockPoints,LevelUpFeatureTID,LevelUpFeatureImageURL
String,Boolean,int,int,int,String,String
GameCenter,TRUE,,,,,
FacebookConnect,FALSE,,,,,
ForestDestruction,TRUE,5,,,,
ProcessingBuildingExpand,TRUE,5,,,,
RoadsideShop,TRUE,7,,,,
AppRater,TRUE,10,,,,
MailBox,TRUE,7,,,TID_FEATURE_RSS_NEWSPAPER,http://game-assets.haydaygame.com/static/unlock_images/unlock_rss_610x252.png
Intro,TRUE,,,,,
OrderScreenOutOfItemDiamondButton,TRUE,,,,,
TreeSwiping,,,,,,
AutoSelectObjectAfterSeeding,TRUE,,,,,
ObjectMoveMode,TRUE,3,,,,
Achievements,TRUE,6,,,,
LowPerformanceMode,,,,,,
RestartPackage,,,,,,
Trees,TRUE,,,,,
FruitTrees,TRUE,,,,,
Boat,TRUE,17,,,TID_FEATURE_BOAT,http://game-assets.haydaygame.com/static/unlock_images/unlock_boatdoc_610x252.png
Mine,TRUE,24,,,TID_FEATURE_MINE,http://game-assets.haydaygame.com/static/unlock_images/unlock_mine_610x252-1.png
FruitTreeReviving,TRUE,,,,,
WarningEvents,TRUE,,,,,
ErrorEvents,TRUE,,,,,
Followers,TRUE,,,,,
GrayscaleNewspaper,TRUE,,,,,
SortInventoryByAmount,TRUE,,,,,
RequestFacebookBirthdayAndEmail,,,,,,
RoadsideShopDiamondStands,TRUE,,,,,
AIBuysOneAtATime,TRUE,,,,,
Boy,TRUE,14,,,TID_FEATURE_TOM,http://game-assets.haydaygame.com/static/unlock_images/unlock_tom_610x252.png
WebViewFaq,,,,,,
BoySortInventoryByAmount,TRUE,,,,,
SiloSortInventoryByAmount,TRUE,,,,,
ShowBoyAtFriendFarms,,,,,,
SpinWheelCar,TRUE,8,,,,
SDKTapjoy,,,,,,
SDKAdcolony,FALSE,,,,,
SDKFiksu,,,,,,
SDKInMobi,,,,,,
FacebookLike,TRUE,,,,,
GameCenterChallenge,TRUE,,,,,
SendClientCapabilitiesMessage,,,,,,
HideAchievementProgressBarWhenFinished,TRUE,,,,,
Vouchers,TRUE,20,,,,
Expansions,TRUE,22,,,TID_FEATURE_EXPANSIONS,http://game-assets.haydaygame.com/static/unlock_images/unlock_expansions_610x252.png
ShowAddFriendsScreenIfNoFriends,,,,,,
SocialBoat,TRUE,,,,,
DecoStorage,TRUE,,,,,
ChangeFarmExtraConfirmation,TRUE,,,,,
FriendMetaQuery,FALSE,,,,,
FriendNeedHelpTab,TRUE,,,,,
FriendNeedHelpBadge,TRUE,,,,,
TimeLimitedOffers,TRUE,8,,,,
BuildingMasteries,TRUE,15,,,,
AdColonyVideoAds,FALSE,,,,,
AdColonyVideoAdsForAndroid,FALSE,,,,,
VungleVideoAds,FALSE,,,,,
VungleVideoAdsForAndroid,,,,,,
LockedItemsInFan,TRUE,,,,,
ToolOffers,TRUE,,,,,
CampaignTimeLimitedOffers,FALSE,8,,,,
BoatLeaderboard,TRUE,17,,,,
BoatScoreBeatenByFriendIndication,TRUE,,,,,
Disclaimer,TRUE,,,,,
BoyOffer,TRUE,,,,,
SpinWheelTiers,,,,,,
Postman,TRUE,15,,,,
Gifting,TRUE,15,,,,
Helpers,TRUE,,,,,
FishingBoat,TRUE,27,,,TID_FEATURE_FISHING,http://game-assets.haydaygame.com/static/unlock_images/unlock_fishing_610x252-1.png
EventBoard,TRUE,9,,,TID_FEATURE_CALENDAR_EVENTS,http://game-assets.haydaygame.com/static/unlock_images/unlock_event_board_610x252.png
