Name,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease
String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean
Rustic Bouquet,recipe_rustic_bouquet,TID_PRODUCT_RUSTICBOUQUET,Flowershop,3,Indigo,45,109,104,25,3,58,41,41,49,TID_FLOWERSHOP_PRODUCT_DESCRIPTION,44,
,,,,5,Wheat,,,,,,,,,,,,
,,,,3,Cotton,,,,,,,,,,,,
Bright Bouquet,recipe_bright_bouquet,TID_PRODUCT_BRIGHTBOUQUET,Flowershop,5,Sunflower,20,175,169,40,2,94,68,68,65,TID_FLOWERSHOP_PRODUCT_DESCRIPTION,70,
,,,,3,Indigo,,,,,,,,,,,,
,,,,1,Cotton,,,,,,,,,,,,
,,,,5,IronOre,,,,,,,,,,,,
Soft Bouquet,recipe_soft_bouquet,TID_PRODUCT_SOFTBOUQUET,Flowershop,4,Peony,30,155,149,36,3,83,58,58,93,TID_FLOWERSHOP_PRODUCT_DESCRIPTION,61,
,,,,1,Cotton,,,,,,,,,,,,
,,,,1,Cotton Fabrics,,,,,,,,,,,,
Candy bouquet,recipe_candy_bouquet,TID_PRODUCT_CANDYBOUQUET,Flowershop,3,Peony,20,287,276,66,2,154,99,124,90,TID_FLOWERSHOP_PRODUCT_DESCRIPTION,101,
,,,,1,Caramel Apple,,,,,,,,,,,,
,,,,1,Toffee,,,,,,,,,,,,
Gracious bouquet,recipe_gracious_bouquet,TID_PRODUCT_GRACIOUSBOUQUET,Flowershop,1,Cotton Fabrics,40,752,125,60,3,139,70,0,73,TID_FLOWERSHOP_PRODUCT_DESCRIPTION,73,
,,,,5,Lily,,,,,,,,,,,,
,,,,1,GoldOre,,,,,,,,,,,,
,,,,1,Diamonds,,,,,,,,,,,,
Veggie Bouquet,recipe_veggie_bouquet,TID_PRODUCT_VEGGIEBOUQUET,Flowershop,3,Broccoli,15,181,174,42,2,98,65,65,106,TID_FLOWERSHOP_PRODUCT_DESCRIPTION,67,
,,,,3,Mushroom,,,,,,,,,,,,
,,,,3,Tomato,,,,,,,,,,,,
,,,,1,Cotton Fabrics,,,,,,,,,,,,
Birthday Bouquet,recipe_birthday_bouquet,TID_PRODUCT_BIRTHDAYBOUQUET,Flowershop,3,Peony,20,181,174,42,2,97,65,65,92,TID_FLOWERSHOP_PRODUCT_DESCRIPTION,67,
,,,,1,Lily,,,,,,,,,,,,
,,,,1,Indigo,,,,,,,,,,,,
,,,,1,Cherry Juice,,,,,,,,,,,,
