Name,Type,FileName,ExportName,GiftIconExportName,GoodRewards,GoodIconSlotExportName,GoodAmounts,Probabilities,DiamondThreshold,Price,PriceData,TileWidth,TileHeight,OpenSound,TitleTID,TextTID,Text2TID,Text3TID,OpenGiftMessageTID,UnlockLevel,RepUnlockLevel,WalkGiftAnim,RewardHUDExportName
String,String,String,String,String,String,String,int,int,int,int,String,int,int,String,String,String,String,String,String,int,int,String,String
SmallPresent,Common,sc/buildings_new.sc,post_package,icon_gift_box_01,FreeDiamonds,Prize2,5,20,,10,GiftCards,1,1,TreasureBox,TID_GIFT_S_TITLE,TID_GIFT_S_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkGift,post_package_claim
,,,,,Log path,Prize1,1,68,,,,,,,,,,,,,,,
,,,,,Axe,,2,23,,,,,,,,,,,,,,,
,,,,,Saw,,2,23,,,,,,,,,,,,,,,
,,,,,Shovel,,2,23,,,,,,,,,,,,,,,
,,,,,Dynamite,,2,23,,,,,,,,,,,,,,,
,,,,,Demolition Charge,,2,23,,,,,,,,,,,,,,,
,,,,,Pickaxe,,2,23,,,,,,,,,,,,,,,
,,,,,Plank,,1,18,,,,,,,,,,,,,,,
,,,,,Nail,,1,18,,,,,,,,,,,,,,,
,,,,,Bolt,,1,18,,,,,,,,,,,,,,,
,,,,,Screw,,1,18,,,,,,,,,,,,,,,
,,,,,Duct Tape,,1,18,,,,,,,,,,,,,,,
,,,,,Wood Panel,,1,18,,,,,,,,,,,,,,,
,,,,,Land Deed,,1,18,,,,,,,,,,,,,,,
,,,,,Mallet,,1,18,,,,,,,,,,,,,,,
,,,,,Marker Stake,,1,18,,,,,,,,,,,,,,,
,,,,,Hammer,,1,5,,,,,,,,,,,,,,,
,,,,,Hand Drill,,1,5,,,,,,,,,,,,,,,
,,,,,Paint Bucket,,1,5,,,,,,,,,,,,,,,
,,,,,Stone Block,,1,5,,,,,,,,,,,,,,,
,,,,,Brick,,1,5,,,,,,,,,,,,,,,
,,,,,Tar Bucket,,1,5,,,,,,,,,,,,,,,
,,,,,Map Piece,,1,5,,,,,,,,,,,,,,,
,,,,,Voucher1,,1,18,15,,,,,,,,,,,,,,
,,,,,Voucher2,,1,18,15,,,,,,,,,,,,,,
,,,,,Voucher3,,1,18,,,,,,,,,,,,,,,
,,,,,Voucher4,,1,18,,,,,,,,,,,,,,,
,,,,,Brown_Sugar,,3,5,15,,,,,,,,,,,,,,
,,,,,White Sugar,,3,5,15,,,,,,,,,,,,,,
,,,,,Syrup,,3,5,15,,,,,,,,,,,,,,
,,,,,Chocolate,,3,5,15,,,,,,,,,,,,,,
,,,,,Lollipop,,3,5,15,,,,,,,,,,,,,,
,,,,,Jelly Beans,,3,5,15,,,,,,,,,,,,,,
,,,,,Vanilla Ice Cream,,3,5,15,,,,,,,,,,,,,,
,,,,,Cherry Popsicle,,3,5,15,,,,,,,,,,,,,,
,,,,,Strawberry Ice Cream,,3,5,15,,,,,,,,,,,,,,
,,,,,Chocolate Ice Cream,,3,5,15,,,,,,,,,,,,,,
,,,,,Apple Jam,,3,5,15,,,,,,,,,,,,,,
,,,,,Raspberry Jam,,3,5,15,,,,,,,,,,,,,,
,,,,,Blackberry Jam,,3,5,15,,,,,,,,,,,,,,
,,,,,Cherry Jam,,3,5,15,,,,,,,,,,,,,,
,,,,,Strawberry Jam,,3,5,15,,,,,,,,,,,,,,
,,,,,FasterBoats_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops1_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops2_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops3_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops4_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTom_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings1_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings2_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings3_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings4_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTrees_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBushes_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FreeTom_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FreeRose_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FreeErnest_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,EasierBoats_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,MoreXP_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBaitMaker_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterNetMaker_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterFishingSpots_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterLobsters_lv1,,1,1,,,,,,,,,,,,,,,
