Name,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease
String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean
Vanilla Ice Cream,recipe_vanilla_ice_cream,TID_VANILLA_ICE_CREAM,Ice_Cream_Maker,1,Cream,120,89,85,20,5,48,28,33,29,TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,33,
,,,,1,Milk,,,,,,,,,,,,
,,,,1,White Sugar,,,,,,,,,,,,
Cherry Popsicle,recipe_cherry_popsicle,TID_CHERRY_POPSICLE,Ice_Cream_Maker,1,Cherry Juice,180,181,174,42,6,98,55,65,33,TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,69,
,,,,1,Syrup,,,,,,,,,,,,
Strawberry Ice Cream,recipe_strawberry_ice_cream,TID_STRAWBERRY_ICE_CREAM,Ice_Cream_Maker,1,Cream,240,171,165,40,7,92,60,65,34,TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,67,
,,,,1,Milk,,,,,,,,,,,,
,,,,1,White Sugar,,,,,,,,,,,,
,,,,3,Strawberry,,,,,,,,,,,,
Chocolate Ice Cream,recipe_chocolate_ice_cream,TID_CHOCOLATE_ICE_CREAM,Ice_Cream_Maker,1,Cream,150,176,170,41,6,95,61,66,39,TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,67,
,,,,1,Milk,,,,,,,,,,,,
,,,,1,White Sugar,,,,,,,,,,,,
,,,,2,Cacao,,,,,,,,,,,,
Orange Sorbet,recipe_orange_sorbet,TID_PRODUCT_ORANGESORBET,Ice_Cream_Maker,2,Orange,210,207,199,48,7,111,51,51,78,TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,58,
,,,,1,Honey,,,,,,,,,,,,
Peach Ice Cream,recipe_peach_ice_cream,TID_PRODUCT_PEACHICECREAM,Ice_Cream_Maker,2,Peach,180,233,224,54,6,125,56,56,83,TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,62,
,,,,1,Cream,,,,,,,,,,,,
,,,,1,Honey,,,,,,,,,,,,
BananaSplit,recipe_banana_split,TID_BANANA_SPLIT,Ice_Cream_Maker,1,Banana,210,208,200,48,7,112,71,71,96,TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,78,
,,,,1,Cream,,,,,,,,,,,,
,,,,3,Cherry,,,,,,,,,,,,
MintIcecream,recipe_mintchoc_icecream,TID_PRODUCT_MINTICECREAM,Ice_Cream_Maker,1,Cacao,135,148,143,34,5,80,50,55,85,TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,55,
,,,,2,Mint,,,,,,,,,,,,
,,,,1,Cream,,,,,,,,,,,,
,,,,1,White Sugar,,,,,,,,,,,,
SesameIceCream,recipe_sesameseed_icecream,TID_SESAME_ICE_CREAM,Ice_Cream_Maker,3,Sesame,120,91,88,21,5,49,30,33,50,TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,35,
,,,,1,Cream,,,,,,,,,,,,
,,,,1,Brown_Sugar,,,,,,,,,,,,
Peanut Butter Milkshake,recipe_peanutbutter_milkshake,TID_PRODUCT_PBMILKSHAKE,Ice_Cream_Maker,1,PeanutBag,100,374,360,86,5,172,73,73,68,TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,78,
,,,,1,Cream,,,,,,,,,,,,
,,,,1,Milk,,,,,,,,,,,,
,,,,3,Cacao,,,,,,,,,,,,
Affogato,recipe_affagato,TID_PRODUCT_AFFOGATO,Ice_Cream_Maker,1,Vanilla Ice Cream,20,225,217,52,2,121,76,86,78,TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,78,
,,,,1,Espreso,,,,,,,,,,,,
Coconut Ice Cream,recipe_coconut_icecream,TID_PRODUCT_COCONUT_ICECREAM,Ice_Cream_Maker,2,Coconut,15,165,159,38,2,89,57,67,102,TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,59,
,,,,1,Syrup,,,,,,,,,,,,
Fruit Sorbet,recipe_fruit_sorbet,TID_PRODUCT_FRUITSORBET,Ice_Cream_Maker,1,Guava,60,268,257,62,4,144,90,105,106,TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,94,
,,,,2,Mango,,,,,,,,,,,,
,,,,1,PassionFruit,,,,,,,,,,,,
,,,,3,White Sugar,,,,,,,,,,,,
