Name,LocalizedName,FontScalingByWidestWord,FileName,Enabled,SystemFont,ForcedFontFullName,WordListName,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,HelpshiftMetadataLanguage,LevelUpHeaderImage,ReputationLevelUpHeaderImage,TermsOfServiceURL,PrivacyPolicyURL,ParentsGuideURL,BonusRoundHeaderImage,SelfHelpURL,ScidLoginPopupImage,SelfHelpDeleteAccountURL,SelfHelpDerbyURL,SelfHelpDerbyChampionsLeaderboardURL,ValueListURL
String,String,boolean,String,boolean,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
EN,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
DE,Deutsch,TRUE,localization/de.csv,true,,,german,de,,DE,https://game-assets.haydaygame.com/static/Level+up/levelup_DE.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_DE.png,https://supercell.com/en/terms-of-service/de/,https://supercell.com/en/privacy-policy/de/,https://supercell.com/en/parents/de/,https://game-assets.haydaygame.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_DE.png,https://ingame.help.supercellsupport.com/hay-day/de/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/de/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/de/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/de/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/de/articles/info-hd.html
ES,Español,TRUE,localization/es.csv,true,,,spanish,es,,ES,https://game-assets.haydaygame.com/static/Level+up/levelup_ES.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_ES.png,https://supercell.com/en/terms-of-service/es/,https://supercell.com/en/privacy-policy/es/,https://supercell.com/en/parents/es/,https://game-assets.haydaygame.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_ES.png,https://ingame.help.supercellsupport.com/hay-day/es/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/es/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/es/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/es/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/es/articles/info-hd.html
FR,Français,TRUE,localization/fr.csv,true,,,french,fr,,FR,https://game-assets.haydaygame.com/static/Level+up/levelup_FR.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_FR.png,https://supercell.com/en/terms-of-service/fr/,https://supercell.com/en/privacy-policy/fr/,https://supercell.com/en/parents/fr/,https://game-assets.haydaygame.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_FR.png,https://ingame.help.supercellsupport.com/hay-day/fr/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/fr/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/fr/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/fr/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/fr/articles/info-hd.html
IT,Italiano,TRUE,localization/it.csv,true,,,italian,it,,IT,https://game-assets.haydaygame.com/static/Level+up/levelup_IT.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_IT.png,https://supercell.com/en/terms-of-service/it/,https://supercell.com/en/privacy-policy/it/,https://supercell.com/en/parents/it/,https://game-assets.haydaygame.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_IT.png,https://ingame.help.supercellsupport.com/hay-day/it/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/it/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/it/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/it/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/it/articles/info-hd.html
NL,Nederlands,TRUE,localization/nl.csv,true,,,dutch,nl,,NL,https://game-assets.haydaygame.com/static/Level+up/levelup_NL.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_NL.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents/nl/,https://game-assets.haydaygame.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_NL.png,https://ingame.help.supercellsupport.com/hay-day/nl/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/nl/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/nl/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/nl/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/nl/articles/info-hd.html
NO,Norsk,TRUE,localization/no.csv,true,,,norwegian,,,NO,https://game-assets.haydaygame.com/static/Level+up/levelup_NO.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_NO.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,https://game-assets.haydaygame.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_NO.png,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
PT,Português,TRUE,localization/pt.csv,true,,,portuguese,pt,,PT,https://game-assets.haydaygame.com/static/Level+up/levelup_PT.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_PT.png,https://supercell.com/en/terms-of-service/pt/,https://supercell.com/en/privacy-policy/pt/,https://supercell.com/en/parents/pt/,https://game-assets.haydaygame.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_PT.png,https://ingame.help.supercellsupport.com/hay-day/pt/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/pt/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/pt/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/pt/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/pt/articles/info-hd.html
TR,Türkçe,TRUE,localization/tr.csv,true,,,turkish,tr,,TR,https://game-assets.haydaygame.com/static/Level+up/levelup_TR.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_TR.png,https://supercell.com/en/terms-of-service/tr/,https://supercell.com/en/privacy-policy/tr/,https://supercell.com/en/parents/tr/,https://game-assets.haydaygame.com/static/inbox_messages/header_images/Lucky+bonus!/luckybonus_TR.png,https://ingame.help.supercellsupport.com/hay-day/tr/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/tr/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/tr/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/tr/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/tr/articles/info-hd.html
