TileMap,,,,,,,,,,,,,,,,,,,,,,,,
,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
SpecialObjects,,,,,,,,,,,,,,,,,,,,,,,,
,Name,X,Y,Mirrored,Xoffset,YoffSet,,,,,,,,,,,,,,,,,,
,String,int,int,boolean,int,int,,,,,,,,,,,,,,,,,,
,FishingBoat,-3,10,,,,,,,,,,,,,,,,,,,,,
,MailBox,18,26,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Objects,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sounds,,,,,,,,,,,,,,,,,,,,,,,,
,SoundName,X,Y,Loop,,,,,,,,,,,,,,,,,,,,
,String,int,int,boolean,,,,,,,,,,,,,,,,,,,,
,River,-2,,TRUE,,,,,,,,,,,,,,,,,,,,
,River,-2,5,TRUE,,,,,,,,,,,,,,,,,,,,
,River,-2,10,TRUE,,,,,,,,,,,,,,,,,,,,
,River,-2,15,TRUE,,,,,,,,,,,,,,,,,,,,
,River,-2,20,TRUE,,,,,,,,,,,,,,,,,,,,
,River,-2,25,TRUE,,,,,,,,,,,,,,,,,,,,
,River,-2,30,TRUE,,,,,,,,,,,,,,,,,,,,
,Ambience,16,16,TRUE,,,,,,,,,,,,,,,,,,,,
