Name,MinLevel,MaxLevel
String,int,int
TID_HINT_GENERAL_HELP,1,17
TID_HINT_ROTATE,3,17
TID_HINT_FACEBOOK_LIKE,4,10000
TID_HINT_TREES,5,10000
TID_HINT_SETTINGS_HELPSHIFT,5,10000
TID_HINT_MINE,6,33
TID_HINT_SETTINGS_ADVANCED,9,10000
TID_HINT_CONNECT_TO_SAVE,9,10000
TID_HINT_FAQ_MULTIPLE_DEVICES,11,10000
TID_HINT_LEVELSTAR_NEXT_LEVEL,12,10000
TID_HINT_STATS,12,10000
TID_HINT_FACEBOOK_LIKE_FARMS,13,10000
TID_HINT_FAN_SWITCH,13,38
TID_HINT_EVENTS_GLOBAL_GOAL,13,10000
TID_HINT_EVENTS_TEASER,13,10000
TID_HINT_MIDLEVEL_THRESHOLDS,15,10000
TID_HINT_BOAT_SEND_AWAY,17,10000
TID_HINT_TEASER_FISHING_TOWN,18,38
TID_HINT_FISHERMAN_TUTORIAL_FISHING,27,10000
TID_HINT_FISHING_EVENT_FISH,27,10000
TID_HINT_FISHING_SCRAP_BOOK,27,10000
TID_HINT_FISHING_LURES_TO_BOOK,27,10000
TID_HINT_NEIGHBORHOOD_ONLY_ONE,29,10000
TID_HINT_NEIGHBORHOOD_INVITE_FRIENDS,29,10000
TID_HINT_BEES_NECTAR_COLLECTING,39,10000
TID_HINT_FISHING_NETS_GET_MEAT,30,10000
TID_HINT_FISHING_NETS_NOT_TO_BOOK,30,10000
TID_HINT_HIRE_HELPER,34,10000
TID_HINT_MINE_TOOLS_PICKAXE,34,10000
TID_HINT_TOWN_COMPLETE_VISITORS,34,10000
TID_HINT_TOWN_MYSTERY_CHEST,34,10000
TID_HINT_TOWN_TOWNHALL_UPGRADE,34,10000
TID_HINT_TOWN_TRAINSTATION_UPGRADE,34,10000
TID_HINT_TOWN_UPGRADE_BUILDINGS,34,10000
TID_HINT_BEES_HONEYEXTRACTOR,39,10000
TID_HINT_LOBSTERS_UPGRADE,44,10000
TID_HINT_LOBSTERS_ANIMATION_TEASER,44,10000
TID_HINT_FISHERMAN_TUTORIAL_FISHING_LOBSTERS,44,10000
TID_HINT_DUCKS_ANIMATION_TEASER,50,10000
TID_HINT_DUCKS_SIMILAR_TO_LOBSTERS,50,10000
TID_HINT_DUCKS_UPGRADE,50,10000
