Name,Rewards,RewardAmounts,MinRound,MaxRound,Probabilities,LimitPerRound,Tags,MinXPLevel,MaxXPLevel
String,String,int,int,int,int,int,String,int,int
Reward_Round1_25-40,Dynamite,1,0,0,7,2,tool,25,40
,Demolition Charge,1,,,7,2,tool,,
,Axe,1,,,7,2,tool,,
,Saw,1,,,7,2,tool,,
,Shovel,1,,,7,2,tool,,
,Pickaxe,1,,,7,2,tool,,
,Voucher1,3,,,18,2,voucher,,
,Voucher2,2,,,18,2,voucher,,
,Plank,1,,,4,2,barn;expansion,,
,Nail,1,,,4,2,silo;expansion,,
,Bolt,1,,,4,2,barn;expansion,,
,Screw,1,,,4,2,silo;expansion,,
,Duct Tape,1,,,4,2,barn;expansion,,
,Wood Panel,1,,,4,2,silo;expansion,,
,Lobster Meat,1,,,7,1,fishing;product,,
,Duck Down,1,,,7,1,fishing;product,,
,GoldBar,1,,,7,2,jewel;product,,
,PlatinumBar,1,,,7,2,jewel;product,,
,Honey,2,,,7,1,bee;product,,
,Beeswax,2,,,7,1,bee;product,,
,Chocolate,1,,,7,1,candy;product,,
,Lollipop,1,,,7,1,candy;product,,
Reward_Round1_41-55,Dynamite,2,0,0,7,2,tool,41,55
,Demolition Charge,2,,,7,2,tool,,
,Axe,2,,,7,2,tool,,
,Saw,2,,,7,2,tool,,
,Shovel,2,,,7,2,tool,,
,Pickaxe,2,,,7,2,tool,,
,Voucher1,5,,,18,2,voucher,,
,Voucher2,3,,,18,2,voucher,,
,Plank,1,,,4,2,barn;expansion,,
,Nail,1,,,4,2,silo;expansion,,
,Bolt,1,,,4,2,barn;expansion,,
,Screw,1,,,4,2,silo;expansion,,
,Duct Tape,1,,,4,2,barn;expansion,,
,Wood Panel,1,,,4,2,silo;expansion,,
,Lobster Meat,1,,,7,1,fishing;product,,
,Duck Down,1,,,7,1,fishing;product,,
,GoldBar,2,,,7,2,jewel;product,,
,PlatinumBar,2,,,7,2,jewel;product,,
,Honey,3,,,7,1,bee;product,,
,Beeswax,3,,,7,1,bee;product,,
,Chocolate,2,,,7,1,candy;product,,
,Lollipop,2,,,7,1,candy;product,,
Reward_Round1_56-80,Dynamite,2,0,0,7,2,tool,56,80
,Demolition Charge,2,,,7,2,tool,,
,Axe,2,,,7,2,tool,,
,Saw,2,,,7,2,tool,,
,Shovel,2,,,7,2,tool,,
,Pickaxe,2,,,7,2,tool,,
,Voucher1,7,,,18,2,voucher,,
,Voucher2,5,,,18,2,voucher,,
,Plank,1,,,4,2,barn;expansion,,
,Nail,1,,,4,2,silo;expansion,,
,Bolt,1,,,4,2,barn;expansion,,
,Screw,1,,,4,2,silo;expansion,,
,Duct Tape,1,,,4,2,barn;expansion,,
,Wood Panel,1,,,4,2,silo;expansion,,
,Lobster Meat,2,,,7,1,fishing;product,,
,Duck Down,2,,,7,1,fishing;product,,
,GoldBar,3,,,7,2,jewel;product,,
,PlatinumBar,3,,,7,2,jewel;product,,
,Honey,4,,,7,1,bee;product,,
,Beeswax,4,,,7,1,bee;product,,
,Chocolate,3,,,7,1,candy;product,,
,Lollipop,3,,,7,1,candy;product,,
Reward_Round1_81+,Dynamite,3,0,0,7,2,tool,81,9999
,Demolition Charge,3,,,7,2,tool,,
,Axe,3,,,7,2,tool,,
,Saw,3,,,7,2,tool,,
,Shovel,3,,,7,2,tool,,
,Pickaxe,3,,,7,2,tool,,
,Voucher1,9,,,18,2,voucher,,
,Voucher2,9,,,18,2,voucher,,
,Plank,2,,,4,2,barn;expansion,,
,Nail,2,,,4,2,silo;expansion,,
,Bolt,2,,,4,2,barn;expansion,,
,Screw,2,,,4,2,silo;expansion,,
,Duct Tape,2,,,4,2,barn;expansion,,
,Wood Panel,2,,,4,2,silo;expansion,,
,Lobster Meat,3,,,7,1,fishing;product,,
,Duck Down,3,,,7,1,fishing;product,,
,GoldBar,5,,,7,2,jewel;product,,
,PlatinumBar,5,,,7,2,jewel;product,,
,Honey,5,,,7,1,bee;product,,
,Beeswax,5,,,7,1,bee;product,,
,Chocolate,5,,,7,1,candy;product,,
,Lollipop,5,,,7,1,candy;product,,
Reward_Round2_25-40,Dynamite,1,1,1,6,2,tool,25,40
,Demolition Charge,1,,,6,2,tool,,
,Axe,1,,,6,2,tool,,
,Saw,1,,,6,2,tool,,
,Shovel,1,,,6,2,tool,,
,Pickaxe,1,,,8,2,tool,,
,Expansion Key,1,,,8,1,permit;limited2,,
,Puzzle Piece 1,1,,,8,1,puzzle;limited2,,
