Name,IntValue,StringValue,BooleanValue
String,int,String,boolean
MinFuelPrize,6,,
MaxFuelPrize,9,,
MaxFuel,99,,
FuelWheelFreeSpinCooldown,86400,,
NumSunPointsTasks,3,,
MinZoom,300,,
MaxZoom,650,,
MinZoom_MOBILE,200,,
MaxZoom_MOBILE,650,,
FogVisibleDistance,10,,
FogMaxDistance,18,,
PawnSpeed,500,,
NumDailyQuests,4,,
TasksAndQuestsResetHourUTC,8,,
ObstacleMinPassedEmptyNodes,22,,
ObstacleMaxPassedEmptyNodes,42,,
MaxDailySocialTasks,18,,
MaxDailyEmptyNodeChickens,25,,
CollectChickenGoal,100,,
GlobalChickenSpawnRateMultipliers,200,,
,300,,
,300,,
,400,,
,400,,
,500,,
,500,,
,600,,
DailyQuestChickenProbabilities,0,,
,0,,
,40,,
,75,,
,100,,
DailyQuestChickenAmount,1,,
ShopRewardsNumPerGroupTier1,6,,
ShopRewardsNumUnlocks,6,,
ShopRewardsCadenceUnlocksDays,3,,
PoofEffectScale,100,,
RoadStopChickenScale,120,,
RoadStopChickenXOffset,0,,
RoadStopChickenYOffset,10,,
DailyQuestChickenScale,170,,
DailyQuestChickenXOffset,0,,
DailyQuestChickenYOffset,0,,
MaxWalletCoins,6000,,
FuelGeneratorInfoTitle,,TID_VALLEY_INFO_TITLE_1,
,,TID_VALLEY_INFO_TITLE_2,
,,TID_VALLEY_INFO_TITLE_3,
,,TID_VALLEY_INFO_TITLE_4,
,,TID_VALLEY_INFO_TITLE_5,
,,TID_VALLEY_INFO_TITLE_6,
,,TID_VALLEY_INFO_TITLE_7,
FuelGeneratorInfoText,,TID_VALLEY_INFO_1,
,,TID_VALLEY_INFO_2,
,,TID_VALLEY_INFO_3,
,,TID_VALLEY_INFO_4,
,,TID_VALLEY_INFO_5,
,,TID_VALLEY_INFO_6,
,,TID_VALLEY_INFO_7,
ShopRewardsInfoTitle,,TID_VALLEY_INFO_TITLE_1,
,,TID_VALLEY_INFO_TITLE_2,
,,TID_VALLEY_INFO_TITLE_3,
,,TID_VALLEY_INFO_TITLE_4,
,,TID_VALLEY_INFO_TITLE_5,
,,TID_VALLEY_INFO_TITLE_6,
,,TID_VALLEY_INFO_TITLE_7,
ShopRewardsInfoText,,TID_VALLEY_INFO_1,
,,TID_VALLEY_INFO_2,
,,TID_VALLEY_INFO_3,
,,TID_VALLEY_INFO_4,
,,TID_VALLEY_INFO_5,
,,TID_VALLEY_INFO_6,
,,TID_VALLEY_INFO_7,
DailyQuestsInfoTitle,,TID_VALLEY_INFO_TITLE_1,
,,TID_VALLEY_INFO_TITLE_2,
,,TID_VALLEY_INFO_TITLE_3,
,,TID_VALLEY_INFO_TITLE_4,
,,TID_VALLEY_INFO_TITLE_5,
,,TID_VALLEY_INFO_TITLE_6,
,,TID_VALLEY_INFO_TITLE_7,
DailyQuestsInfoText,,TID_VALLEY_INFO_1,
,,TID_VALLEY_INFO_2,
,,TID_VALLEY_INFO_3,
,,TID_VALLEY_INFO_4,
,,TID_VALLEY_INFO_5,
,,TID_VALLEY_INFO_6,
,,TID_VALLEY_INFO_7,
UpdateVisibilityTiles,40,,
HiddenTilePathLength,6,,
,,,
CustomMapMusicLowMemoryDevice,,,TRUE
MaxDistanceNodesVisitBuildingQuests,6,,
,,,
SpinFloaterCooldownSeconds,10,,
NumberOfPurchasableFuelSpins,1,,
PurchasableFuelSpinsPriceMultiplier,5,,
TruckAutoRepairDelayMillis,2000,,
TruckAutoMoveDelayMillis,2000,,
RoadStopChickenAutoCollectDelayMillis,2000,,
RoadStopChickenAutoMoveDelayMillis,2000,,
ShopRewardsSeasonOverInfoTitle,,TID_MAP_GAME_PAUSED_NO_EVENT,
,,TID_MAP_GAME_PAUSED_NO_EVENT,
,,,
ShopRewardsSeasonOverInfoText,,TID_VALLEY_END_INFO1,
,,TID_VALLEY_END_INFO2,
TruckCollectionMaxCapacity,3,,
SanctuaryAnimalPercentageDeliveryBonusTwoAnimals,10,,
SanctuaryAnimalPercentageDeliveryBonusThreeAnimals,25,,
SanctuaryAnimalDailyBaseSpawnRate,60,,
SanctuaryAnimalDailySpawnRates,,1;1;120,
,,1;20;90,
,,1;30;40,
,,2;1;120,
,,2;40;90,
,,2;60;40,
,,3;1;120,
,,3;70;90,
,,3;105;40,
,,4;1;120,
,,4;100;90,
