Name,FileName,ExportName,Scale,TileWidth,TileHeight
String,String,String,int,int,int
tree,sc/nature_new.sc,leafy_big_01,70,1,1
,,leafy_big_02,100,,
,,leafy_small_01,100,,
,,fir_medium_02,100,,
,,fir_small_01,100,,
,,fir_medium_01,100,,
treereg,sc/nature_new.sc,leafy_big_01,70,1,1
,,leafy_big_02,100,,
,,leafy_small_01,100,,
treepine,sc/nature_new.sc,fir_medium_02,100,1,1
,,fir_small_01,100,,
,,fir_big_01,100,,
,,fir_medium_01,100,,
mapedge,sc/map.sc,mapedge_back,100,1,1
,,,,,
bg_flowers,sc/map.sc,bgdetail_plant01_pinkflower,100,1,1
,,bgdetail_plant02_whiteflower1,100,,
,,bgdetail_plant02_whiteflower2,100,,
,,bgdetail_plant02_whiteflower3,100,,
,,bgdetail_plant06_blueflower,100,,
bg_shrubs,sc/map.sc,bgdetail_plant03_clovers1,100,1,1
,,bgdetail_plant03_clovers2,100,,
,,bgdetail_plant03_clovers3,100,,
,,bgdetail_plant04_pebbles1,100,,
,,bgdetail_plant05_weeds01,100,,
,,bgdetail_plant05_weeds02,100,,
bg_grass,sc/map.sc,bgdetail_grass01_2x2,100,2,2
,,bgdetail_grass02_2x2,100,,
,,bgdetail_grass03_2x2,100,,
,,bgdetail_grass04_2x2,100,,
bg_dirt,sc/map.sc,bgdetail_dirt01_2x2,100,2,2
,,bgdetail_dirt03_2x2,100,,
deco,sc/decos01_generic.sc,haycart,100,1,1
,sc/decos01_generic.sc,classic_topiary,100,,
,sc/decos01_generic.sc,fern,100,,
,sc/decos04_pathsandfences.sc,fence_roses_red_pole,100,,
,,,,,
deco_topiarybush_pink,sc/decos01_generic.sc,topiary_bush_pink,100,1,1
deco_haybale,sc/decos01_generic.sc,haybale_1,100,1,1
deco_flowerpatch,sc/decos04_pathsandfences.sc,wildflower_patch_rainbow,120,1,1
,sc/decos04_pathsandfences.sc,wildflower_patch_blue,120,,
deco_roundhaybales,sc/decos01_generic.sc,haybale_round,100,2,2
deco_bulrushbench,sc/map.sc,map_deco_flowerbed_bulrush,100,1,1
flowers,sc/map.sc,map_deco_plant08_yellowflower,100,1,1
flowers2x2,sc/map.sc,map_deco_plant10,100,2,2
shrub,sc/map.sc,map_deco_plant03,100,1,1
,,,,,
roaddecos,sc/map.sc,mapdeco_sign01,100,1,1
,,,,,
rock,sc/map.sc,map_deco_rock1,100,1,1
,,map_deco_rock2,100,,
,,map_deco_rock3,100,,
,,map_deco_rock4,100,,
,,map_deco_rocks02,100,,
rock 1,sc/map.sc,map_deco_rock1,100,1,1
rock 2,sc/map.sc,map_deco_rock2,100,1,1
rock 3,sc/map.sc,map_deco_rock3,100,1,1
rock 4,sc/map.sc,map_deco_rock4,100,1,1
rock 5,sc/map.sc,map_deco_rocks02,100,1,1
rock2x2,sc/map.sc,map_deco_cliff3,100,2,2
,sc/map.sc,map_deco_cliff5,100,,
,sc/map.sc,map_deco_rockgroup1,100,,
,sc/map.sc,map_deco_rockgroup2,100,,
,sc/map.sc,map_deco_rockgroup3,100,,
