Name,Enabled,TID,DelayMinutes,Sound,NotificationIconExportName,ShowOutSideMapGame
String,Boolean,String,int,String,String,Boolean
CompleteQuestMove1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask17,
CompleteQuestSpin1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask02,
CompleteQuestDeliveries1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask01,
CompleteQuestSocial1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask04,
CompleteQuestHelp1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask16,
CompleteQuestDumpTask1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask05,
CompleteQuestBlueCoin,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask07,
CompleteQuestRedCoin,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask06,
CompleteQuestGreenCoin,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask08,
CompleteQuestChicken,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask03,
CompleteQuestVisitRedHouses1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask01,
CompleteQuestVisitBlueHouses1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask03,
CompleteQuestVisitWhiteHouses1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask03,
CollectChicken,true,TID_MAPGAME_NOTIFICATION_COLLECT_CHICKEN,,TapChicken,icon_mapchicken,
CollectChickenSocial,true,TID_MAPGAME_NOTIFICATION_COLLECT_CHICKEN_SOCIAL,,TapChicken,icon_mapchicken,
ReceiveTruckHelp,true,TID_MAPGAME_NOTIFICATION_RECEIVE_TRUCK_HELP,,CarHorn,icon_dailytask16,
ExpiredDeliveryQuest,true,TID_MAPGAME_NOTIFICATION_EXPIRED_DELIVERY,,CarHorn,icon_dailytask01,
CompleteQuestVisitBlackRoof1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask15,
CompleteQuestVisitWindmill1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask14,
CompleteQuestVisitFishShop1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask10,
CompleteQuestVisitVeggieShop1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask09,
CompleteQuestVisitCinema1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask12,
CompleteQuestVisitDiner1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask13,
CompleteQuestAnyTask1,true,TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,,CarHorn,icon_dailytask18,
WalletIsFull1,true,TID_MAPGAME_NOTIFICATION_WALLET_IS_FULL,,CarHorn,icon_walletfull,
FuelSpinAvailable,true,TID_MAPGAME_NOTIFICATION_SPIN_AVAILABLE,,CarHorn,icon_dailytask02,TRUE
DeliverSanctuaryAnimalSocial,true,TID_MAPGAME_NOTIFICATION_DELIVER_SANCTUARY_ANIMAL_SOCIAL,,DeliverSanctuaryAnimal,icon_sledge_sanctuarypaw,
DeliverSanctuaryAnimal,true,TID_MAPGAME_NOTIFICATION_DELIVER_SANCTUARY_ANIMAL,,DeliverSanctuaryAnimal,icon_sledge_sanctuarypaw,
CompleteQuestSanctuaryAnimal,true,TID_MAPGAME_NOTIFICATION_DELIVER_SANCTUARY_ANIMAL_SOCIAL,,CarHorn,icon_dailytask19,
TokensAddedToPiggyBank,true,TID_MAPGAME_NOTIFICATION_TOKENS_ADDED_TO_PIGGY_BANK,,EarningMoney,icon_sledge_piggybank,
