Name,FileName,ExportName,RequiredLevel,CheckForRealMoneySpent,SkipVideo,SkipVideoSpenders,FirstRewardIsDiamondProbability,FirstRewardIsDiamondProbabilitySpenders,DaysWithoutSpendingLimit,FinishedDiamondReward,CycleDurationMinutes,MoviesPerCycle,MoviesPerCycleSpenders,OnlyInHighMemoryDevices,EnableInAndroid,Rewards,RewardAmounts,Probabilities,RewardsSpenders,RewardAmountsSpenders,ProbabilitiesSpenders,Deprecated,TimeCut,TimeCutDiamondAmout,TimeCutTreshold,TimeCutPercent,OnlyInHome,Notification
String,String,String,int,boolean,boolean,boolean,int,int,int,int,int,int,int,boolean,boolean,String,int,int,String,int,int,boolean,int,int,int,int,boolean,String
MovieTickets,sc/buildings_new.sc,movie_ticket,11,,,TRUE,0,0,90,1,0,1,1,,TRUE,FreeDiamonds,1,10,FreeDiamonds,1,10,,,,,,,
,,,,,,,,,,,1080,4,4,,,Axe,2,9,Axe,2,9,,,,,,,
,,,,,,,,,,,,,,,,Saw,2,9,Saw,2,9,,,,,,,
,,,,,,,,,,,,,,,,Shovel,2,9,Shovel,2,9,,,,,,,
,,,,,,,,,,,,,,,,Dynamite,2,9,Dynamite,2,9,,,,,,,
,,,,,,,,,,,,,,,,Demolition Charge,2,9,Demolition Charge,2,9,,,,,,,
,,,,,,,,,,,,,,,,Pickaxe,2,9,Pickaxe,2,9,,,,,,,
,,,,,,,,,,,,,,,,Plank,1,5,Plank,1,5,,,,,,,
,,,,,,,,,,,,,,,,Nail,1,5,Nail,1,5,,,,,,,
,,,,,,,,,,,,,,,,Bolt,1,5,Bolt,1,5,,,,,,,
,,,,,,,,,,,,,,,,Screw,1,5,Screw,1,5,,,,,,,
,,,,,,,,,,,,,,,,Duct Tape,1,5,Duct Tape,1,5,,,,,,,
,,,,,,,,,,,,,,,,Wood Panel,1,5,Wood Panel,1,5,,,,,,,
,,,,,,,,,,,,,,,,Land Deed,1,5,Land Deed,1,5,,,,,,,
,,,,,,,,,,,,,,,,Mallet,1,5,Mallet,1,5,,,,,,,
,,,,,,,,,,,,,,,,Marker Stake,1,5,Marker Stake,1,5,,,,,,,
,,,,,,,,,,,,,,,,Hammer,1,3,Hammer,1,3,,,,,,,
,,,,,,,,,,,,,,,,Hand Drill,1,3,Hand Drill,1,3,,,,,,,
,,,,,,,,,,,,,,,,Paint Bucket,1,3,Paint Bucket,1,3,,,,,,,
,,,,,,,,,,,,,,,,Stone Block,1,3,Stone Block,1,3,,,,,,,
,,,,,,,,,,,,,,,,Brick,1,3,Brick,1,3,,,,,,,
,,,,,,,,,,,,,,,,Tar Bucket,1,3,Tar Bucket,1,3,,,,,,,
,,,,,,,,,,,,,,,,Map Piece,1,2,Map Piece,1,2,,,,,,,
,,,,,,,,,,,,,,,,Voucher1,1,12,Voucher1,1,12,,,,,,,
,,,,,,,,,,,,,,,,Voucher2,1,6,Voucher2,1,6,,,,,,,
,,,,,,,,,,,,,,,,Voucher3,1,3,Voucher3,1,3,,,,,,,
,,,,,,,,,,,,,,,,Voucher4,1,1,Voucher4,1,1,,,,,,,
,,,,,,,,,,,,,,,,Empty Well,1,1,Empty Well,1,1,,,,,,,
,,,,,,,,,,,,,,,,Crocus patch,2,5,Crocus patch,2,5,,,,,,,
,,,,,,,,,,,,,,,,Potting Table,1,3,Potting Table,1,3,,,,,,,
,,,,,,,,,,,,,,,,Potting Ladder,1,4,Potting Ladder,1,4,,,,,,,
,,,,,,,,,,,,,,,,Seeding,1,5,Seeding,1,5,,,,,,,
,,,,,,,,,,,,,,,,RopeFence,2,5,RopeFence,2,5,,,,,,,
,,,,,,,,,,,,,,,,Vibrant_tree,1,3,Vibrant_tree,1,3,,,,,,,
,,,,,,,,,,,,,,,,Balloon_Bench,1,2,Balloon_Bench,1,2,,,,,,,
,,,,,,,,,,,,,,,,ClassicTopiary,1,5,ClassicTopiary,1,5,,,,,,,
,,,,,,,,,,,,,,,,TownRoad03,2,5,TownRoad03,2,5,,,,,,,
,,,,,,,,,,,,,,,,SeasonalCurrency4,1,1,SeasonalCurrency4,1,1,,,,,,,
,,,,,,,,,,,,,,,,SeasonalCurrency4,2,1,SeasonalCurrency4,2,1,,,,,,,
,,,,,,,,,,,,,,,,SeasonalCurrency4,3,4,SeasonalCurrency4,3,4,,,,,,,
,,,,,,,,,,,,,,,,SeasonalCurrency4,4,11,SeasonalCurrency4,4,11,,,,,,,
,,,,,,,,,,,,,,,,SeasonalCurrency4,5,5,SeasonalCurrency4,5,5,,,,,,,
ProductionTimeCut,sc/buildings_new.sc,movie_ticket,11,,,FALSE,0,0,90,1,0,1,1,,TRUE,,,,,,,,,,,50,TRUE,
,,,,,,,,,,,30,2,2,,,,,,,,,,,,,,,
,,,,,,,,,,,1080,6,6,,,,,,,,,,,,,,,
DailyShopFree,sc/buildings_new.sc,movie_ticket,,,TRUE,FALSE,,,90,,1080,1,1,,TRUE,FreeDiamonds,1,12,FreeDiamonds,1,12,,,,,,,ShopDailyReward
,,,,,,,,,,,,,,,,Axe,1,9,Axe,1,9,,,,,,,
,,,,,,,,,,,,,,,,Saw,1,9,Saw,1,9,,,,,,,
,,,,,,,,,,,,,,,,Shovel,1,9,Shovel,1,9,,,,,,,
,,,,,,,,,,,,,,,,Dynamite,1,9,Dynamite,1,9,,,,,,,
,,,,,,,,,,,,,,,,Demolition Charge,1,9,Demolition Charge,1,9,,,,,,,
,,,,,,,,,,,,,,,,Pickaxe,1,5,Pickaxe,1,5,,,,,,,
,,,,,,,,,,,,,,,,Plank,1,5,Plank,1,5,,,,,,,
,,,,,,,,,,,,,,,,Nail,1,5,Nail,1,5,,,,,,,
,,,,,,,,,,,,,,,,Bolt,1,5,Bolt,1,5,,,,,,,
,,,,,,,,,,,,,,,,Screw,1,5,Screw,1,5,,,,,,,
,,,,,,,,,,,,,,,,Duct Tape,1,5,Duct Tape,1,5,,,,,,,
,,,,,,,,,,,,,,,,Wood Panel,1,5,Wood Panel,1,5,,,,,,,
,,,,,,,,,,,,,,,,Land Deed,1,5,Land Deed,1,5,,,,,,,
,,,,,,,,,,,,,,,,Mallet,1,5,Mallet,1,5,,,,,,,
,,,,,,,,,,,,,,,,Marker Stake,1,3,Marker Stake,1,3,,,,,,,
,,,,,,,,,,,,,,,,Hammer,1,3,Hammer,1,3,,,,,,,
,,,,,,,,,,,,,,,,Hand Drill,1,3,Hand Drill,1,3,,,,,,,
,,,,,,,,,,,,,,,,Paint Bucket,1,3,Paint Bucket,1,3,,,,,,,
,,,,,,,,,,,,,,,,Stone Block,1,3,Stone Block,1,3,,,,,,,
,,,,,,,,,,,,,,,,Brick,1,3,Brick,1,3,,,,,,,
,,,,,,,,,,,,,,,,Tar Bucket,1,2,Tar Bucket,1,2,,,,,,,
,,,,,,,,,,,,,,,,Map Piece,1,10,Map Piece,1,10,,,,,,,
,,,,,,,,,,,,,,,,Voucher1,1,6,Voucher1,1,6,,,,,,,
,,,,,,,,,,,,,,,,Voucher2,1,3,Voucher2,1,3,,,,,,,
,,,,,,,,,,,,,,,,Voucher3,1,1,Voucher3,1,1,,,,,,,
,,,,,,,,,,,,,,,,Voucher4,1,1,Voucher4,1,1,,,,,,,
,,,,,,,,,,,,,,,,FreeCash,100,7,FreeCash,100,7,,,,,,,
,,,,,,,,,,,,,,,,FreeCash,150,6,FreeCash,150,6,,,,,,,
,,,,,,,,,,,,,,,,FreeCash,300,5,FreeCash,300,5,,,,,,,
,,,,,,,,,,,,,,,,FreeCash,400,4,FreeCash,400,4,,,,,,,
,,,,,,,,,,,,,,,,FreeCash,500,3,FreeCash,500,3,,,,,,,
,,,,,,,,,,,,,,,,FreeCash,750,2,FreeCash,750,2,,,,,,,
DailyShopAd,sc/buildings_new.sc,movie_ticket,,,TRUE,TRUE,,,90,,1080,1,1,,TRUE,Voucher3,1,1,Voucher3,1,1,,,,,,,
,,,,,,,,,,,,,,,,Voucher4,1,1,Voucher4,1,1,,,,,,,
,,,,,,,,,,,,,,,,Tar Bucket,1,2,Tar Bucket,1,2,,,,,,,
,,,,,,,,,,,,,,,,FreeCash,750,2,FreeCash,750,2,,,,,,,
,,,,,,,,,,,,,,,,Marker Stake,1,3,Marker Stake,1,3,,,,,,,
