Name,FileName,ExportName,UnlockLevel,ReputationUnlockLevel,GoodReward,GoodAmount,FreeAmount,Probability,ForbidFreeBox,DiamondPrice,RandomNumberMax,TileWidth,TileHeight,OpenSound,LockedSound,Mode,Type,Icon,RewardHUDExportName,MapGameQuestReward,QuestNotification
String,String,String,int,int,String,int,int,int,Boolean,int,int,int,int,String,String,String,int,String,String,Boolean,String
Box1,sc/common.sc,mystery_box_bronze,1,,Bolt,1,,360,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box2,sc/common.sc,mystery_box_bronze,1,,Plank,1,,360,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box3,sc/common.sc,mystery_box_bronze,1,,Duct Tape,1,,360,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box4,sc/common.sc,mystery_box_bronze,1,,Nail,1,,360,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box5,sc/common.sc,mystery_box_bronze,1,,Screw,1,,360,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box6,sc/common.sc,mystery_box_bronze,1,,Wood Panel,1,,360,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box7,sc/common.sc,mystery_box_bronze,1,,FreeDiamonds,5,5,240,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,FALSE,
Box8,sc/common.sc,mystery_box_bronze,1,,CashInGems,8,,1800,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box9,sc/common.sc,mystery_box_bronze,20,,Voucher1,3,,1350,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
