Name,TaskType,SubTaskType,TID,DescriptionTID,IconTooltipTID,ExportName,SubTaskIcon,MinRequiredQuantity,MaxRequiredQuantity,Deprecated,MinXPLevelForSpawn,SpawnProbabilityWeightLeague1,SpawnProbabilityWeightLeague2,SpawnProbabilityWeightLeague3,SpawnProbabilityWeightLeague4,SpawnProbabilityWeightLeague5,MinEventTimeMinLeftForSpawn,TaskParam1,TaskParam2,TaskParam3,MinRewardNeighborhoodPoints,MaxRewardNeighborhoodPoints,MinTaskDurationMin,MaxTaskDurationMin,CooldownIntervalSeconds,AdminCooldownIntervalSeconds,InstantCompleteCooldown,MinRepLevelForSpawn,TaskTags
String,String,String,String,String,String,String,String,int,int,boolean,int,int,int,int,int,int,int,String,String,String,int,int,int,int,int,int,int,int,String
HarvestCropEasyWheat,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_WHEAT_DESCRIPTION,,,,77,161,,18,8,32,13,8,0,0,Wheat,,,50,90,158,166,1800,1800,5,,Easy;Crop;Regular;Wheat
HarvestCropEasyCorn,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CORN_DESCRIPTION,,,,61,121,,18,8,32,13,8,0,0,Corn,,,50,90,170,180,1800,1800,5,,Easy;Crop;Regular;Corn
HarvestCropEasySoybean,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SOYBEAN_DESCRIPTION,,,,47,87,,18,8,32,13,8,0,0,Soybean,,,50,90,190,230,1800,1800,5,,Easy;Crop;Regular;Soybean
HarvestCropEasySugarcane,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SUGARCANE_DESCRIPTION,,,,44,80,,18,8,32,13,8,0,0,Sugarcane,,,50,90,210,270,1800,1800,5,,Easy;Crop;Regular;Sugarcane
HarvestCropEasyCarrot,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CARROT_DESCRIPTION,,,,53,101,,18,8,32,13,8,0,0,Carrot,,,50,90,190,210,1800,1800,5,,Easy;Crop;Regular;Carrot
HarvestCropEasyIndigo,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_INDIGO_DESCRIPTION,,,,39,66,,18,8,32,13,8,0,0,Indigo,,,50,90,390,630,1800,1800,5,,Easy;Crop;Regular;Indigo
HarvestCropEasyPumpkin,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_PUMPKIN_DESCRIPTION,,,,38,64,,18,8,32,13,8,0,0,Pumpkin,,,50,90,510,870,1800,1800,5,,Easy;Crop;Regular;Pumpkin
HarvestCropEasyCotton,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_COTTON_DESCRIPTION,,,,38,65,,18,8,32,13,8,0,0,Cotton,,,50,90,450,750,1800,1800,5,,Easy;Crop;Regular;Cotton
HarvestCropEasyChili,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CHILI_DESCRIPTION,,,,37,62,,25,8,32,13,8,0,0,Chili,,,50,90,630,1110,1800,1800,5,,Easy;Crop;Regular;Chili
HarvestCropEasyTomato,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_TOMATO_DESCRIPTION,,,,36,60,,30,8,32,13,8,0,0,Tomato,,,50,90,870,1590,1800,1800,5,,Easy;Crop;Regular;Tomato
HarvestCropEasyStrawberry,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_STRAWBERRY_DESCRIPTION,,,,36,59,,34,8,32,13,8,0,0,Strawberry,,,50,90,1110,2070,1800,1800,5,,Easy;Crop;Regular;Strawberry
HarvestCropEasyPotato,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_POTATO_DESCRIPTION,,,,37,63,,35,8,32,13,8,0,0,Potato,,,50,90,590,1030,1800,1800,5,,Easy;Crop;Regular;Potato
HarvestCropEasyRice,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_RICE_DESCRIPTION,,,,42,75,,56,8,32,13,8,0,0,Rice,,,50,90,240,330,1800,1800,5,,Easy;Crop;Regular;Rice
HarvestCropEasyLettuce,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_LETTUCE_DESCRIPTION,,,,37,63,,58,8,32,13,8,0,0,Lettuce,,,50,90,570,990,1800,1800,5,,Easy;Crop;Regular;Lettuce
HarvestCropMediumWheat,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_WHEAT_DESCRIPTION,,,,243,315,,18,7,26,22,20,0,0,Wheat,,,120,190,196,204,1800,1800,5,,Medium;Crop;Regular;Wheat
HarvestCropMediumCorn,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CORN_DESCRIPTION,,,,190,250,,18,7,26,22,20,0,0,Corn,,,120,190,220,220,1800,1800,5,,Medium;Crop;Regular;Corn
HarvestCropMediumSoybean,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SOYBEAN_DESCRIPTION,,,,145,194,,18,7,26,22,20,0,0,Soybean,,,120,190,300,340,1800,1800,5,,Medium;Crop;Regular;Soybean
HarvestCropMediumSugarcane,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SUGARCANE_DESCRIPTION,,,,137,184,,18,7,26,22,20,0,0,Sugarcane,,,120,190,360,360,1800,1800,5,,Medium;Crop;Regular;Sugarcane
HarvestCropMediumCarrot,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CARROT_DESCRIPTION,,,,164,215,,18,7,26,22,20,0,0,Carrot,,,120,190,240,260,1800,1800,5,,Medium;Crop;Regular;Carrot
HarvestCropMediumIndigo,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_INDIGO_DESCRIPTION,,,,119,161,,18,7,26,22,20,0,0,Indigo,,,120,190,660,900,1800,1800,5,,Medium;Crop;Regular;Indigo
HarvestCropMediumPumpkin,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_PUMPKIN_DESCRIPTION,,,,115,157,,18,7,26,22,20,0,0,Pumpkin,,,120,190,900,1260,1800,1800,5,,Medium;Crop;Regular;Pumpkin
HarvestCropMediumCotton,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_COTTON_DESCRIPTION,,,,117,159,,18,7,26,22,20,0,0,Cotton,,,120,190,780,1080,1800,1800,5,,Medium;Crop;Regular;Cotton
HarvestCropMediumChili,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CHILI_DESCRIPTION,,,,113,154,,25,7,26,22,20,0,0,Chili,,,120,190,1140,1620,1800,1800,5,,Medium;Crop;Regular;Chili
HarvestCropMediumTomato,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_TOMATO_DESCRIPTION,,,,111,151,,30,7,26,22,20,0,0,Tomato,,,120,190,1620,2340,1800,1800,5,,Medium;Crop;Regular;Tomato
HarvestCropMediumStrawberry,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_STRAWBERRY_DESCRIPTION,,,,110,150,,34,7,26,22,20,0,0,Strawberry,,,120,190,2100,3060,1800,1800,5,,Medium;Crop;Regular;Strawberry
HarvestCropMediumPotato,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_POTATO_DESCRIPTION,,,,114,155,,35,7,26,22,20,0,0,Potato,,,120,190,1060,1500,1800,1800,5,,Medium;Crop;Regular;Potato
HarvestCropMediumRice,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_RICE_DESCRIPTION,,,,130,176,,56,7,26,22,20,0,0,Rice,,,120,190,450,450,1800,1800,5,,Medium;Crop;Regular;Rice
HarvestCropMediumLettuce,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_LETTUCE_DESCRIPTION,,,,114,155,,58,7,26,22,20,0,0,Lettuce,,,120,190,1020,1440,1800,1800,5,,Medium;Crop;Regular;Lettuce
HarvestCropHardWheat,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_WHEAT_DESCRIPTION,,,,723,960,,18,9,43,55,79,21,0,Wheat,,,235,320,250,262,1800,1800,5,,Hard;Crop;Regular;Wheat
HarvestCropHardCorn,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CORN_DESCRIPTION,,,,520,700,,18,9,43,55,79,21,0,Corn,,,235,320,280,300,1800,1800,5,,Hard;Crop;Regular;Corn
HarvestCropHardSoybean,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SOYBEAN_DESCRIPTION,,,,346,465,,18,9,43,55,79,21,0,Soybean,,,235,320,410,490,1800,1800,5,,Hard;Crop;Regular;Soybean
HarvestCropHardSugarcane,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SUGARCANE_DESCRIPTION,,,,314,425,,18,9,43,55,79,21,0,Sugarcane,,,235,320,510,570,1800,1800,5,,Hard;Crop;Regular;Sugarcane
HarvestCropHardCarrot,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CARROT_DESCRIPTION,,,,418,560,,18,9,43,55,79,21,0,Carrot,,,235,320,330,370,1800,1800,5,,Hard;Crop;Regular;Carrot
HarvestCropHardIndigo,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_INDIGO_DESCRIPTION,,,,242,335,,18,9,43,55,79,21,0,Indigo,,,235,320,1170,1410,1800,1800,5,,Hard;Crop;Regular;Indigo
HarvestCropHardPumpkin,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_PUMPKIN_DESCRIPTION,,,,229,320,,18,9,43,55,79,21,0,Pumpkin,,,235,320,1290,2010,1800,1800,5,,Hard;Crop;Regular;Pumpkin
