Name,Enabled,TID,DelayMinutes,Sound,MinLevel,MaxLevel,AndroidChannel,Priority
String,Boolean,String,int,String,int,int,String,int
PlayerComeBack,true,TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,1440,InstantComplete,,,Farm,-10
OrderReady,true,TID_NOTIFICATION_ORDER_READY,480,CarHorn,,,Farm,-7
RoadsideShopClear,true,TID_NOTIFICATION_ROADSIDE_SHOP_CLEAR,,Buy,,,Farm,-5
CropsReady,true,TID_NOTIFICATION_CROPS_READY,,CoinXpExplosion,,,Farm,
ChickenReady,true,TID_NOTIFICATION_CHICKEN_READY,,TapChicken,,18,Farm,
CowReady,true,TID_NOTIFICATION_COW_READY,,TapCow,,,Farm,
SheepReady,true,TID_NOTIFICATION_SHEEP_READY,,TapSheep,,,Farm,
PigReady,true,TID_NOTIFICATION_PIG_READY,,TapPig,,,Farm,
GoatReady,true,TID_NOTIFICATION_GOAT_READY,,TapGoat,,,Farm,
BuildingReady,true,TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,,SiloWareHouseUpgrade,,,Farm,
HelpWithBoat,true,TID_PN_HELP_WITH_BOAT_ORDER,,BoatHorn,,,Friends,
HelpWithBoatAnon,true,TID_PN_HELP_WITH_BOAT_ORDER_ANONYMOUS,,BoatHorn,,,Friends,
BoyReady,true,TID_NOTIFICATION_TOM_READY,,,,,Helpers,
BoatArrived,true,TID_NOTIFICATION_BOAT_ARRIVED,,,,,Boat,
BoatLeaving,true,TID_NOTIFICATION_BOAT_LEAVING,,,,,Boat,-1
MasteryStarGained,true,TID_NOTIFICATION_MASTERY_STAR_GAINED,,,,,Farm,
FarmLiked,true,TID_PN_LIKE_FARM,,PetWhistle,,,Friends,
FarmLikedAnon,true,TID_PN_LIKE_FARM_ANONYMOUS,,PetWhistle,,,Friends,
CalendarEvent,true,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,EventBoardSound,,,Farm,
FishingSpotCollectionReady,true,TID_NOTIFICATION_FISHING_SPOT_COLLECTION_READY,,CollectNet,30,,Fishing,
LureCooldownEnded,true,TID_NOTIFICATION_LURE_COOLDOWN_ENDED,,FishingCastLine,27,,Fishing,-5
LobsterPoolHarvestReady,true,TID_NOTIFICATION_LOBSTER_POOL_HARVEST_READY,,HarvestLobster,44,,Fishing,
MasteryStarGainedFishing,true,TID_NOTIFICATION_MASTERY_STAR_GAINED,,,,,Fishing,
NPCTrainArrives,true,TID_NOTIFICATION_NPC_TRAIN_ARRIVES,,TrainWhistle,32,,Town,
HivesReady,true,TID_NOTIFICATION_HIVES_READY,,TapBeeHive,,,Farm,
DuckSalonHarvestReady,true,TID_NOTIFICATION_DUCK_SALON_HARVEST_READY,,HarvestLobster,44,,Fishing,
DerbyTaskEnding,true,TID_NOTIFICATION_DERBY_TASK_ENDING,,,,,Derby,
DerbyEnding,true,TID_NOTIFICATION_DERBY_ENDING,,,,,Derby,
DerbyEnded,true,TID_NOTIFICATION_DERBY_ENDED,,,,,Derby,
DerbyStarted,true,TID_NOTIFICATION_DERBY_STARTED,,,,,Derby,
DerbyOptedOut,true,TID_NOTIFICATION_DERBY_OPTED_OUT,,,,,Derby,
NeighborhoodRequestComplete,true,TID_PN_NEIGHBORHOOD_TRADING_ORDER_COMPLETE,,RavenSwipe,19,,Friends,
FreeRequestAvailable,true,TID_NOTIFICATION_FREE_REQUEST_AVAILABLE,,RavenSwipe,19,,Friends,-2
HelpersWaiting,true,TID_NOTIFICATION_HELPERS_WAITING,60,,33,,Helpers,-2
BuilderArrived,true,TID_NOTIFICATION_BUILDER_ARRIVED,60,,31,,Farm,-2
BuilderLeaving,true,TID_NOTIFICATION_BUILDER_LEAVING,60,,31,,Farm,-2
LiveShopOfferStarted,true,TID_EMPTY_TEXT,,,,,Farm,
LiveShopOfferEnding,true,TID_EMPTY_TEXT,,,,,Farm,
PeanutsReady,true,TID_NOTIFICATION_PEANUTS_READY,,TapSquirrelTree,,,Farm,
ShopDailyReward,true,TID_NOTIFICATION_DAILY_GIFT,,,,,Farm,
TaskEventEnded,true,TID_EMPTY_TEXT,,,,,Farm,
TaskEventMoreTasksAvailable,true,TID_EMPTY_TEXT,,,,,Farm,
CountyFairLuckyBonusReminder,TRUE,TID_EMPTY_TEXT,,,,,Farm,
DecoEventNewLikes,TRUE,TID_DECO_EVENT_NEW_LIKE_NOTIFICATION_MESSAGE,,,,,DecoEvent,
DecoEventNewVotesReminder,TRUE,TID_DECO_EVENT_VOTES_AVAILABLE_NOTIFICATION_MESSAGE,,,,,DecoEvent,
CalendarEventGiftBox,TRUE,TID_GREG_CALENDAR_EVENT_GIFT_BOX_NOTIFICATION,,,,,Greg,
EventBoardEventStarted,TRUE,TID_EMPTY_TEXT,,,,,Farm,
EventBoardEventEnding,TRUE,TID_EMPTY_TEXT,,,,,Farm,
