Name,NameTID,DescriptionTID
String,String,String
Farm,TID_ANDROID_NOTIFICATION_CHANNEL_FARM,TID_EMPTY_TEXT
Friends,TID_ANDROID_NOTIFICATION_CHANNEL_FRIENDS,TID_EMPTY_TEXT
Boat,TID_ANDROID_NOTIFICATION_CHANNEL_BOAT,TID_EMPTY_TEXT
Fishing,TID_ANDROID_NOTIFICATION_CHANNEL_FISHING,TID_EMPTY_TEXT
Town,TID_ANDROID_NOTIFICATION_CHANNEL_TOWN,TID_EMPTY_TEXT
Derby,TID_ANDROID_NOTIFICATION_CHANNEL_DERBY,TID_EMPTY_TEXT
Helpers,TID_ANDROID_NOTIFICATION_CHANNEL_HELPERS,TID_EMPTY_TEXT
DecoEvent,TID_ANDROID_NOTIFICATION_CHANNEL_DECO_EVENT,TID_EMPTY_TEXT
Greg,TID_ANDROID_NOTIFICATION_CHANNEL_GREG,TID_EMPTY_TEXT
