Name,Rewards,RewardAmounts,Probabilities,Sequential
String,String,int,int,Boolean
DefaultTownRewardSet,Dynamite,1,9,FALSE
,Demolition Charge,1,12,
,Axe,1,50,
,Saw,1,21,
,Shovel,1,10,
,Plank,1,12,
,Nail,1,12,
,Bolt,1,12,
,Screw,1,12,
,Duct Tape,1,12,
,Wood Panel,1,12,
,Land Deed,1,12,
,Mallet,1,12,
,Marker Stake,1,12,
,Hammer,1,10,
,Hand Drill,1,10,
,Paint Bucket,1,10,
,Stone Block,1,10,
,Brick,1,10,
,Tar Bucket,1,10,
,Map Piece,1,5,
,Pickaxe,1,10,
MiningTownRewardSet,Dynamite,1,9,FALSE
,Demolition Charge,1,12,
,Axe,1,50,
,Saw,1,21,
,Shovel,1,10,
,Plank,1,12,
DiamondyTownRewardSet,FreeDiamonds,5,100,
TownRewardSet_Tools,Axe,3,1,
,Saw,3,1,
,Shovel,3,1,
,Dynamite,3,1,
,Demolition Charge,3,1,
,Pickaxe,3,1,
TownRewardSet_upgrade_materials,Plank,1,1,
,Nail,1,1,
,Bolt,1,1,
,Screw,1,1,
,Duct Tape,1,1,
,Wood Panel,1,1,
TownRewardSet_land_expansions,Land Deed,1,1,
,Mallet,1,1,
,Marker Stake,1,1,
TownRewardSet_town_upgrades,Hammer,1,1,
,Hand Drill,1,1,
,Paint Bucket,1,1,
,Stone Block,1,1,
,Brick,1,1,
,Tar Bucket,1,1,
,Map Piece,1,1,
TownRewardSet_vouchers,Voucher1,1,1,
,Voucher2,1,1,
,Voucher3,1,1,
,Voucher4,1,1,
TownRewardSet_upgrade_barn,Plank,1,1,
,Duct Tape,1,1,
,Bolt,1,1,
TownRewardSet_upgrade_silo,Screw,1,1,
,Wood Panel,1,1,
,Nail,1,1,
TownRewardSet_boosters_lv2_3,FasterBoats_lv2,1,1,
,FasterBoats_lv3,1,1,
,FasterCrops1_lv2,1,1,
,FasterCrops1_lv3,1,1,
,FasterCrops2_lv2,1,1,
,FasterCrops2_lv3,1,1,
,FasterCrops3_lv2,1,1,
,FasterCrops3_lv3,1,1,
,FasterCrops4_lv2,1,1,
,FasterCrops4_lv3,1,1,
,FasterTom_lv2,1,1,
,FasterTom_lv3,1,1,
,FasterBuildings1_lv2,1,1,
,FasterBuildings1_lv3,1,1,
,FasterBuildings2_lv2,1,1,
,FasterBuildings2_lv3,1,1,
,FasterBuildings3_lv2,1,1,
,FasterBuildings3_lv3,1,1,
,FasterBuildings4_lv2,1,1,
,FasterBuildings4_lv3,1,1,
,FasterTrees_lv2,1,1,
,FasterTrees_lv3,1,1,
,FasterBushes_lv2,1,1,
,FasterBushes_lv3,1,1,
,FreeTom_lv2,1,1,
,FreeTom_lv3,1,1,
,FreeRose_lv2,1,1,
,FreeRose_lv3,1,1,
,FreeErnest_lv2,1,1,
,FreeErnest_lv3,1,1,
,EasierBoats_lv2,1,1,
,EasierBoats_lv3,1,1,
