Name,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease
String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean
Gnocchi,recipe_gnocchi,TID_PRODUCT_GNOCCHI,Pasta_Kitchen,4,Potato,80,245,236,57,4,132,88,88,72,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,92,
,,,,2,Wheat,,,,,,,,,,,,
,,,,3,Tomato,,,,,,,,,,,,
,,,,2,Butter,,,,,,,,,,,,
Lasagna,recipe_lasagne,TID_PRODUCT_LASAGNA,Pasta_Kitchen,3,Raw Pasta,100,275,265,63,5,148,97,100,74,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,102,
,,,,1,Cheese,,,,,,,,,,,,
,,,,1,Tomato Sauce,,,,,,,,,,,,
,,,,1,Carrot,,,,,,,,,,,,
Lobster Pasta,recipe_lobsterpasta,TID_PRODUCT_LOBSTERPASTA,Pasta_Kitchen,3,Raw Pasta,120,329,316,76,5,177,98,106,79,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,103,
,,,,1,Lobster Meat,,,,,,,,,,,,
,,,,4,Tomato,,,,,,,,,,,,
,,,,2,Cream,,,,,,,,,,,,
Pasta Carbonara,recipe_carbonara,TID_PRODUCT_PASTACARBONARA,Pasta_Kitchen,3,Raw Pasta,150,212,204,49,6,114,76,76,83,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,82,
,,,,1,Egg,,,,,,,,,,,,
,,,,2,Bacon,,,,,,,,,,,,
,,,,1,Cheese,,,,,,,,,,,,
Spicy spaghetti,recipe_spicy_pasta,TID_PRODUCT_SPICYSPAGHETTI,Pasta_Kitchen,3,Raw Pasta,90,297,286,69,5,160,108,111,87,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,113,
,,,,1,Tomato Sauce,,,,,,,,,,,,
,,,,3,Chili,,,,,,,,,,,,
,,,,2,Onion,,,,,,,,,,,,
Broccoli Mac,recipe_broccoli_mac,TID_PRODUCT_BROCCOLIMAC,Pasta_Kitchen,3,Broccoli,60,178,171,41,4,96,62,62,83,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,66,
,,,,3,Raw Pasta,,,,,,,,,,,,
,,,,1,Cheese,,,,,,,,,,,,
MushroomPasta,recipe_mushroom_pasta,TID_MUSHROOM_PASTA,Pasta_Kitchen,3,Raw Pasta,75,144,139,33,4,78,51,51,101,TID_PASTA_KITCHEN_PRODUCT_DESCRIPTION,55,
,,,,5,Mushroom,,,,,,,,,,,,
,,,,1,Goat Milk,,,,,,,,,,,,
