Name,FileName,ExportName,ShopIconExportName,Feed,FeedAmount,PetCapacity,BowlCount,BowlCapacity,Price,CollectIconExportName,TID,MaxHabitatsColumnName,BuySound,RandomSounds,TapSound,WhistleSound,ShopDescriptionTID,TileWidth,TileHeight,FeedOnRightSide,FeedTileOffset,PendingRelease
String,String,String,String,string,int,int,int,int,int,String,String,String,String,String,String,String,String,int,int,Boolean,int,boolean
CatHouse,sc/buildings_new.sc,cat_house_01,shop_icon_cathouse01,Milk,1,3,3,1,500,tool_collect_eggs,TID_CAT_HOUSE,MaxCatHouseAmount,Buy,,MenuBleep,PetWhistle,TID_CAT_HOUSE_SHOP_DESCRIPTION,2,2,,0,
DogHouse,sc/buildings_new.sc,dog_house_01,shop_icon_doghouse01,Bacon,1,3,3,1,1000,tool_collect_eggs,TID_DOG_HOUSE,MaxDogHouseAmount,Buy,,MenuBleep,PetWhistle,TID_DOG_HOUSE_SHOP_DESCRIPTION,2,2,,0,
HorseHouse,sc/buildings_new.sc,horse_stable_01,shop_icon_horsestable01,Carrot,1,3,3,1,10000,tool_collect_eggs,TID_HORSE_HOUSE,MaxHorseHouseAmount,Buy,,MenuBleep,PetWhistle,TID_HORSE_HOUSE_SHOP_DESCRIPTION,2,3,TRUE,1,
DonkeyHouse,sc/buildings_new.sc,donkey_barn,shop_icon_donkey_barn,Carrot,1,3,3,1,25000,tool_collect_eggs,TID_DONKEY_HOUSE,MaxDonkeyHouseAmount,Buy,,MenuBleep,PetWhistle,TID_DONKEY_HOUSE_SHOP_DESCRIPTION,2,3,,,
BunnyHouse,sc/buildings_new.sc,bunny_house_01,shop_icon_bunnyhouse,Carrot,1,3,3,1,20000,tool_collect_eggs,TID_BUNNY_HOUSE,MaxBunnyHouseAmount,Buy,,MenuBleep,PetWhistle,TID_BUNNY_HOUSE_DESCRIPTION,2,2,,0,
KittenHouse,sc/buildings_new.sc,kitten_house_01,shop_icon_kittenhouse01,Milk,1,3,3,1,35000,tool_collect_eggs,TID_KITTEN_HOUSE,MaxKittenHouseAmount,Buy,,MenuBleep,PetWhistle,TID_KITTEN_HOUSE_DESCRIPTION,2,2,,0,
PuppyHouse,sc/buildings_new.sc,puppy_house_01,shop_icon_puppyhouse01,Bacon,1,3,3,1,23000,tool_collect_eggs,TID_PUPPY_HOUSE,MaxPuppyHouseAmount,Buy,,MenuBleep,PetWhistle,TID_PUPPY_HOUSE_DESCRIPTION,2,2,,0,
GuineaPigHouse,sc/buildings_new.sc,guinea_pig_house_01,shop_icon_guinea_pig_house01,Carrot,1,3,3,1,25000,tool_collect_eggs,TID_GUINEA_PIG_HOUSE,MaxGuineaPigHouseAmount,Buy,,MenuBleep,PetWhistle,TID_GUINEA_PIG_HOUSE_DESCRIPTION,2,2,,0,
BirdHouse,sc/buildings_new.sc,bird_house_01,shop_icon_birdhouse01,Soybean,1,3,1,20,10000,tool_collect_eggs,TID_BIRD_HOUSE,MaxBirdHouseAmount,Buy,,MenuBleep,PetWhistle,TID_BIRD_HOUSE_DESCRIPTION,2,2,,0,FALSE
,,,,Carrot,1,,,,,,,,,,,,,,,,,
,,,,Fish Meat,1,,,,,,,,,,,,,,,,,
,,,,Strawberry,1,,,,,,,,,,,,,,,,,
,,,,Sesame,1,,,,,,,,,,,,,,,,,
,,,,Rice,1,,,,,,,,,,,,,,,,,
,,,,Cabbage,1,,,,,,,,,,,,,,,,,
,,,,Sunflower,1,,,,,,,,,,,,,,,,,
,,,,Bellpepper,1,,,,,,,,,,,,,,,,,
,,,,Broccoli,1,,,,,,,,,,,,,,,,,
,,,,Watermelon,1,,,,,,,,,,,,,,,,,
