Name,Rewards,RewardAmounts,Probabilities,Sequential
String,String,int,int,Boolean
PopRewardSet1,Wheat,1,10,FALSE
,Corn,2,10,
,Soybean,3,10,
,Sugarcane,4,10,
,Carrot,5,10,
,Indigo,6,10,
,Pumpkin,7,10,
,Chili,8,10,
,Tomato,9,10,
,Strawberry,10,10,
,Potato,11,10,
,Rice,12,10,
PopRewardSet2,Plank,1,10,FALSE
,Nail,2,10,
,Bolt,3,10,
,Screw,4,10,
,Duct Tape,5,10,
,Wood Panel,6,10,
,Land Deed,7,10,
,Mallet,8,10,
,Marker Stake,9,10,
,Hammer,10,10,
,Hand Drill,11,10,
,Paint Bucket,12,10,
,Stone Block,13,10,
,Brick,14,10,
,Tar Bucket,15,10,
,Map Piece,16,10,
