Name,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease
String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean
Apple porridge,recipe_apple_porridge,TID_PRODUCT_PORRIDGE_APPLE,Porridge_Bar,2,Apple Jam,20,269,259,62,2,145,71,71,119,TID_PORRIDGE_BAR_PRODUCT_DESCRIPTION,73,
,,,,4,Oats,,,,,,,,,,,,
,,,,1,Apple,,,,,,,,,,,,
Sweet porridge,recipe_sweet_porridge,TID_PRODUCT_PORRIDGE_SWEET,Porridge_Bar,3,Oats,45,237,228,55,3,128,39,39,120,TID_PORRIDGE_BAR_PRODUCT_DESCRIPTION,42,
,,,,1,Peach,,,,,,,,,,,,
,,,,2,Honey,,,,,,,,,,,,
Fresh porridge,recipe_fresh_porridge,TID_PRODUCT_PORRIDGE_FRESH,Porridge_Bar,3,Oats,35,224,216,52,3,121,73,73,122,TID_PORRIDGE_BAR_PRODUCT_DESCRIPTION,76,
,,,,1,Pomegranate,,,,,,,,,,,,
,,,,2,Mint,,,,,,,,,,,,
,,,,2,Coconut,,,,,,,,,,,,
