Name,BillingPackage,Tier
String,String,int
0.29 USD,com.supercell.soil.bundle_039,130
,com.supercell.soil.bundle_039,120
,com.supercell.soil.bundle_029,110
,com.supercell.soil.bundle_029,100
,com.supercell.soil.bundle_029,90
,com.supercell.soil.bundle_029,80
,com.supercell.soil.bundle_029,70
,com.supercell.soil.bundle_029,60
,com.supercell.soil.bundle_029,50
,com.supercell.soil.bundle_029,40
,com.supercell.soil.bundle_029,30
0.39 USD,com.supercell.soil.bundle_049,130
,com.supercell.soil.bundle_049,120
,com.supercell.soil.bundle_039,110
,com.supercell.soil.bundle_039,100
,com.supercell.soil.bundle_039,90
,com.supercell.soil.bundle_029,80
,com.supercell.soil.bundle_029,70
,com.supercell.soil.bundle_029,60
,com.supercell.soil.bundle_029,50
,com.supercell.soil.bundle_029,40
,com.supercell.soil.bundle_029,30
0.49 USD,com.supercell.soil.bundle_059,130
,com.supercell.soil.bundle_059,120
,com.supercell.soil.bundle_049,110
,com.supercell.soil.bundle_049,100
,com.supercell.soil.bundle_039,90
,com.supercell.soil.bundle_039,80
,com.supercell.soil.bundle_029,70
,com.supercell.soil.bundle_029,60
,com.supercell.soil.bundle_029,50
,com.supercell.soil.bundle_029,40
,com.supercell.soil.bundle_029,30
0.59 USD,com.supercell.soil.bundle_079,130
,com.supercell.soil.bundle_069,120
,com.supercell.soil.bundle_069,110
,com.supercell.soil.bundle_059,100
,com.supercell.soil.bundle_049,90
,com.supercell.soil.bundle_049,80
,com.supercell.soil.bundle_039,70
,com.supercell.soil.bundle_039,60
,com.supercell.soil.bundle_029,50
,com.supercell.soil.bundle_029,40
,com.supercell.soil.bundle_029,30
0.69 USD,com.supercell.soil.bundle_089,130
,com.supercell.soil.bundle_079,120
,com.supercell.soil.bundle_079,110
,com.supercell.soil.bundle_069,100
,com.supercell.soil.bundle_059,90
,com.supercell.soil.bundle_059,80
,com.supercell.soil.bundle_049,70
,com.supercell.soil.bundle_039,60
,com.supercell.soil.bundle_029,50
,com.supercell.soil.bundle_029,40
,com.supercell.soil.bundle_029,30
0.79 USD,com.supercell.soil.bundle_099,130
,com.supercell.soil.bundle_099,120
,com.supercell.soil.bundle_089,110
,com.supercell.soil.bundle_079,100
,com.supercell.soil.bundle_069,90
,com.supercell.soil.bundle_059,80
,com.supercell.soil.bundle_059,70
,com.supercell.soil.bundle_049,60
,com.supercell.soil.bundle_039,50
,com.supercell.soil.bundle_029,40
,com.supercell.soil.bundle_029,30
0.89 USD,com.supercell.soil.bundle_119,130
,com.supercell.soil.bundle_109,120
,com.supercell.soil.bundle_099,110
,com.supercell.soil.bundle_089,100
,com.supercell.soil.bundle_079,90
,com.supercell.soil.bundle_069,80
,com.supercell.soil.bundle_059,70
,com.supercell.soil.bundle_049,60
,com.supercell.soil.bundle_039,50
,com.supercell.soil.bundle_039,40
,com.supercell.soil.bundle_029,30
0.99 USD,com.supercell.soil.bundle_129,130
,com.supercell.soil.bundle_119,120
,com.supercell.soil.bundle_109,110
,com.supercell.soil.bundle_099,100
,com.supercell.soil.bundle_089,90
,com.supercell.soil.bundle_079,80
,com.supercell.soil.bundle_069,70
,com.supercell.soil.bundle_059,60
,com.supercell.soil.bundle_049,50
,com.supercell.soil.bundle_039,40
,com.supercell.soil.bundle_029,30
1.09 USD,com.supercell.soil.bundle_139,130
,com.supercell.soil.bundle_129,120
,com.supercell.soil.bundle_119,110
,com.supercell.soil.bundle_109,100
,com.supercell.soil.bundle_099,90
,com.supercell.soil.bundle_089,80
,com.supercell.soil.bundle_079,70
,com.supercell.soil.bundle_069,60
