Name,ShopIconExportName,ShopIconAnimScale,ShopIconClipped,UnlockLevel,TimeMin,TimeSec,Slots,Price,PriceIncrease,DoPriceIncreaseEveryNObject,MaxHabitatsColumnName,FileName,ExportName,ExportNameMastered,TileWidth,TileHeight,ExpToBuild,InstantComplete,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,BuySound,RandomSounds,BuildingMasteryHours,BuildingMasteryBonusPercent,BuildingMasteryBonusType,BuildingMasteryStarDiamondPrice,BuildingMasteryEnabled,PendingRelease,SeasonalObject,BoatCrateExpOverride,Deprecated
String,String,int,boolean,int,int,int,int,int,int,int,String,String,String,String,int,int,int,int,String,String,String,String,String,String,String,int,int,String,int,Boolean,Boolean,Boolean,String,Boolean
Bakery,,,,2,,10,2,20,,,,sc/buildings_new.sc,bakery_01,bakery_01_mastered,3,3,3,1,TID_BAKERY,TID_BAKERY_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,35,10,Coin,520,true,,,,
,,,,,,,,6,,,,,,,,,,,,,,,,,,175,10,Exp,1182,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,735,-15,SpeedUp,2562,,,,,
,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammermill,,,,3,,40,3,5,3195,1,MaxHammermills,sc/buildings_new.sc,foodblender_01,foodblender_01_mastered,3,3,4,1,TID_FEED_MILL,TID_HAMMERMILL_DESCRIPTION,HammermillTap,HammerMillTapProcessing,Collect,Buy,,120,-5,SpeedUp,372,true,,,,
,,,,,,,,6,,,,,,,,,,,,,,,,,,960,-10,SpeedUp,1370,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,6840,-15,SpeedUp,5000,,,,,
,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Popcorn_Pot,,,,8,480,,2,650,,,,sc/buildings_new.sc,popcorn_pot_01,popcorn_pot_01_mastered,3,3,14,29,TID_POPCORN_POT,TID_POPCORN_POT_DESCRIPTION,PopcornPotTap,PopcornPotTapProcessing,Collect,Buy,,50,10,Coin,590,true,,,,
,,,,,,,,6,,,,,,,,,,,,,,,,,,200,10,Exp,1212,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,650,-15,SpeedUp,2373,,,,,
,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy,,,,6,120,,2,50,,,,sc/buildings_new.sc,dairy_01,dairy_01_mastered,4,4,8,16,TID_DAIRY,TID_DAIRY_DESCRIPTION,DairyTap,DairyTapProcessing,Collect,Buy,,40,10,Coin,545,true,,,,
,,,,,,,,6,,,,,,,,,,,,,,,,,,160,10,Exp,1122,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,520,-15,SpeedUp,2198,,,,,
,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar_Mill,,,,7,360,,2,350,199650,1,MaxSugarMills,sc/buildings_new.sc,sugarmill_01,sugarmill_01_mastered,2,2,13,25,TID_SUGAR_MILL,TID_SUGAR_MILL_DESCRIPTION,SugarmillTap,SugarmillTapProcessing,Collect,Buy,,25,10,Coin,465,true,,,,
,,,,,,,,6,,,,,,,,,,,,,,,,,,125,10,Exp,1050,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,525,-15,SpeedUp,2282,,,,,
,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Pie_Oven,,,,14,720,,2,2200,,,,sc/buildings_new.sc,pie_oven_01,pie_oven_01_mastered,3,3,17,35,TID_PIE_OVEN,TID_PIE_OVEN_DESCRIPTION,SelectPieOwenIdle,SelecPieOwenProcess,Collect,Buy,,40,10,Coin,545,true,,,,
,,,,,,,,6,,,,,,,,,,,,,,,,,,200,10,Exp,1242,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,840,-15,SpeedUp,2688,,,,,
,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
