Name,IntValue,StringValue,BooleanValue
String,int,String,boolean
FlowDaysAway,30,,
RequiredDaysSinceLastFlow,31,,
PeopleOrderCoinBonus,200,,
DurationHours,48,,
PeopleCanCompleteChance,100,,
DifferentSeedTypesToPlant,3,,
EmptyFieldPlantPercentage,50,,
FeedAllAnimals,,,TRUE
AnimalFoodToStorage,,,TRUE
SellAllRoadsideShopToAI,,,TRUE
CompleteCarOrdersAttemptCount,30,,
CompleteCarOrdersLevelRangePercentage,70,,
SpawnNewPeople,,,TRUE
FreeSiloAndBarnUpgrade,,,TRUE
FreeTom,,,TRUE
FreeForestDestructionDays,1,,
BoyHireDays,1,,
CoinsAndDiamondsReward,,,FALSE
MobileUIScale,70,,
TakeTimeAwayFromPrevLoginTime,,,TRUE
