Level,RepToNextLevel,GoodReward,GoodAmount,MinGoodsInPassengerService,MaxGoodsInPassengerService,PassengerServiceMinValue,PassengerServiceMaxValue,PassengerServiceMinCount,PassengerServiceMaxCount,PassengerAnimalViewChance,TID,FeatureTID,FeaturePNGURL
String,int,String,int,int,int,int,int,int,int,int,String,String,String
1,4,FreeDiamonds,1,2,2,18,35,1,1,,TID_REPUTATION_LEVEL_UP_TEXT,,
2,27,FreeDiamonds,1,2,2,18,35,2,2,,TID_REPUTATION_LEVEL_UP_TEXT,,
,,Stone Block,1,,,,,,,,,,
,,Bolt,1,,,,,,,,,,
,,Duct Tape,1,,,,,,,,,,
3,157,FreeDiamonds,1,1,2,18,36,2,2,10,TID_REPUTATION_LEVEL_UP_TEXT,,
,,Map Piece,1,,,,,,,,,,
4,306,FreeDiamonds,1,1,2,19,36,2,2,10,TID_REPUTATION_LEVEL_UP_TEXT,,
,,Pickaxe,1,,,,,,,,,,
5,524,FreeDiamonds,5,1,2,19,65,2,2,10,TID_REPUTATION_LEVEL_UP_TEXT,,
6,827,FreeDiamonds,1,1,2,19,65,2,2,10,TID_REPUTATION_LEVEL_UP_TEXT,,
7,1233,FreeDiamonds,1,1,2,20,66,2,2,10,TID_REPUTATION_LEVEL_UP_TEXT,,
8,1759,FreeDiamonds,1,1,2,20,66,2,2,10,TID_REPUTATION_LEVEL_UP_TEXT,,
9,2420,FreeDiamonds,1,1,2,20,67,2,2,10,TID_REPUTATION_LEVEL_UP_TEXT,,
10,3228,FreeDiamonds,10,1,2,21,67,2,3,10,TID_REPUTATION_LEVEL_UP_TEXT,,
11,4193,FreeDiamonds,2,1,2,21,68,2,3,10,TID_REPUTATION_LEVEL_UP_TEXT,,
12,5320,FreeDiamonds,2,1,2,21,68,2,3,10,TID_REPUTATION_LEVEL_UP_TEXT,,
13,6611,FreeDiamonds,2,1,2,22,69,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
14,8063,FreeDiamonds,2,1,3,22,69,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
15,9669,FreeDiamonds,5,1,3,22,70,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
16,11418,FreeDiamonds,2,1,3,23,70,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
17,13297,FreeDiamonds,2,1,3,23,71,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
18,15291,FreeDiamonds,2,1,3,23,71,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
19,17381,FreeDiamonds,2,1,3,24,72,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
20,19550,FreeDiamonds,10,1,3,24,72,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
21,21778,FreeDiamonds,3,1,3,24,73,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
22,24046,FreeDiamonds,3,1,3,25,73,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
23,26336,FreeDiamonds,3,1,3,25,74,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
24,28630,FreeDiamonds,3,1,3,25,74,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
25,30913,FreeDiamonds,5,1,3,26,75,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
26,33170,FreeDiamonds,3,1,3,26,75,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
27,35388,FreeDiamonds,3,1,3,26,76,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
28,37557,FreeDiamonds,3,1,3,27,76,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
29,39667,FreeDiamonds,3,1,3,27,77,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
30,41710,FreeDiamonds,10,1,3,27,77,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
31,43680,FreeDiamonds,3,1,3,28,78,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
32,45572,FreeDiamonds,3,1,3,28,78,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
33,47383,FreeDiamonds,3,1,3,28,79,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
34,49111,FreeDiamonds,3,1,3,29,79,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
35,50754,FreeDiamonds,5,1,3,29,80,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
36,52313,FreeDiamonds,3,1,3,29,80,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
37,53788,FreeDiamonds,3,1,3,30,81,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
38,55181,FreeDiamonds,3,1,3,30,81,2,3,10,TID_REPUTATION_LEVEL_UP2_TEXT,,
39,56493,FreeDiamonds,3,1,3,30,82,2,3,10,,,
40,57726,FreeDiamonds,10,1,3,31,82,2,3,10,,,
41,58883,FreeDiamonds,5,1,3,31,83,2,3,10,,,
42,59967,FreeDiamonds,5,1,3,31,83,2,3,10,,,
43,60981,FreeDiamonds,5,1,3,32,84,2,3,10,,,
