Name,FileName,ExportName,TileWidth,TileHeight,TapSound,FriendGateRequiredFriends,BuildEffectFileName,BuildEffectExportName,BuildEffectStart,BuildEffectEnd,BuildEffectMS,FadeSpeed,BuildTileX,BuildTileY
String,String,String,int,int,String,int,String,String,String,String,int,int,int,int
RoadsideShop,sc/rss_skins.sc,roadsideshop_customizable,3,3,MenuBleep,,sc/common.sc,construction_3x3,RssSkinStart,RssSkinEnd,3300,200,16,33
,,,,,,1,,,,,,,,
,,,,,,3,,,,,,,,
,,,,,,6,,,,,,,,
,,,,,,10,,,,,,,,
,,,,,,15,,,,,,,,
,,,,,,21,,,,,,,,
,,,,,,28,,,,,,,,
,,,,,,38,,,,,,,,
,,,,,,53,,,,,,,,
,,,,,,73,,,,,,,,
,,,,,,118,,,,,,,,
,,,,,,218,,,,,,,,
,,,,,,518,,,,,,,,
