Name,SanctuaryAnimal,SanctuaryAnimalWeight
String,String,int
Group1,Elephant1,174960000
,Hippo2,58320000
,Giraffe1,19440000
,Elephant2,6480000
,Hippo1,2160000
,Giraffe2,1080000
,ElephantCalf1,750000
,HippoCalf2,450000
,GiraffeCalf1,210000
,ElephantCalf2,120000
,HippoCalf1,60000
,GiraffeCalf2,30000
,Zebra1,12000
,Zebra2,6000
,ZebraCalf1,2000
,ZebraCalf2,1000
,Gorilla1,400
,Gorilla2,100
,Reindeer1,20
,Reindeer2,5
,GorillaCalf1,100
,GorillaCalf2,25
,ReindeerCalf1,5
,ReindeerCalf2,1
,Cheetah1,1
,Cheetah2,1
,ArcticFox1,3
,ArcticFox2,1
,ArcticFoxCub1,1
,ArcticFoxCub2,1
,CheetahCub1,1
,CheetahCub2,1
,Walrus1,1
,Walrus2,1
,WalrusBaby1,1
,WalrusBaby2,1
,Meerkat1,1
,Meerkat2,1
,MeerkatPup1,1
,MeerkatPup2,1
,Penguin01,1
,Penguin02,1
,PenguinChick02,1
,PenguinChick01,1
,Ostrich1,1
,Ostrich2,1
,OstrichChick1,1
,OstrichChick2,1
,Capybara1,1
,Capybara2,1
Group2,Elephant1,174960000
,Giraffe2,58320000
,Hippo1,19440000
,Elephant2,6480000
,Giraffe1,2160000
,Hippo2,1080000
,ElephantCalf1,750000
,GiraffeCalf2,450000
,HippoCalf1,210000
,ElephantCalf2,120000
,GiraffeCalf1,60000
,HippoCalf2,30000
,Zebra1,12000
,Zebra2,6000
,ZebraCalf1,2000
,ZebraCalf2,1000
,Gorilla1,400
,Gorilla2,100
,Reindeer1,20
,Reindeer2,5
,GorillaCalf1,100
,GorillaCalf2,25
,ReindeerCalf1,5
,ReindeerCalf2,1
,Cheetah1,1
,Cheetah2,1
,ArcticFox1,3
,ArcticFox2,1
,ArcticFoxCub1,1
,ArcticFoxCub2,1
,CheetahCub1,1
,CheetahCub2,1
,Walrus1,1
,Walrus2,1
,WalrusBaby1,1
,WalrusBaby2,1
,Meerkat1,1
,Meerkat2,1
,MeerkatPup1,1
,MeerkatPup2,1
,Penguin01,1
,Penguin02,1
,PenguinChick02,1
,PenguinChick01,1
,Ostrich1,1
,Ostrich2,1
,OstrichChick1,1
,OstrichChick2,1
,Capybara1,1
,Capybara2,1
Group3,Elephant2,174960000
,Giraffe1,58320000
,Hippo2,19440000
,Elephant1,6480000
,Giraffe2,2160000
,Hippo1,1080000
,ElephantCalf2,750000
,GiraffeCalf1,450000
