Name,Gifts,TimeLimited,IntervalHours,CooldownExpiredHours,CooldownPurchasedHours,SpeedUpDiamondPrice,StartDate,StartHour,EndDate,EndHour
String,String,boolean,int,int,int,int,String,int,String,int
seasonalSlot1,HolidayGift1_week1,TRUE,,,200,10000,2023-02-13,8,2023-02-18,8
seasonalSlot2,HolidayGift2_week1,TRUE,,,200,10000,2023-02-13,8,2023-02-18,8
seasonalSlot3,HolidayGift3_week1,TRUE,,,200,10000,2023-02-13,8,2023-02-18,8
seasonalSlot4,HolidayGift4_week1,TRUE,,,200,10000,2023-02-13,8,2023-02-18,8
seasonalSlot5,HolidayGift5_week1,TRUE,,,200,10000,2023-02-13,8,2023-02-18,8
seasonalSlot6,HolidayGift6_week1,TRUE,,,200,10000,2023-02-13,8,2023-02-18,8
seasonalSlot7,HolidayGift7_week1,TRUE,,,200,10000,2023-02-13,8,2023-02-18,8
seasonalSlot8,HolidayGift8_week1,TRUE,,,200,10000,2023-02-13,8,2023-02-18,8
seasonalSlot9,HolidayGift9_week1,TRUE,,,200,10000,2023-02-13,8,2023-02-18,8
seasonalSlot10,HolidayGift10_week1,TRUE,,,200,10000,2022-12-05,8,2022-12-12,8
seasonalSlot11,HolidayGift11_week1,TRUE,,,200,10000,2022-12-05,8,2022-12-12,8
seasonalSlot12,HolidayGift12_week1,TRUE,,,200,10000,2022-12-05,8,2022-12-12,8
seasonalSlot13,HolidayGift13_week1,TRUE,,,200,10000,2022-12-05,8,2022-12-12,8
seasonalSlot14,HolidayGift14_week1,TRUE,,,200,10000,2022-12-05,8,2022-12-12,8
seasonalSlot15,HolidayGift15_week1,TRUE,,,200,10000,2022-12-05,8,2022-12-12,8
seasonalSlot16,HolidayGift16_week1,TRUE,,,200,10000,2022-12-05,8,2022-12-12,8
seasonalSlot17,HolidayGift17_week1,TRUE,,,200,10000,2022-12-05,8,2022-12-12,8
seasonalSlot18,HolidayGift18_week1,TRUE,,,200,10000,2022-12-05,8,2022-12-12,8
seasonalSlot19,HolidayGift19_week1,TRUE,,,200,10000,2022-12-05,8,2022-12-12,8
seasonalSlot20,HolidayGift20_week1,TRUE,,,200,10000,2022-12-05,8,2022-12-12,8
seasonalSlot21,HolidayGift21_week1,TRUE,,,200,10000,2022-12-05,8,2022-12-12,8
seasonalSlot22,HolidayGift22_week1,TRUE,,,200,10000,2022-12-05,8,2022-12-12,8
seasonalSlot23,HolidayGift1_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot24,HolidayGift2_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot25,HolidayGift3_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot26,HolidayGift4_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot27,HolidayGift5_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot28,HolidayGift6_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot29,HolidayGift7_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot30,HolidayGift8_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot31,HolidayGift9_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot32,HolidayGift10_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot33,HolidayGift11_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot34,HolidayGift12_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot35,HolidayGift13_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot36,HolidayGift14_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot37,HolidayGift15_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot38,HolidayGift16_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot39,HolidayGift17_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot40,HolidayGift18_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot41,HolidayGift19_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot42,HolidayGift20_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot43,HolidayGift21_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot44,HolidayGift22_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot45,HolidayGift23_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot46,HolidayGift24_week2,TRUE,,,200,10000,2022-12-12,8,2022-12-19,8
seasonalSlot47,HolidayGift1_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot48,HolidayGift2_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot49,HolidayGift3_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot50,HolidayGift4_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot51,HolidayGift5_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot52,HolidayGift6_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot53,HolidayGift7_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot54,HolidayGift8_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot55,HolidayGift9_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot56,HolidayGift10_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot57,HolidayGift11_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot58,HolidayGift12_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot59,HolidayGift13_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot60,HolidayGift14_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot61,HolidayGift15_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot62,HolidayGift16_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot63,HolidayGift17_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
seasonalSlot64,HolidayGift18_week3,TRUE,,,200,10000,2022-12-19,8,2022-12-26,8
