Name,ToolIconExportName,ToolBigIconExportName,BonusIconExportName,BonusTID,TID,DescriptionTID,DiamondPrice,UnlockLevel,DumbValue
String,String,String,String,String,String,String,int,int,int
Mistletoe,icon_mistletoe,icon_mistletoe_big,,,TID_MISTLETOE,TID_MISTLETOE_BOATS_EXCHANGE_DESCRIPTION,,10000,
Chocobunny,icon_chocobunny,icon_chocobunny_big,,,TID_CHOCOBUNNY,TID_CHOCOBUNNY_BOATS_EXCHANGE_DESCRIPTION,,10000,
SeasonalCurrency1,icon_mistletoe,icon_mistletoe_big,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,1
MusicNote,icon_musicnote,icon_musicnote_big,,,TID_ICON_CATALOGUE_MUSICNOTE,TID_ICON_CATALOGUE_MUSICNOTE_DESCRIPTION,,10000,
WaterBottle,icon_waterbottle,icon_waterbottle_big,,,TID_SUMMER_GAMES_BOTTLE,TID_SUMMER_GAMES_BOTTLE_DESCRIPTION,,10000,
SeasonalCurrency4,icon_mistletoe,icon_mistletoe_big,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency5,icon_mistletoe,icon_mistletoe_big,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency6,icon_mistletoe,icon_mistletoe_big,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
FlowerBlue,icon_catalogue_flower_blue,icon_catalogue_flower_blue_big,,,TID_ICON_CATALOGUE_FLOWER_BLUE,TID_ICON_CATALOGUE_CURRENCY_FLOWER_BLUE_DESCRIPTION,,10000,
FlowerPurple,icon_catalogue_flower_purple,icon_catalogue_flower_purple_big,,,TID_ICON_CATALOGUE_CURRENCY_FLOWER_PURPLE,TID_ICON_CATALOGUE_CURRENCY_FLOWER_PURPLE_DESCRIPTION,,10000,
FlowerWhite,icon_catalogue_flower_white,icon_catalogue_flower_white_big,,,TID_ICON_CATALOGUE_CURRENCY_FLOWER_WHITE,TID_ICON_CATALOGUE_CURRENCY_FLOWER_WHITE_DESCRIPTION,,10000,
FlowerYellow,icon_catalogue_flower_yellow,icon_catalogue_flower_yellow_big,,,TID_ICON_CATALOGUE_CURRENCY_FLOWER_YELLOW,TID_ICON_CATALOGUE_CURRENCY_FLOWER_YELLOW_DESCRIPTION,,10000,
Pinecone,icon_catalogue_pinecone,icon_catalogue_pinecone_big,,,TID_ICON_CATALOGUE_CURRENCY_FLOWER_PINECONE,TID_ICON_CATALOGUE_CURRENCY_FLOWER_PINECONE_DESCRIPTION,,10000,
SeasonalCurrency7,icon_mistletoe,icon_mistletoe_big,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency8,icon_mistletoe,icon_mistletoe_big,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency9,icon_mistletoe,icon_mistletoe_big,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency10,icon_mistletoe,icon_mistletoe_big,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency11,icon_mistletoe,icon_mistletoe_big,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
SeasonalCurrency12,icon_mistletoe,icon_mistletoe_big,,,TID_MISTLETOE,TID_MISTLETOE_DESCRIPTION,,10000,
